s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 1.9000000E-002
 5.0100000E+000, 8.7800591E+001, 8.0266979E-018, 1.9000000E-002
 1.0010000E+001, 1.7008876E+002, 2.6846487E-013, 1.9000000E-002
 1.5010000E+001, 2.2462626E+002, 1.2576297E-010, 1.9000000E-002
 2.0000000E+001, 2.6685871E+002, 8.4396228E-009, 1.9000000E-002
 2.5000000E+001, 3.0136999E+002, 1.8796979E-007, 1.9000000E-002
 3.0000000E+001, 3.3039600E+002, 2.0563477E-006, 1.8999995E-002
 3.5000000E+001, 3.5520146E+002, 1.3754615E-005, 1.8999962E-002
 4.0000000E+001, 3.7660444E+002, 6.4210867E-005, 1.8999785E-002
 4.5010000E+001, 3.9507438E+002, 2.2652021E-004, 1.8999091E-002
 5.0010000E+001, 4.1069355E+002, 6.2705996E-004, 1.8996977E-002
 5.5010000E+001, 4.2329809E+002, 1.3842732E-003, 1.8991849E-002
 6.0010000E+001, 4.3283021E+002, 2.4780073E-003, 1.8981794E-002
 6.5010000E+001, 4.3963700E+002, 3.7212209E-003, 1.8965490E-002
 7.0010000E+001, 4.4441081E+002, 4.9149971E-003, 1.8942705E-002
 7.5000000E+001, 4.4783622E+002, 5.9625070E-003, 1.8914033E-002
 8.0000000E+001, 4.5040647E+002, 6.8529569E-003, 1.8880271E-002
 8.5000000E+001, 4.5017903E+002, 7.3130563E-003, 1.8842720E-002
 9.0000000E+001, 4.5134153E+002, 8.0730461E-003, 1.8802478E-002
 9.5000000E+001, 4.5315999E+002, 8.7426771E-003, 1.8758138E-002
 1.0000000E+002, 4.5463065E+002, 9.2767006E-003, 1.8710674E-002
 1.0500000E+002, 4.5587963E+002, 9.7292492E-003, 1.8660626E-002
 1.1000000E+002, 4.5695736E+002, 1.0124208E-002, 1.8608356E-002
 1.1500000E+002, 4.5789194E+002, 1.0475696E-002, 1.8554127E-002
 1.2000000E+002, 4.5590694E+002, 1.0569124E-002, 1.8498550E-002
 1.2500000E+002, 4.5572924E+002, 1.0918839E-002, 1.8442252E-002
 1.3000000E+002, 4.5696822E+002, 1.1313898E-002, 1.8383691E-002
 1.3500000E+002, 4.5801936E+002, 1.1624883E-002, 1.8323300E-002
 1.4000000E+002, 4.5893388E+002, 1.1893196E-002, 1.8261394E-002
 1.4500000E+002, 4.5969470E+002, 1.2131250E-002, 1.8198154E-002
 1.5000000E+002, 4.5650458E+002, 1.2047507E-002, 1.8134645E-002
 1.5500000E+002, 4.5779032E+002, 1.2472124E-002, 1.8070056E-002
 1.6001000E+002, 4.5886789E+002, 1.2770569E-002, 1.8003523E-002
 1.6501000E+002, 4.5979311E+002, 1.3011926E-002, 1.7935589E-002
 1.7001000E+002, 4.6059423E+002, 1.3226018E-002, 1.7866532E-002
 1.7501000E+002, 4.5777389E+002, 1.3126058E-002, 1.7797226E-002
 1.8001000E+002, 4.5874258E+002, 1.3517033E-002, 1.7727128E-002
 1.8501000E+002, 4.5980954E+002, 1.3805562E-002, 1.7655186E-002
 1.9001000E+002, 4.6072184E+002, 1.4035491E-002, 1.7581904E-002
 1.9501000E+002, 4.6066830E+002, 1.4147555E-002, 1.7507535E-002
 2.0001000E+002, 4.5868505E+002, 1.4184778E-002, 1.7433299E-002
 2.0501000E+002, 4.5989910E+002, 1.4568737E-002, 1.7357547E-002
 2.1001000E+002, 4.6090691E+002, 1.4831406E-002, 1.7280147E-002
 2.1501000E+002, 4.6177258E+002, 1.5051789E-002, 1.7201495E-002
 2.2001000E+002, 4.5962843E+002, 1.4979684E-002, 1.7122395E-002
 2.2501000E+002, 4.6013605E+002, 1.5345589E-002, 1.7042727E-002
 2.3001000E+002, 4.6121416E+002, 1.5646717E-002, 1.6961121E-002
 2.3501000E+002, 4.6213186E+002, 1.5884108E-002, 1.6878127E-002
 2.4001000E+002, 4.6064867E+002, 1.5859292E-002, 1.6794404E-002
 2.4501000E+002, 4.6055995E+002, 1.6172930E-002, 1.6710374E-002
 2.5001000E+002, 4.6167034E+002, 1.6500062E-002, 1.6624336E-002
 2.5501000E+002, 4.6261025E+002, 1.6750743E-002, 1.6536814E-002
 2.6001000E+002, 4.6102317E+002, 1.6723967E-002, 1.6448575E-002
 2.6501000E+002, 4.6118381E+002, 1.7079319E-002, 1.6359837E-002
 2.7001000E+002, 4.6228120E+002, 1.7406507E-002, 1.6269031E-002
 2.7501000E+002, 4.6320756E+002, 1.7659954E-002, 1.6176732E-002
 2.8001000E+002, 4.6090286E+002, 1.7600902E-002, 1.6084047E-002
 2.8501000E+002, 4.6198273E+002, 1.8061967E-002, 1.5990141E-002
 2.9001000E+002, 4.6303035E+002, 1.8369774E-002, 1.5894230E-002
 2.9501000E+002, 4.6264733E+002, 1.8462060E-002, 1.5797035E-002
 3.0001000E+002, 4.6173373E+002, 1.8698251E-002, 1.5699615E-002
 3.0501000E+002, 4.6289699E+002, 1.9092194E-002, 1.5600078E-002
 3.1001000E+002, 4.6386974E+002, 1.9378018E-002, 1.5498817E-002
 3.1501000E+002, 4.6169726E+002, 1.9352814E-002, 1.5397037E-002
 3.2001000E+002, 4.6285325E+002, 1.9845754E-002, 1.5293786E-002
 3.2501000E+002, 4.6389247E+002, 2.0167847E-002, 1.5188447E-002
 3.3001000E+002, 4.6256741E+002, 2.0197319E-002, 1.5082112E-002
 3.3501000E+002, 4.6290481E+002, 2.0627357E-002, 1.4974848E-002
 3.4001000E+002, 4.6398729E+002, 2.0981136E-002, 1.4865297E-002
 3.4501000E+002, 4.6309869E+002, 2.1052384E-002, 1.4754489E-002
 3.5001000E+002, 4.6306933E+002, 2.1450908E-002, 1.4642896E-002
 3.5501000E+002, 4.6417082E+002, 2.1821995E-002, 1.4528954E-002
 3.6001000E+002, 4.6333692E+002, 2.1898743E-002, 1.4413710E-002
 3.6501000E+002, 4.6333812E+002, 2.2302167E-002, 1.4297640E-002
 3.7001000E+002, 4.6443178E+002, 2.2662574E-002, 1.4179244E-002
 3.7501000E+002, 4.6333100E+002, 2.2711905E-002, 1.4059731E-002
 3.8001000E+002, 4.6369788E+002, 2.3140696E-002, 1.3939213E-002
 3.8501000E+002, 4.6476037E+002, 2.3457696E-002, 1.3816526E-002
 3.9001000E+002, 4.6315175E+002, 2.3455337E-002, 1.3693162E-002
 3.9501000E+002, 4.6411829E+002, 2.3896283E-002, 1.3568478E-002
 4.0001000E+002, 4.6457127E+002, 2.4054060E-002, 1.3442051E-002
 4.0501000E+002, 4.6341493E+002, 2.4173147E-002, 1.3315470E-002
 4.1001000E+002, 4.6457565E+002, 2.4504751E-002, 1.3187234E-002
 4.1501000E+002, 4.6404707E+002, 2.4490184E-002, 1.3058090E-002
 4.2001000E+002, 4.6397793E+002, 2.4748171E-002, 1.2928766E-002
 4.2501000E+002, 4.6505607E+002, 2.4948625E-002, 1.2797905E-002
 4.3001000E+002, 4.6352467E+002, 2.4826097E-002, 1.2667039E-002
 4.3501000E+002, 4.6454360E+002, 2.5135763E-002, 1.2535457E-002
 4.4001000E+002, 4.6460214E+002, 2.5109104E-002, 1.2402968E-002
 4.4501000E+002, 4.6400105E+002, 2.5218245E-002, 1.2270860E-002
 4.5001000E+002, 4.6514649E+002, 2.5397539E-002, 1.2137555E-002
