s,kW,C,kg/m2/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 2.040E-002,-4.653E-011
 2.012E+000, 0.000E+000, 4.693E+001, 3.450E-029, 2.040E-002, 5.003E+001
 4.003E+000, 0.000E+000, 8.658E+001, 5.805E-025, 2.040E-002, 5.020E+001
 6.001E+000, 0.000E+000, 1.165E+002, 4.931E-022, 2.040E-002, 5.034E+001
 8.007E+000, 0.000E+000, 1.415E+002, 7.843E-020, 2.040E-002, 5.040E+001
 1.000E+001, 0.000E+000, 1.630E+002, 4.312E-018, 2.040E-002, 5.043E+001
 1.201E+001, 0.000E+000, 1.823E+002, 1.189E-016, 2.040E-002, 5.052E+001
 1.400E+001, 0.000E+000, 1.996E+002, 1.901E-015, 2.040E-002, 5.055E+001
 1.601E+001, 0.000E+000, 2.153E+002, 2.014E-014, 2.040E-002, 5.057E+001
 1.801E+001, 0.000E+000, 2.301E+002, 1.636E-013, 2.040E-002, 5.075E+001
 2.001E+001, 9.476E-010, 2.439E+002, 1.052E-012, 2.040E-002, 5.086E+001
 2.201E+001, 4.308E-008, 2.563E+002, 5.249E-012, 2.040E-002, 5.079E+001
 2.401E+001, 2.814E-007, 2.681E+002, 2.248E-011, 2.040E-002, 5.093E+001
 2.600E+001, 1.118E-006, 2.796E+002, 8.614E-011, 2.040E-002, 5.110E+001
 2.800E+001, 3.727E-006, 2.900E+002, 2.849E-010, 2.040E-002, 5.104E+001
 3.001E+001, 1.105E-005, 2.999E+002, 8.471E-010, 2.040E-002, 5.115E+001
 3.201E+001, 2.961E-005, 3.095E+002, 2.332E-009, 2.040E-002, 5.127E+001
 3.401E+001, 7.305E-005, 3.182E+002, 5.809E-009, 2.040E-002, 5.119E+001
 3.601E+001, 1.680E-004, 3.267E+002, 1.358E-008, 2.040E-002, 5.130E+001
 3.801E+001, 3.635E-004, 3.347E+002, 2.972E-008, 2.040E-002, 5.139E+001
 4.000E+001, 7.445E-004, 3.428E+002, 6.364E-008, 2.040E-002, 5.163E+001
 4.200E+001, 1.450E-003, 3.502E+002, 1.275E-007, 2.040E-002, 5.163E+001
 4.401E+001, 2.705E-003, 3.573E+002, 2.444E-007, 2.040E-002, 5.173E+001
 4.601E+001, 4.844E-003, 3.637E+002, 4.390E-007, 2.040E-002, 5.149E+001
 4.801E+001, 8.374E-003, 3.697E+002, 7.486E-007, 2.040E-002, 5.153E+001
 5.000E+001, 1.402E-002, 3.757E+002, 1.260E-006, 2.040E-002, 5.158E+001
 5.201E+001, 2.279E-002, 3.811E+002, 2.027E-006, 2.040E-002, 5.146E+001
 5.401E+001, 3.613E-002, 3.870E+002, 3.250E-006, 2.040E-002, 5.172E+001
 5.601E+001, 5.583E-002, 3.926E+002, 5.127E-006, 2.040E-002, 5.180E+001
 5.801E+001, 8.432E-002, 3.973E+002, 7.682E-006, 2.040E-002, 5.158E+001
 6.001E+001, 1.248E-001, 4.023E+002, 1.136E-005, 2.040E-002, 5.179E+001
 6.200E+001, 1.810E-001, 4.068E+002, 1.642E-005, 2.040E-002, 5.161E+001
 6.400E+001, 2.586E-001, 4.111E+002, 2.317E-005, 2.040E-002, 5.167E+001
 6.600E+001, 3.642E-001, 4.156E+002, 3.266E-005, 2.040E-002, 5.179E+001
 6.800E+001, 5.060E-001, 4.201E+002, 4.561E-005, 2.040E-002, 5.191E+001
 7.001E+001, 6.960E-001, 4.243E+002, 6.328E-005, 2.040E-002, 5.196E+001
 7.201E+001, 9.480E-001, 4.285E+002, 8.676E-005, 2.040E-002, 5.205E+001
 7.400E+001, 1.280E+000, 4.324E+002, 1.149E-004, 2.040E-002, 5.232E+001
 7.601E+001, 1.709E+000, 4.363E+002, 1.537E-004, 2.040E-002, 5.218E+001
 7.800E+001, 2.276E+000, 4.412E+002, 2.105E-004, 2.040E-002, 5.327E+001
 8.001E+001, 3.022E+000, 4.463E+002, 2.987E-004, 2.040E-002, 5.372E+001
 8.200E+001, 4.001E+000, 4.506E+002, 4.043E-004, 2.040E-002, 5.378E+001
 8.400E+001, 5.299E+000, 4.561E+002, 5.677E-004, 2.040E-002, 5.554E+001
 8.600E+001, 7.094E+000, 4.633E+002, 8.782E-004, 2.040E-002, 5.747E+001
 8.801E+001, 9.592E+000, 4.698E+002, 1.316E-003, 2.040E-002, 5.834E+001
 9.001E+001, 1.339E+001, 4.783E+002, 2.126E-003, 2.040E-002, 6.518E+001
 9.200E+001, 1.953E+001, 4.916E+002, 4.401E-003, 2.040E-002, 6.872E+001
 9.400E+001, 2.970E+001, 5.067E+002, 9.466E-003, 2.040E-002, 8.094E+001
 9.600E+001, 4.508E+001, 5.170E+002, 1.516E-002, 2.040E-002, 8.282E+001
 9.800E+001, 6.528E+001, 5.215E+002, 1.771E-002, 2.040E-002, 8.372E+001
 1.000E+002, 8.969E+001, 5.243E+002, 1.862E-002, 2.040E-002, 8.346E+001
 1.020E+002, 1.191E+002, 5.255E+002, 1.810E-002, 2.040E-002, 8.182E+001
 1.040E+002, 1.535E+002, 5.292E+002, 1.899E-002, 2.040E-002, 8.339E+001
 1.060E+002, 1.892E+002, 5.307E+002, 1.817E-002, 2.040E-002, 8.174E+001
 1.080E+002, 2.214E+002, 5.332E+002, 1.755E-002, 2.040E-002, 8.137E+001
 1.100E+002, 2.587E+002, 5.363E+002, 1.722E-002, 2.040E-002, 8.123E+001
 1.120E+002, 2.792E+002, 5.395E+002, 1.666E-002, 2.040E-002, 8.096E+001
 1.140E+002, 2.966E+002, 5.421E+002, 1.590E-002, 2.040E-002, 7.934E+001
 1.160E+002, 3.017E+002, 5.460E+002, 1.554E-002, 2.040E-002, 8.011E+001
 1.180E+002, 3.158E+002, 5.526E+002, 1.629E-002, 2.040E-002, 8.410E+001
 1.200E+002, 3.134E+002, 5.558E+002, 1.636E-002, 2.040E-002, 8.164E+001
 1.220E+002, 3.205E+002, 5.578E+002, 1.602E-002, 2.040E-002, 8.098E+001
 1.240E+002, 3.201E+002, 5.604E+002, 1.589E-002, 2.040E-002, 8.180E+001
 1.260E+002, 3.188E+002, 5.619E+002, 1.593E-002, 2.040E-002, 8.011E+001
 1.280E+002, 3.174E+002, 5.643E+002, 1.570E-002, 2.040E-002, 8.075E+001
 1.300E+002, 3.227E+002, 5.674E+002, 1.589E-002, 2.040E-002, 8.121E+001
 1.320E+002, 3.203E+002, 5.691E+002, 1.548E-002, 2.040E-002, 8.002E+001
 1.340E+002, 3.230E+002, 5.738E+002, 1.578E-002, 2.040E-002, 8.195E+001
 1.360E+002, 3.169E+002, 5.756E+002, 1.552E-002, 2.040E-002, 8.083E+001
 1.380E+002, 3.165E+002, 5.769E+002, 1.526E-002, 2.040E-002, 7.892E+001
 1.400E+002, 3.150E+002, 5.817E+002, 1.556E-002, 2.040E-002, 8.179E+001
 1.420E+002, 3.184E+002, 5.826E+002, 1.570E-002, 2.040E-002, 8.018E+001
 1.440E+002, 3.164E+002, 5.834E+002, 1.557E-002, 2.040E-002, 7.907E+001
 1.460E+002, 3.184E+002, 5.888E+002, 1.601E-002, 2.040E-002, 8.284E+001
 1.480E+002, 3.261E+002, 5.883E+002, 1.608E-002, 2.040E-002, 7.932E+001
 1.500E+002, 3.218E+002, 5.899E+002, 1.565E-002, 2.040E-002, 7.986E+001
 1.520E+002, 3.235E+002, 5.924E+002, 1.568E-002, 2.040E-002, 8.017E+001
 1.540E+002, 3.186E+002, 5.964E+002, 1.593E-002, 2.040E-002, 8.126E+001
 1.560E+002, 3.173E+002, 6.058E+002, 1.706E-002, 2.040E-002, 8.635E+001
 1.580E+002, 3.272E+002, 6.029E+002, 1.686E-002, 2.040E-002, 8.085E+001
 1.600E+002, 3.205E+002, 6.000E+002, 1.579E-002, 2.040E-002, 7.842E+001
 1.620E+002, 3.258E+002, 6.062E+002, 1.612E-002, 2.040E-002, 8.266E+001
 1.640E+002, 3.277E+002, 6.087E+002, 1.685E-002, 2.040E-002, 8.127E+001
 1.660E+002, 3.298E+002, 6.090E+002, 1.658E-002, 2.040E-002, 8.099E+001
 1.680E+002, 3.280E+002, 6.114E+002, 1.668E-002, 2.040E-002, 8.137E+001
 1.700E+002, 3.342E+002, 6.119E+002, 1.656E-002, 2.040E-002, 8.064E+001
 1.720E+002, 3.331E+002, 6.144E+002, 1.656E-002, 2.040E-002, 8.063E+001
 1.740E+002, 3.314E+002, 6.150E+002, 1.644E-002, 2.040E-002, 8.013E+001
 1.760E+002, 3.320E+002, 6.157E+002, 1.625E-002, 2.040E-002, 7.949E+001
 1.780E+002, 3.413E+002, 6.182E+002, 1.632E-002, 2.040E-002, 8.033E+001
 1.800E+002, 3.393E+002, 6.206E+002, 1.662E-002, 2.040E-002, 8.023E+001
 1.820E+002, 3.408E+002, 6.222E+002, 1.673E-002, 2.040E-002, 8.023E+001
 1.840E+002, 3.384E+002, 6.231E+002, 1.678E-002, 2.040E-002, 7.985E+001
 1.860E+002, 3.463E+002, 6.358E+002, 1.776E-002, 2.040E-002, 8.854E+001
 1.880E+002, 3.476E+002, 6.409E+002, 1.928E-002, 2.040E-002, 8.653E+001
 1.900E+002, 3.509E+002, 6.369E+002, 1.859E-002, 2.040E-002, 8.446E+001
 1.920E+002, 3.505E+002, 6.394E+002, 1.847E-002, 2.040E-002, 8.417E+001
 1.940E+002, 3.527E+002, 6.371E+002, 1.803E-002, 2.040E-002, 8.205E+001
 1.960E+002, 3.529E+002, 6.387E+002, 1.786E-002, 2.040E-002, 8.256E+001
 1.980E+002, 3.535E+002, 6.362E+002, 1.763E-002, 2.040E-002, 7.998E+001
 2.000E+002, 3.521E+002, 6.351E+002, 1.726E-002, 2.040E-002, 7.887E+001
 2.020E+002, 3.542E+002, 6.378E+002, 1.724E-002, 2.040E-002, 8.027E+001
 2.040E+002, 3.556E+002, 6.410E+002, 1.757E-002, 2.040E-002, 8.114E+001
 2.060E+002, 3.592E+002, 6.425E+002, 1.778E-002, 2.040E-002, 8.082E+001
 2.080E+002, 3.635E+002, 6.436E+002, 1.778E-002, 2.040E-002, 8.118E+001
 2.100E+002, 3.612E+002, 6.461E+002, 1.790E-002, 2.040E-002, 8.167E+001
 2.120E+002, 3.643E+002, 6.502E+002, 1.817E-002, 2.040E-002, 8.295E+001
 2.140E+002, 3.742E+002, 6.528E+002, 1.851E-002, 2.040E-002, 8.337E+001
 2.160E+002, 3.678E+002, 6.512E+002, 1.840E-002, 2.040E-002, 8.157E+001
 2.180E+002, 3.730E+002, 6.528E+002, 1.830E-002, 2.040E-002, 8.226E+001
 2.200E+002, 3.712E+002, 6.550E+002, 1.847E-002, 2.040E-002, 8.209E+001
 2.220E+002, 3.727E+002, 6.547E+002, 1.846E-002, 2.040E-002, 8.161E+001
 2.240E+002, 3.733E+002, 6.568E+002, 1.838E-002, 2.040E-002, 8.330E+001
 2.260E+002, 3.691E+002, 6.619E+002, 1.871E-002, 2.040E-002, 8.424E+001
 2.280E+002, 3.737E+002, 6.606E+002, 1.884E-002, 2.040E-002, 8.137E+001
 2.300E+002, 3.686E+002, 6.597E+002, 1.853E-002, 2.040E-002, 8.163E+001
 2.320E+002, 3.735E+002, 6.622E+002, 1.846E-002, 2.040E-002, 8.264E+001
 2.340E+002, 3.782E+002, 6.627E+002, 1.849E-002, 2.040E-002, 8.215E+001
 2.360E+002, 3.732E+002, 6.626E+002, 1.837E-002, 2.040E-002, 8.122E+001
 2.380E+002, 3.745E+002, 6.640E+002, 1.830E-002, 2.040E-002, 8.176E+001
 2.400E+002, 3.770E+002, 6.728E+002, 1.856E-002, 2.040E-002, 8.708E+001
 2.420E+002, 3.744E+002, 6.689E+002, 1.885E-002, 2.040E-002, 8.141E+001
 2.440E+002, 3.732E+002, 6.670E+002, 1.845E-002, 2.040E-002, 8.152E+001
 2.460E+002, 3.729E+002, 6.681E+002, 1.823E-002, 2.040E-002, 8.110E+001
 2.480E+002, 3.745E+002, 6.691E+002, 1.809E-002, 2.040E-002, 8.202E+001
 2.500E+002, 3.765E+002, 6.701E+002, 1.805E-002, 2.040E-002, 8.135E+001
 2.520E+002, 3.690E+002, 6.713E+002, 1.798E-002, 2.040E-002, 8.175E+001
 2.540E+002, 3.703E+002, 6.739E+002, 1.792E-002, 2.040E-002, 8.353E+001
 2.560E+002, 3.724E+002, 6.750E+002, 1.802E-002, 2.040E-002, 8.224E+001
 2.580E+002, 3.689E+002, 6.734E+002, 1.790E-002, 2.040E-002, 8.081E+001
 2.600E+002, 3.695E+002, 6.756E+002, 1.770E-002, 2.040E-002, 8.251E+001
 2.620E+002, 3.630E+002, 6.795E+002, 1.774E-002, 2.040E-002, 8.406E+001
 2.640E+002, 3.685E+002, 6.789E+002, 1.776E-002, 2.040E-002, 8.305E+001
 2.660E+002, 3.629E+002, 6.810E+002, 1.768E-002, 2.040E-002, 8.379E+001
 2.680E+002, 3.628E+002, 6.847E+002, 1.771E-002, 2.040E-002, 8.465E+001
 2.700E+002, 3.617E+002, 6.832E+002, 1.773E-002, 2.040E-002, 8.288E+001
 2.720E+002, 3.615E+002, 6.860E+002, 1.758E-002, 2.040E-002, 8.480E+001
 2.740E+002, 3.554E+002, 6.833E+002, 1.750E-002, 2.040E-002, 8.208E+001
 2.760E+002, 3.588E+002, 6.816E+002, 1.722E-002, 2.040E-002, 8.114E+001
 2.780E+002, 3.545E+002, 6.852E+002, 1.699E-002, 2.040E-002, 8.384E+001
 2.800E+002, 3.475E+002, 6.848E+002, 1.696E-002, 2.040E-002, 8.195E+001
 2.820E+002, 3.544E+002, 6.838E+002, 1.682E-002, 2.040E-002, 8.190E+001
 2.840E+002, 3.474E+002, 6.902E+002, 1.671E-002, 2.040E-002, 8.517E+001
 2.860E+002, 3.449E+002, 6.885E+002, 1.677E-002, 2.040E-002, 8.314E+001
 2.880E+002, 3.450E+002, 6.942E+002, 1.673E-002, 2.040E-002, 8.584E+001
