s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0782285E-001
 1.0021879E+000, 2.0782285E-001
 2.0010185E+000, 2.0782285E-001
 3.0007266E+000, 2.0782285E-001
 4.0005816E+000, 2.0782285E-001
 5.0002458E+000, 2.0782187E-001
 6.0012274E+000, 2.0238403E-001
 7.0001740E+000, 1.9708515E-001
 8.0012536E+000, 1.9204296E-001
 9.0003706E+000, 1.8726349E-001
 1.0001366E+001, 1.8270704E-001
 1.1000903E+001, 1.7837194E-001
 1.2000990E+001, 1.7423841E-001
 1.3000311E+001, 1.7029307E-001
 1.4000005E+001, 1.6652392E-001
 1.5000226E+001, 1.6291430E-001
 1.6000595E+001, 1.5945794E-001
 1.7001267E+001, 1.5614457E-001
 1.8000440E+001, 1.5296996E-001
 1.9001121E+001, 1.4991858E-001
 2.0001512E+001, 1.4698761E-001
 2.1000793E+001, 1.4417082E-001
 2.2000371E+001, 1.4145885E-001
 2.3000700E+001, 1.3884600E-001
 2.4001057E+001, 1.3632782E-001
 2.5000738E+001, 1.3390057E-001
 2.6000317E+001, 1.3155869E-001
 2.7000285E+001, 1.2929688E-001
 2.8001330E+001, 1.2710971E-001
 2.9000341E+001, 1.2499831E-001
 3.0000747E+001, 1.2295436E-001
 3.1000484E+001, 1.2097743E-001
 3.2000250E+001, 1.1906278E-001
 3.3000776E+001, 1.1720579E-001
 3.4000722E+001, 1.1540719E-001
 3.5000682E+001, 1.1366261E-001
 3.6000674E+001, 1.1197006E-001
 3.7001294E+001, 1.1032560E-001
 3.8000660E+001, 1.0873255E-001
 3.9001326E+001, 1.0718143E-001
 4.0000622E+001, 1.0567645E-001
 4.1000597E+001, 1.0421288E-001
 4.2000483E+001, 1.0278734E-001
 4.3001923E+001, 1.0139967E-001
 4.4001784E+001, 1.0005222E-001
 4.5001658E+001, 9.8739450E-002
 4.6000504E+001, 9.7460708E-002
 4.7000957E+001, 9.6213700E-002
 4.8000220E+001, 9.4999389E-002
 4.9000751E+001, 9.3812773E-002
 5.0002119E+001, 9.2655817E-002
 5.1000732E+001, 9.1529288E-002
 5.2001814E+001, 9.0427872E-002
 5.3000926E+001, 8.9354040E-002
 5.4000368E+001, 8.8306047E-002
 5.5001037E+001, 8.7280236E-002
 5.6001130E+001, 8.6279076E-002
 5.7001258E+001, 8.5299515E-002
 5.8002120E+001, 8.4342163E-002
 5.9002617E+001, 8.3407987E-002
 6.0001544E+001, 8.2493073E-002
 6.1000189E+001, 8.1600540E-002
 6.2002528E+001, 8.0722460E-002
 6.3000708E+001, 7.9866304E-002
 6.4001063E+001, 7.9026323E-002
 6.5000000E+001, 7.8205831E-002
