cm,kW,kW,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 1.7945156E+000, 2.0737151E-001,-5.0000000E-001, 1.0940440E+003, 1.1441000E+003, 1.1136278E+003, 1.0032964E+003, 8.7926544E+002, 7.3595610E+002, 1.3429931E+002, 2.1399271E+002, 3.2267774E+002, 3.6304650E+002, 3.6394235E+002, 3.1655101E+002,-2.0500000E+001, 1.0040905E-015, 2.1268397E-014, 5.9173221E-012, 2.2234198E-008, 6.8722964E-005, 8.2696522E-016, 5.2848615E-014, 1.7813447E-011, 1.4136039E-007, 5.3475421E-004
 1.5000000E+000, 4.2371020E+000, 3.7257996E-001, 5.0000000E-001, 1.0812489E+003, 1.1508229E+003, 1.1062040E+003, 1.0160791E+003, 8.9206146E+002, 7.4008071E+002, 1.2415667E+002, 1.8937175E+002, 3.0145276E+002, 3.5932244E+002, 3.6229959E+002, 3.1454976E+002,-1.9500000E+001, 6.0637383E-014, 2.2164589E-012, 4.5857174E-010, 1.2048998E-006, 4.4280494E-004, 6.2997028E-014, 5.8164126E-012, 1.6162372E-009, 7.8954020E-006, 3.1426138E-003
 2.5000000E+000, 6.9391198E+000, 7.1260049E-001, 1.5000000E+000, 1.1521547E+003, 1.1449756E+003, 1.0618195E+003, 9.7551387E+002, 8.6694685E+002, 7.2782462E+002, 1.5271810E+002, 2.3821046E+002, 3.1882665E+002, 3.5980481E+002, 3.5111188E+002, 3.0211678E+002,-1.8500000E+001, 6.0637383E-014, 2.2164589E-012, 4.5857174E-010, 1.2048998E-006, 4.4280494E-004, 6.2997028E-014, 5.8164126E-012, 1.6162372E-009, 7.8954020E-006, 3.1426138E-003
 3.5000000E+000, 8.3160440E+000, 9.0658115E-001, 2.5000000E+000, 1.1378119E+003, 1.0791823E+003, 9.8654996E+002, 9.0852498E+002, 8.2487998E+002, 6.9871221E+002, 2.8095898E+002, 3.1541403E+002, 3.5870952E+002, 3.6897688E+002, 3.4167509E+002, 2.8179678E+002,-1.7500000E+001, 3.2378005E-012, 2.0616906E-010, 4.2558557E-008, 2.8573886E-005, 1.2401214E-003, 3.7377561E-012, 5.5489619E-010, 1.8184766E-007, 1.7377252E-004, 6.6076975E-003
 4.5000000E+000, 8.3863825E+000, 9.4487874E-001, 3.5000000E+000, 9.0826715E+002, 9.3494501E+002, 8.9554589E+002, 8.4085020E+002, 7.7346362E+002, 6.6498072E+002, 3.6302133E+002, 3.6340733E+002, 3.8553314E+002, 3.7878020E+002, 3.3911308E+002, 2.7204566E+002,-1.6500000E+001, 3.2378005E-012, 2.0616906E-010, 4.2558557E-008, 2.8573886E-005, 1.2401214E-003, 3.7377561E-012, 5.5489619E-010, 1.8184766E-007, 1.7377252E-004, 6.6076975E-003
 5.5000000E+000, 7.9265955E+000, 9.4848168E-001, 4.5000000E+000, 6.9418551E+002, 7.6781008E+002, 7.8321383E+002, 7.5576696E+002, 7.0948235E+002, 6.2503518E+002, 3.5128471E+002, 3.6598844E+002, 3.7419434E+002, 3.5996334E+002, 3.1885571E+002, 2.6201534E+002,-1.5500000E+001, 1.1668073E-010, 2.4840037E-008, 2.8215486E-006, 5.4337304E-004, 5.2225442E-003, 2.0005071E-010, 9.5184719E-008, 1.3931174E-005, 2.3699988E-003, 1.3265878E-002
 6.5000000E+000, 7.3292689E+000, 9.6133643E-001, 5.5000000E+000, 5.2445638E+002, 6.0449748E+002, 6.6359310E+002, 6.7178597E+002, 6.3443892E+002, 5.7924448E+002, 2.6590276E+002, 3.1497263E+002, 3.3601461E+002, 3.3163432E+002, 2.8853699E+002, 2.4185210E+002,-1.4500000E+001, 1.1668073E-010, 2.4840037E-008, 2.8215486E-006, 5.4337304E-004, 5.2225442E-003, 2.0005071E-010, 9.5184719E-008, 1.3931174E-005, 2.3699988E-003, 1.3265878E-002
 7.5000000E+000, 6.7815297E+000, 9.7331877E-001, 6.5000000E+000, 4.0441506E+002, 4.9484217E+002, 5.6020955E+002, 5.8544276E+002, 5.6790661E+002, 5.2838762E+002, 1.7635035E+002, 2.6053631E+002, 2.9295616E+002, 2.8804218E+002, 2.5148252E+002, 2.0981345E+002,-1.3500000E+001, 4.5916149E-009, 2.6585726E-006, 1.0631793E-004, 4.4902924E-003, 1.4508238E-002, 1.5351024E-008, 1.2571319E-005, 5.9464950E-004, 1.1324004E-002, 2.3863741E-002
 8.5000000E+000, 6.3063089E+000, 1.0071675E+000, 7.5000000E+000, 3.4767334E+002, 4.1455962E+002, 4.7918662E+002, 5.0340859E+002, 5.0810287E+002, 4.8022658E+002, 1.3492149E+002, 1.9483283E+002, 2.5033583E+002, 2.3682064E+002, 2.1598165E+002, 1.7768796E+002,-1.2500000E+001, 4.5916149E-009, 2.6585726E-006, 1.0631793E-004, 4.4902924E-003, 1.4508238E-002, 1.5351024E-008, 1.2571319E-005, 5.9464950E-004, 1.1324004E-002, 2.3863741E-002
 9.5000000E+000, 5.8926624E+000, 1.0559240E+000, 8.5000000E+000, 3.2013212E+002, 3.5993594E+002, 4.1916731E+002, 4.3593829E+002, 4.5103637E+002, 4.4192998E+002, 9.7651782E+001, 1.3644396E+002, 2.0896925E+002, 1.8424470E+002, 1.7850132E+002, 1.5020333E+002,-1.1500000E+001, 1.0979658E-007, 1.2955820E-004, 1.4367162E-003, 1.8072316E-002, 2.7697295E-002, 5.8557681E-007, 8.0381584E-004, 7.8919189E-003, 3.4907553E-002, 3.9040858E-002
 1.0500000E+001, 5.5591412E+000, 1.1247660E+000, 9.5000000E+000, 3.0358727E+002, 3.2737512E+002, 3.7172805E+002, 3.8866943E+002, 4.0566300E+002, 4.0819345E+002, 5.0729064E+001, 9.2606635E+001, 1.6233658E+002, 1.5279471E+002, 1.4631353E+002, 1.2799869E+002,-1.0500000E+001, 3.0604779E-006, 1.1888013E-003, 5.5314228E-003, 2.8423559E-002, 3.8101776E-002, 1.6816261E-005, 6.7244087E-003, 2.1341843E-002, 4.8382495E-002, 5.3355769E-002
 1.1500000E+001, 5.3038983E+000, 1.2003919E+000, 1.0500000E+001, 2.9610404E+002, 3.0635983E+002, 3.4046948E+002, 3.6024650E+002, 3.6774748E+002, 3.7540092E+002, 1.0815223E+001, 4.7504158E+001, 1.2911770E+002, 1.3996086E+002, 1.1598532E+002, 1.0828177E+002,-9.5000000E+000, 9.2761627E-005, 4.7153085E-003, 1.3770451E-002, 4.2358368E-002, 5.0756308E-002, 5.5105857E-004, 1.8717591E-002, 3.4498552E-002, 6.3889004E-002, 6.3553574E-002
 1.2500000E+001, 5.1110094E+000, 1.2737282E+000, 1.1500000E+001, 2.9469656E+002, 2.9729162E+002, 3.1762571E+002, 3.3147180E+002, 3.3475151E+002, 3.4362735E+002, 1.1563881E+000, 1.5121346E+001, 8.3335454E+001, 1.0242831E+002, 8.2118969E+001, 7.5866845E+001,-8.5000000E+000, 1.3192101E-003, 1.1646149E-002, 2.8000805E-002, 5.9468866E-002, 6.2373773E-002, 5.0758777E-003, 3.1038062E-002, 5.0054100E-002, 7.7709877E-002, 6.5154630E-002
 1.3500000E+001, 4.9675602E+000, 1.3565673E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.5000000E+000, 8.6973399E-003, 2.6017346E-002, 5.0584509E-002, 8.1363541E-002, 7.3694393E-002, 1.6441840E-002, 4.3277405E-002, 7.4764370E-002, 9.5948873E-002, 7.0831040E-002
 1.4500000E+001, 4.8693721E+000, 1.4482509E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.5000000E+000, 3.3343453E-002, 5.1292544E-002, 8.0751358E-002, 1.1123057E-001, 8.6149221E-002, 3.7220115E-002, 6.5963363E-002, 1.1919837E-001, 1.3375024E-001, 8.0639208E-002
 1.5500000E+001, 4.8129361E+000, 1.5519664E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.5000000E+000, 7.5482269E-002, 9.2284705E-002, 1.2727777E-001, 1.5258750E-001, 1.0045017E-001, 6.4736720E-002, 1.1547195E-001, 1.8667505E-001, 1.9530344E-001, 9.5801675E-002
 1.6500000E+001, 4.7884116E+000, 1.6611671E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.5000000E+000, 1.8953438E-001, 1.6480710E-001, 2.0591270E-001, 2.0705846E-001, 1.1559165E-001, 1.6111935E-001, 1.9710517E-001, 2.7079259E-001, 2.6272160E-001, 1.1113303E-001
 1.7500000E+001, 4.7899817E+000, 1.7733746E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.5000000E+000, 6.5593265E-001, 3.4232537E-001, 3.4395127E-001, 2.6749561E-001, 1.3183538E-001, 4.5167669E-001, 3.6308571E-001, 3.8490538E-001, 3.1737171E-001, 1.2595569E-001
 1.8500000E+001, 4.8181439E+000, 1.8938747E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.5000000E+000, 1.3414084E+000, 7.2307261E-001, 5.7791978E-001, 3.3079716E-001, 1.4746545E-001, 2.0907824E-001, 5.1170830E-001, 4.9015154E-001, 3.5340961E-001, 1.4053830E-001
 1.9500000E+001, 4.8715448E+000, 2.0228942E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5000000E+000, 1.4296192E+000, 1.1564282E+000, 8.6742372E-001, 3.9841012E-001, 1.6532428E-001, 5.9084267E-002, 3.8517911E-001, 5.1092545E-001, 3.9939360E-001, 1.6398453E-001
 2.0500000E+001, 4.9511832E+000, 2.1658287E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.0000000E-001, 1.3815590E+000, 1.3396262E+000, 1.0563309E+000, 4.6552192E-001, 1.7328131E-001, 5.7028699E-002, 2.1256161E-001, 4.4009238E-001, 4.2821933E-001, 1.6934885E-001
 2.1500000E+001, 5.0438042E+000, 2.3193458E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.0000000E-001, 1.3688414E+000, 1.3764205E+000, 1.0925466E+000, 4.8680903E-001, 1.7646988E-001, 5.7140282E-002, 1.4788818E-001, 4.1974222E-001, 4.3656640E-001, 1.7331614E-001
 2.2500000E+001, 5.1556402E+000, 2.4925384E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 1.4104370E+000, 1.2655533E+000, 9.8556017E-001, 4.4334763E-001, 1.6908367E-001, 6.6223566E-002, 2.9859635E-001, 4.8171914E-001, 4.2157510E-001, 1.5893513E-001
 2.3500000E+001, 5.2423949E+000, 2.6190894E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 1.3092704E+000, 8.7253038E-001, 7.4096447E-001, 3.6399721E-001, 1.5857063E-001, 2.5500208E-001, 5.0879353E-001, 5.2376793E-001, 3.7690599E-001, 1.5103810E-001
 2.4500000E+001, 5.3322536E+000, 2.7522771E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 6.2297798E-001, 4.2868579E-001, 4.6398531E-001, 2.9069173E-001, 1.4744841E-001, 4.4220084E-001, 4.3170133E-001, 4.4889722E-001, 3.2271707E-001, 1.4717111E-001
 2.5500000E+001, 5.4227408E+000, 2.8904997E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 1.6796252E-001, 2.1391664E-001, 2.7357157E-001, 2.1748969E-001, 1.2922944E-001, 1.0600314E-001, 2.7133379E-001, 3.3234299E-001, 2.5681280E-001, 1.1492807E-001
 2.6500000E+001, 5.5136207E+000, 3.0293093E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 6.5397780E-002, 1.0499713E-001, 1.5614226E-001, 1.6189235E-001, 1.0995621E-001, 5.0256970E-002, 1.3488942E-001, 2.2212335E-001, 1.8674071E-001, 7.7958252E-002
 2.7500000E+001, 5.6026169E+000, 3.1730361E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 2.3949572E-002, 5.3677519E-002, 9.2344934E-002, 1.2202179E-001, 9.3314120E-002, 2.6002921E-002, 8.4408372E-002, 1.3337826E-001, 1.3914639E-001, 5.9318165E-002
 2.8500000E+001, 5.6735674E+000, 3.3025828E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 4.3811371E-003, 2.5549699E-002, 5.3375208E-002, 8.8945286E-002, 7.8491082E-002, 7.4333123E-003, 5.3969690E-002, 7.0043385E-002, 9.7859798E-002, 5.1025314E-002
 2.9500000E+001, 5.7218532E+000, 3.4127984E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 2.4440019E-004, 1.1770009E-002, 2.9710176E-002, 6.4177673E-002, 6.5976079E-002, 3.8577608E-004, 3.5440045E-002, 4.6292294E-002, 8.1141078E-002, 4.6752690E-002
 3.0500000E+001, 5.7428846E+000, 3.5087917E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 1.0659543E-005, 4.6798533E-003, 1.5284469E-002, 4.4993022E-002, 5.3699340E-002, 1.4236546E-005, 2.1412936E-002, 3.3266638E-002, 6.8147648E-002, 4.3407537E-002
 3.1500000E+001, 5.7301581E+000, 3.5869162E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.0500000E+001, 3.8355656E-007, 1.2254861E-003, 6.1285268E-003, 3.1067684E-002, 4.0332801E-002, 3.4768585E-007, 8.5089017E-003, 1.9552142E-002, 5.7131520E-002, 3.9535053E-002
 3.2500000E+001, 5.6862770E+000, 3.6562727E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.1500000E+001, 1.7869582E-008, 1.3402043E-004, 1.6018768E-003, 1.8145145E-002, 2.6899100E-002, 1.4950266E-008, 1.1965652E-003, 8.0917842E-003, 3.8806724E-002, 3.1617584E-002
