s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.0237763E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0237763E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0037807E-001, 1.9250654E+000,-3.0816240E-001, 1.8263897E-002,-8.5022998E-002,-6.6176689E-005, 0.0000000E+000, 0.0000000E+000, 1.5184739E+000, 1.5500777E+000, 1.6702903E-002, 7.9044455E-005,-4.5915640E-111,-5.4152357E-099
 1.0003785E+000, 5.8517864E+000,-1.1122754E+000,-2.5442867E-002,-4.2898262E-002,-1.0715395E-004, 0.0000000E+000, 0.0000000E+000, 4.5594596E+000, 4.6710627E+000, 4.3924956E-002, 2.0484751E-004,-3.7809769E-095,-2.2546076E-087
 1.5002580E+000, 1.1163598E+001,-2.2540361E+000,-6.6886376E+000,-4.6288061E-002,-1.1874628E-004, 0.0000000E+000, 0.0000000E+000, 2.0045779E+000, 2.1745180E+000, 5.9046965E-002, 2.7524230E-004,-2.8605294E-088,-1.5400319E-081
 2.0001788E+000, 1.2294944E+001,-2.6638624E+000,-9.4109834E+000,-3.9471827E-002,-1.1798447E-004, 0.0000000E+000, 0.0000000E+000,-5.3707374E-002, 1.8050861E-001, 6.5753370E-002, 3.0646873E-004,-2.9535896E-084,-5.1814406E-078
 2.5001969E+000, 1.4055869E+001,-3.2353449E+000,-8.2077818E+000,-4.9152310E-002,-1.2076447E-004, 0.0000000E+000, 0.0000000E+000, 2.2494128E+000, 2.5634692E+000, 6.8414321E-002, 3.1885902E-004,-1.3378137E-081,-1.1650748E-075
 3.0001571E+000, 1.3603804E+001,-3.2996539E+000,-1.1670100E+001,-5.2743037E-002,-1.1911567E-004, 0.0000000E+000, 0.0000000E+000,-1.7385081E+000,-1.4188116E+000, 6.9421973E-002, 3.2355049E-004,-9.9185383E-080,-5.2378941E-074
 3.5001922E+000, 1.5037697E+001,-3.5107458E+000,-1.0552940E+001,-3.3904924E-002,-1.1977546E-004, 0.0000000E+000, 0.0000000E+000, 6.2948079E-001, 9.3998580E-001, 6.9796680E-002, 3.2529500E-004,-2.2239649E-078,-7.9803321E-073
 4.0002828E+000, 1.3779728E+001,-3.0601225E+000,-1.1506086E+001,-2.9595781E-002,-1.1798659E-004, 0.0000000E+000, 0.0000000E+000,-9.7036329E-001,-8.1619399E-001, 6.9935082E-002, 3.2593941E-004,-2.1574771E-077,-5.6624532E-072
 4.5003285E+000, 1.5174103E+001,-3.1769701E+000,-1.2167505E+001,-3.0846979E-002,-1.2030133E-004, 0.0000000E+000, 0.0000000E+000,-4.0813095E-001,-2.0133985E-001, 6.9986067E-002, 3.2617680E-004,-1.1180597E-076,-2.2564353E-071
 5.0001092E+000, 1.4052864E+001,-3.0602827E+000,-1.0044413E+001,-3.0527609E-002,-1.1716238E-004, 0.0000000E+000, 0.0000000E+000, 7.9281230E-001, 9.1752442E-001, 7.0004827E-002, 3.2626416E-004,-3.6001823E-076,-5.7983418E-071
 5.5001659E+000, 1.4950023E+001,-3.3232489E+000,-1.0791136E+001,-2.4407034E-002,-1.1998716E-004, 0.0000000E+000, 0.0000000E+000, 5.5314785E-001, 8.1111023E-001, 7.0011731E-002, 3.2629630E-004,-8.1948516E-076,-1.0966002E-070
 6.0004158E+000, 1.4449878E+001,-3.4911965E+000,-9.9640524E+000,-2.9524903E-002,-1.1821907E-004, 0.0000000E+000, 0.0000000E+000, 6.3275685E-001, 9.6498628E-001, 7.0014272E-002, 3.2630813E-004,-4.5267645E-075,-4.8184370E-070
 6.5004430E+000, 1.4865883E+001,-3.3996457E+000,-1.1761833E+001,-3.1798762E-002,-1.1904617E-004, 0.0000000E+000, 0.0000000E+000,-6.0268912E-001,-3.2751383E-001, 7.0015207E-002, 3.2631248E-004,-2.0127183E-073,-1.2734286E-068
 7.0002780E+000, 1.4195826E+001,-3.0997057E+000,-1.1228111E+001,-3.5108997E-002,-1.1808137E-004, 0.0000000E+000, 0.0000000E+000,-3.2177205E-001,-1.6721772E-001, 7.0015550E-002, 3.2631408E-004,-6.6159669E-072,-2.6904928E-067
 7.5003400E+000, 1.4289073E+001,-3.1252125E+000,-1.1316519E+001,-3.3833819E-002,-1.1842350E-004, 0.0000000E+000, 0.0000000E+000,-3.4317219E-001,-1.8661078E-001, 7.0015677E-002, 3.2631467E-004,-1.3916492E-070,-3.8055887E-066
 8.0002050E+000, 1.4821415E+001,-3.3149911E+000,-9.2581780E+000,-3.2591430E-002,-1.1897449E-004, 0.0000000E+000, 0.0000000E+000, 1.8908181E+000, 2.2155351E+000, 7.0015723E-002, 3.2631489E-004,-2.1580878E-069,-4.0763209E-065
 8.5003500E+000, 1.4333171E+001,-3.4607773E+000,-1.0813143E+001,-2.8558483E-002,-1.1827079E-004, 0.0000000E+000, 0.0000000E+000,-3.2368327E-001, 3.0573626E-002, 7.0015740E-002, 3.2631497E-004,-2.6583010E-068,-3.5625316E-064
 9.0000458E+000, 1.5115868E+001,-3.4291835E+000,-1.0253806E+001,-2.9197005E-002,-1.1829895E-004, 0.0000000E+000, 0.0000000E+000, 1.1517184E+000, 1.4035636E+000, 7.0015747E-002, 3.2631500E-004,-2.6212063E-067,-2.5796212E-063
 9.5002060E+000, 1.4552885E+001,-3.3524549E+000,-1.2329902E+001,-4.2246461E-002,-1.1881124E-004, 0.0000000E+000, 0.0000000E+000,-1.4602502E+000,-1.1718366E+000, 7.0015749E-002, 3.2631501E-004,-2.0575000E-066,-1.5567255E-062
 1.0000179E+001, 1.4812465E+001,-3.5015254E+000,-1.0774179E+001,-3.0766044E-002,-1.1951263E-004, 0.0000000E+000, 0.0000000E+000, 1.4767978E-001, 5.0587456E-001, 7.0015750E-002, 3.2631501E-004,-1.2843755E-065,-7.8768957E-062
 1.0500522E+001, 1.4478947E+001,-3.7370513E+000,-7.7506031E+000,-2.7164042E-002,-1.1728922E-004, 0.0000000E+000, 0.0000000E+000, 2.5732951E+000, 2.9640113E+000, 7.0015750E-002, 3.2631501E-004,-6.5003966E-065,-3.3921438E-061
 1.1000463E+001, 1.4679353E+001,-3.6915706E+000,-1.0464254E+001,-4.7442009E-002,-1.1976552E-004, 0.0000000E+000, 0.0000000E+000, 8.9640588E-002, 4.7596635E-001, 7.0015750E-002, 3.2631501E-004,-2.7147483E-064,-1.2520331E-060
 1.1500173E+001, 1.4427361E+001,-3.6466816E+000,-1.2481289E+001,-3.3866307E-002,-1.1851269E-004, 0.0000000E+000, 0.0000000E+000,-2.0815445E+000,-1.7345940E+000, 7.0015750E-002, 3.2631501E-004,-9.5296223E-064,-3.9906127E-060
 1.2000072E+001, 1.4182645E+001,-3.5984931E+000,-1.0442052E+001,-3.0656325E-002,-1.1878931E-004, 0.0000000E+000, 0.0000000E+000,-1.3374767E-001, 1.1132442E-001, 7.0015750E-002, 3.2631501E-004,-2.8833286E-063,-1.1163084E-059
 1.2500051E+001, 1.4520104E+001,-3.8512969E+000,-8.5194126E+000,-3.8449856E-002,-1.1831974E-004, 0.0000000E+000, 0.0000000E+000, 1.6239926E+000, 2.1108259E+000, 7.0015750E-002, 3.2631501E-004,-7.6816684E-063,-2.7854626E-059
 1.3000054E+001, 1.4635216E+001,-3.7342986E+000,-1.0963713E+001,-3.2320591E-002,-1.1797042E-004, 0.0000000E+000, 0.0000000E+000,-4.1802113E-001,-9.5234103E-002, 7.0015750E-002, 3.2631501E-004,-1.8496441E-062,-6.3438755E-059
