cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 2.1560240E+001, 8.6763800E-001,-5.0000000E-001, 1.0204920E+003, 1.1201457E+003, 1.2257217E+003, 1.2237706E+003, 1.0958371E+003, 9.1584746E+002, 7.3526419E+001, 1.3741149E+002, 2.0847802E+002, 3.2070938E+002, 3.9239624E+002, 3.7730119E+002,-2.0500000E+001, 7.4510027E-016, 7.5080815E-015, 1.0954300E-014, 4.1905703E-011, 2.5574285E-008, 2.0876550E-016, 1.1334570E-014, 1.4526981E-014, 1.8860287E-010, 9.3709813E-008
 1.5000000E+000, 2.6740472E+001, 1.2355192E+000, 5.0000000E-001, 9.9165187E+002, 1.0954618E+003, 1.2314721E+003, 1.2491875E+003, 1.1149787E+003, 9.2267624E+002, 7.3685897E+001, 1.2345270E+002, 1.7384241E+002, 2.7312487E+002, 3.8995219E+002, 3.6649612E+002,-1.9500000E+001, 6.6859464E-014, 5.5774699E-013, 4.8194151E-013, 3.3588336E-009, 2.0867526E-006, 2.9611977E-014, 8.9477346E-013, 6.5905678E-013, 1.7750520E-008, 9.8238429E-006
 2.5000000E+000, 2.2070244E+001, 1.1809800E+000, 1.5000000E+000, 1.1724351E+003, 1.2850273E+003, 1.2892771E+003, 1.2116588E+003, 1.0702446E+003, 9.0096132E+002, 1.6307705E+002, 1.8587205E+002, 2.3296817E+002, 3.4177537E+002, 4.0257175E+002, 3.8025664E+002,-1.8500000E+001, 6.6859464E-014, 5.5774699E-013, 4.8194151E-013, 3.3588336E-009, 2.0867526E-006, 2.9611977E-014, 8.9477346E-013, 6.5905678E-013, 1.7750520E-008, 9.8238429E-006
 3.5000000E+000, 1.7393900E+001, 1.1516849E+000, 2.5000000E+000, 1.3680146E+003, 1.2396470E+003, 1.1430381E+003, 1.0603867E+003, 9.8032557E+002, 8.5578003E+002, 2.3835843E+002, 3.3416931E+002, 3.7643524E+002, 4.0111903E+002, 4.1187002E+002, 3.8877848E+002,-1.7500000E+001, 7.8997692E-012, 2.8143368E-011, 1.5773411E-011, 1.7381605E-007, 7.5966247E-005, 2.9657376E-012, 4.8161313E-011, 1.8722145E-011, 1.1032235E-006, 3.8924190E-004
 4.5000000E+000, 1.4020175E+001, 1.2792424E+000, 3.5000000E+000, 7.9161840E+002, 7.5233930E+002, 8.5394090E+002, 8.8951508E+002, 8.6909341E+002, 7.8663640E+002, 3.2432788E+002, 2.8812954E+002, 3.8847594E+002, 4.1964591E+002, 4.0856037E+002, 3.7403193E+002,-1.6500000E+001, 7.8997692E-012, 2.8143368E-011, 1.5773411E-011, 1.7381605E-007, 7.5966247E-005, 2.9657376E-012, 4.8161313E-011, 1.8722145E-011, 1.1032235E-006, 3.8924190E-004
 5.5000000E+000, 1.1616301E+001, 1.4402257E+000, 4.5000000E+000, 4.9278603E+002, 5.0272432E+002, 6.1719719E+002, 7.3245943E+002, 7.5620274E+002, 7.1010638E+002, 1.8381802E+002, 1.7773583E+002, 2.8061178E+002, 3.8733559E+002, 3.9359793E+002, 3.5434498E+002,-1.5500000E+001, 7.0250936E-010, 8.1245174E-010, 4.3079954E-010, 7.6519586E-006, 1.0386994E-003, 2.2257607E-010, 1.4151225E-009, 4.8550287E-010, 5.4598760E-005, 4.4437638E-003
 6.5000000E+000, 9.8993564E+000, 1.4023195E+000, 5.5000000E+000, 4.2402107E+002, 4.0237154E+002, 4.5923979E+002, 5.7854127E+002, 6.4233591E+002, 6.3339979E+002, 1.4489404E+002, 1.1973474E+002, 1.6128695E+002, 3.1126082E+002, 3.5994180E+002, 3.2630964E+002,-1.4500000E+001, 7.0250936E-010, 8.1245174E-010, 4.3079954E-010, 7.6519586E-006, 1.0386994E-003, 2.2257607E-010, 1.4151225E-009, 4.8550287E-010, 5.4598760E-005, 4.4437638E-003
 7.5000000E+000, 8.8117991E+000, 1.2887050E+000, 6.5000000E+000, 3.6390303E+002, 3.4681312E+002, 3.7045449E+002, 4.5653251E+002, 5.3709931E+002, 5.5784856E+002, 9.7924792E+001, 7.3756136E+001, 8.3243110E+001, 2.1512724E+002, 2.9982627E+002, 2.8869344E+002,-1.3500000E+001, 2.9949552E-008, 2.2718830E-008, 1.6009452E-008, 1.5330347E-004, 5.5759072E-003, 1.9396045E-008, 3.6387589E-008, 3.0810922E-008, 1.0347609E-003, 1.4340037E-002
 8.5000000E+000, 8.0900178E+000, 1.2617087E+000, 7.5000000E+000, 3.2133749E+002, 3.1650632E+002, 3.2853086E+002, 3.8264390E+002, 4.5449485E+002, 4.9532396E+002, 4.7401062E+001, 4.3910028E+001, 4.8672701E+001, 1.4290596E+002, 2.4036857E+002, 2.5259426E+002,-1.2500000E+001, 2.9949552E-008, 2.2718830E-008, 1.6009452E-008, 1.5330347E-004, 5.5759072E-003, 1.9396045E-008, 3.6387589E-008, 3.0810922E-008, 1.0347609E-003, 1.4340037E-002
