s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755881E-001
 1.0013935E+000, 2.0755881E-001
 2.0009736E+000, 2.0755881E-001
 3.0012931E+000, 2.0755881E-001
 4.0019197E+000, 2.0755881E-001
 5.0006375E+000, 2.0755881E-001
 6.0014701E+000, 2.0746031E-001
 7.0006698E+000, 2.0262617E-001
 8.0014652E+000, 1.9707246E-001
 9.0020906E+000, 1.9189922E-001
 1.0000133E+001, 1.8700391E-001
 1.1000401E+001, 1.8235509E-001
 1.2001542E+001, 1.7792798E-001
 1.3001858E+001, 1.7373450E-001
 1.4001590E+001, 1.6972404E-001
 1.5001129E+001, 1.6589505E-001
 1.6000329E+001, 1.6224191E-001
 1.7001626E+001, 1.5876499E-001
 1.8000698E+001, 1.5543589E-001
 1.9000002E+001, 1.5222822E-001
 2.0000932E+001, 1.4915179E-001
 2.1000738E+001, 1.4620758E-001
 2.2001443E+001, 1.4337189E-001
 2.3001163E+001, 1.4066909E-001
 2.4001337E+001, 1.3802383E-001
 2.5000534E+001, 1.3550408E-001
 2.6000358E+001, 1.3309513E-001
 2.7001590E+001, 1.3072846E-001
 2.8001734E+001, 1.2847226E-001
 2.9000704E+001, 1.2629927E-001
 3.0001864E+001, 1.2417922E-001
 3.1001544E+001, 1.2213742E-001
 3.2001438E+001, 1.2015971E-001
 3.3002215E+001, 1.1824648E-001
 3.4001556E+001, 1.1640928E-001
 3.5002173E+001, 1.1460960E-001
 3.6000679E+001, 1.1287275E-001
 3.7001490E+001, 1.1118868E-001
 3.8000089E+001, 1.0955099E-001
 3.9001925E+001, 1.0796524E-001
 4.0001785E+001, 1.0642439E-001
 4.1001991E+001, 1.0492268E-001
 4.2001113E+001, 1.0346967E-001
 4.3000975E+001, 1.0205874E-001
 4.4001162E+001, 1.0067673E-001
 4.5001107E+001, 9.9338314E-002
 4.6001578E+001, 9.8035357E-002
 4.7001270E+001, 9.6761824E-002
 4.8002954E+001, 9.5521380E-002
 4.9000563E+001, 9.4321222E-002
 5.0001920E+001, 9.3141994E-002
 5.1001686E+001, 9.1992219E-002
 5.2006763E+001, 9.0872183E-002
 5.3007877E+001, 8.9775761E-002
 5.4004038E+001, 8.8711813E-002
 5.5000199E+001, 8.7680899E-002
 5.6008812E+001, 8.6652463E-002
 5.7007992E+001, 8.5660803E-002
 5.8005142E+001, 8.4691591E-002
 5.9002291E+001, 8.3750194E-002
 6.0010520E+001, 8.2811485E-002
 6.1007670E+001, 8.1907651E-002
 6.2004819E+001, 8.1023314E-002
 6.3001969E+001, 8.0156099E-002
 6.4000703E+001, 7.9307358E-002
 6.5000000E+001, 7.8476123E-002
