s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_NITROGEN,MLR_INT PROD,MLR_ETH PROD
 0.0000000E+000, 0.0000000E+000,-3.4659743E-003, 5.7034753E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4659737E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0013936E+000, 4.4182314E+000,-6.0771329E-001,-1.3919536E-002,-5.3050137E-002, 3.6652228E-004, 0.0000000E+000,-1.5671102E-002, 3.6976471E+000, 3.7282438E+000, 3.2112000E-001, 1.1029856E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0009737E+000, 9.5870614E+000,-1.8822292E+000,-5.0273133E+000,-8.5344609E-002, 2.7472431E-003, 0.0000000E+000,-3.0171962E-002, 2.5340563E+000, 2.5647495E+000, 3.2112000E-001, 2.2411121E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0012932E+000, 1.0866919E+001,-2.2224791E+000,-7.5822656E+000,-8.5052704E-002, 4.7327267E-003, 0.0000000E+000,-3.2064505E-002, 9.4398922E-001, 9.4978997E-001, 3.2112000E-001, 2.4740632E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0019197E+000, 1.1007843E+001,-2.2422684E+000,-9.2176460E+000,-8.9676123E-002, 6.1552267E-003, 0.0000000E+000,-3.3570854E-002,-5.2043417E-001,-5.6916314E-001, 3.2112000E-001, 2.5079353E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0006375E+000, 1.1054868E+001,-2.2636401E+000,-8.5476064E+000,-8.5790443E-002, 7.4197643E-003, 0.0000000E+000,-3.3128663E-002, 1.4353599E-001, 1.3212211E-001, 3.2112000E-001, 2.5125612E-004, 1.7244856E-007, 0.0000000E+000, 0.0000000E+000
 6.0014701E+000, 1.1076991E+001,-2.2795188E+000,-8.4483610E+000,-8.6929118E-002, 8.5411808E-003, 0.0000000E+000,-3.3875771E-002, 2.3930768E-001, 2.3684783E-001, 3.2112000E-001, 2.5131881E-004, 4.3382528E-003, 0.0000000E+000, 0.0000000E+000
 7.0006700E+000, 1.1063049E+001,-2.3097792E+000,-8.6897923E+000,-8.5623918E-002, 9.5355748E-003, 0.0000000E+000,-3.3421506E-002,-3.5832782E-002,-4.6032769E-002, 3.2112000E-001, 2.5132731E-004, 1.2979021E-002, 0.0000000E+000, 0.0000000E+000
 8.0014648E+000, 1.1035596E+001,-2.2742062E+000,-8.9009749E+000,-8.1578125E-002, 1.0351341E-002, 0.0000000E+000,-3.3350168E-002,-2.7192066E-001,-2.4416157E-001, 3.2112000E-001, 2.5132846E-004, 2.1618866E-002, 0.0000000E+000, 0.0000000E+000
