s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPYLENE,MLR_ETHYLENE,MLR_NITROGEN,MLR_PROP PROD,MLR_INT PROD,MLR_ETH PROD
 0.0000000E+000, 0.0000000E+000,-3.1843827E-003, 2.8700054E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1843827E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003723E+000, 3.8719915E+000,-9.4257256E-001,-2.0992968E-001,-1.0302303E-001, 7.8210612E-004, 0.0000000E+000,-1.6131335E-002, 2.8279514E+000, 2.6011170E+000, 3.2112000E-001, 1.0565965E-004, 9.5663884E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0006993E+000, 9.1983130E+000,-2.8075176E+000,-4.3870395E+000,-1.3516833E-001, 3.4041003E-003, 0.0000000E+000,-3.2265520E-002, 1.8614925E+000, 1.8397262E+000, 3.2112000E-001, 2.1612960E-004, 1.9568300E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0005949E+000, 1.0769869E+001,-3.3160006E+000,-7.1421623E+000,-1.3331651E-001, 5.4583341E-003, 0.0000000E+000,-3.4964263E-002, 1.8076081E-001, 1.4888377E-001, 3.2112000E-001, 2.3866381E-004, 2.1608540E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0002565E+000, 1.0995648E+001,-3.3865882E+000,-7.1395732E+000,-1.3423321E-001, 7.0550269E-003, 0.0000000E+000,-3.6283131E-002, 3.3904599E-001, 3.0602542E-001, 3.2112000E-001, 2.4193789E-004, 2.1904973E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0003052E+000, 1.1090189E+001,-3.3910689E+000,-7.4012646E+000,-1.3245092E-001, 8.3212725E-003, 0.0000000E+000,-3.5832888E-002, 1.8405571E-001, 1.3789318E-001, 3.2112000E-001, 2.4238566E-004, 2.1945514E-005, 1.1161962E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0005021E+000, 1.1031758E+001,-3.3750948E+000,-7.5515326E+000,-1.3361693E-001, 9.5653181E-003, 0.0000000E+000,-3.6005364E-002,-8.8586128E-003,-5.4926726E-002, 3.2112000E-001, 2.4244637E-004, 2.1951011E-005, 4.3270556E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0002632E+000, 1.1057359E+001,-3.3890747E+000,-7.0702170E+000,-1.3446479E-001, 1.0635863E-002, 0.0000000E+000,-3.6414844E-002, 4.7259966E-001, 4.3782322E-001, 3.2112000E-001, 2.4245459E-004, 2.1951755E-005, 1.2966925E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000620E+000, 1.1039281E+001,-3.3851385E+000,-7.9390719E+000,-1.2690830E-001, 1.1568091E-002, 0.0000000E+000,-3.5662548E-002,-3.9993375E-001,-4.3593203E-001, 3.2112000E-001, 2.4245570E-004, 2.1951856E-005, 2.1605231E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0000429E+000, 1.1049547E+001,-3.2887873E+000,-7.6948917E+000,-1.2473648E-001, 1.2258432E-002, 0.0000000E+000,-3.5663155E-002,-4.0052524E-002,-8.2273633E-002, 3.2112000E-001, 2.4245585E-004, 2.1951869E-005, 3.0244473E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000575E+001, 1.1002302E+001,-3.1914962E+000,-7.5217515E+000,-1.2083681E-001, 1.2725054E-002, 0.0000000E+000,-3.5940498E-002, 1.9170490E-001, 1.4500228E-001, 3.2112000E-001, 2.4245587E-004, 2.1951871E-005, 3.8886412E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1000744E+001, 1.1019290E+001,-3.0735095E+000,-8.1013004E+000,-1.1958885E-001, 1.3035615E-002, 0.0000000E+000,-3.6053807E-002,-2.5313829E-001,-2.9812647E-001, 3.2112000E-001, 2.4245587E-004, 2.1951871E-005, 4.7529353E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000723E+001, 1.1019916E+001,-2.9929270E+000,-7.6655052E+000,-1.0875186E-001, 1.3138645E-002, 0.0000000E+000,-3.5037309E-002, 2.7565755E-001, 2.3083312E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 5.6170232E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3000794E+001, 1.0971171E+001,-2.8782460E+000,-8.2142953E+000,-1.0556599E-001, 1.3177572E-002, 0.0000000E+000,-3.5287548E-002,-1.8982099E-001,-2.4904672E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 6.4810294E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000645E+001, 1.1017200E+001,-2.8478463E+000,-8.3510319E+000,-1.0051038E-001, 1.3198355E-002, 0.0000000E+000,-3.4875128E-002,-2.5939183E-001,-3.0386505E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 7.3449913E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5000363E+001, 1.1022271E+001,-2.7208115E+000,-7.9781920E+000,-9.9181575E-002, 1.3275418E-002, 0.0000000E+000,-3.5397800E-002, 2.3655273E-001, 2.0196361E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 8.2088114E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6000244E+001, 1.1003592E+001,-2.6282093E+000,-8.4551001E+000,-9.4543302E-002, 1.3211779E-002, 0.0000000E+000,-3.4482606E-002,-1.4324663E-001,-1.9553145E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 9.0726228E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7000351E+001, 1.0984027E+001,-2.5279214E+000,-8.3822013E+000,-9.2067101E-002, 1.3007081E-002, 0.0000000E+000,-3.4271070E-002, 9.8165417E-003,-3.9426545E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 9.9366136E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8000443E+001, 1.0990395E+001,-2.4381255E+000,-8.3179732E+000,-8.7760205E-002, 1.2783542E-002, 0.0000000E+000,-3.4218211E-002, 1.6674860E-001, 1.2510171E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 1.0800692E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9000452E+001, 1.1023369E+001,-2.3411433E+000,-8.7446767E+000,-8.2582837E-002, 1.2657196E-002, 0.0000000E+000,-3.4378659E-002,-9.9875534E-002,-1.6675552E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 1.1664729E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000145E+001, 1.1004793E+001,-2.2741440E+000,-9.0031029E+000,-7.9818173E-002, 1.2429268E-002, 0.0000000E+000,-3.4387540E-002,-3.1752200E-001,-3.7423059E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 1.2528648E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1000675E+001, 1.0969156E+001,-2.1673835E+000,-8.7103093E+000,-7.8131430E-002, 1.2053075E-002, 0.0000000E+000,-3.3711109E-002, 4.3183506E-002,-8.3263042E-003, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 1.3392736E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2000704E+001, 1.0988911E+001,-2.0979863E+000,-9.0273863E+000,-7.2220649E-002, 1.1702989E-002, 0.0000000E+000,-3.3238262E-002,-1.6928959E-001,-2.3021723E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 1.4257028E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3000328E+001, 1.0980301E+001,-2.0108926E+000,-8.8010830E+000,-6.7681062E-002, 1.1474800E-002, 0.0000000E+000,-3.3300213E-002, 1.3826238E-001, 7.8819219E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 1.5120758E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4000702E+001, 1.0965279E+001,-1.8935554E+000,-8.7982468E+000,-6.2990922E-002, 1.1098985E-002, 0.0000000E+000,-3.2835292E-002, 2.5117916E-001, 1.8874930E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 1.5984847E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5000153E+001, 1.0981337E+001,-1.8186501E+000,-9.3449537E+000,-6.0461784E-002, 1.0884400E-002, 0.0000000E+000,-3.3222434E-002,-2.0128526E-001,-2.6506709E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 1.6848725E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6000126E+001, 1.0962919E+001,-1.7406900E+000,-9.2281846E+000,-5.7329352E-002, 1.0532379E-002, 0.0000000E+000,-3.2863231E-002,-2.7881023E-002,-8.5615992E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 1.7712456E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7000309E+001, 1.0979926E+001,-1.6484296E+000,-8.7631315E+000,-5.2277300E-002, 1.0172870E-002, 0.0000000E+000,-3.2609560E-002, 5.5371587E-001, 4.9365038E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 1.8576579E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8000706E+001, 1.0931005E+001,-1.5486585E+000,-9.6952880E+000,-4.6590473E-002, 9.6742439E-003, 0.0000000E+000,-3.2512712E-002,-3.2789665E-001,-3.8237018E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 1.9440862E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9000404E+001, 1.0874713E+001,-1.4393886E+000,-9.4664493E+000,-4.2367663E-002, 9.1491686E-003, 0.0000000E+000,-3.2273398E-002,-3.3480864E-002,-9.6616824E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.0304836E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000166E+001, 1.0905506E+001,-1.3656068E+000,-9.4398562E+000,-3.8600746E-002, 8.7821320E-003, 0.0000000E+000,-3.2039481E-002, 1.0172694E-001, 3.8184936E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.1168588E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
