s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755882E-001
 1.0087419E+000, 2.0755882E-001
 2.0038836E+000, 2.0755882E-001
 3.0004243E+000, 2.0755882E-001
 4.0016596E+000, 2.0755882E-001
 5.0042459E+000, 2.0755882E-001
 6.0054702E+000, 2.0699551E-001
 7.0043847E+000, 2.0170503E-001
 8.0047633E+000, 1.9633775E-001
 9.0000659E+000, 1.9126353E-001
 1.0003319E+001, 1.8638837E-001
 1.1001664E+001, 1.8178087E-001
 1.2001083E+001, 1.7742478E-001
 1.3003063E+001, 1.7326153E-001
 1.4003007E+001, 1.6927857E-001
 1.5005358E+001, 1.6549450E-001
 1.6001906E+001, 1.6188232E-001
 1.7004149E+001, 1.5839347E-001
 1.8002047E+001, 1.5507279E-001
 1.9003816E+001, 1.5188209E-001
 2.0000132E+001, 1.4883123E-001
 2.1002046E+001, 1.4592566E-001
 2.2003959E+001, 1.4308527E-001
 2.3001894E+001, 1.4040882E-001
 2.4001640E+001, 1.3777688E-001
 2.5002637E+001, 1.3525578E-001
 2.6001522E+001, 1.3284511E-001
 2.7005013E+001, 1.3050279E-001
 2.8004023E+001, 1.2825931E-001
 2.9003856E+001, 1.2608579E-001
 3.0004011E+001, 1.2398244E-001
 3.1003145E+001, 1.2195272E-001
 3.2002278E+001, 1.1999251E-001
 3.3001411E+001, 1.1810215E-001
 3.4000544E+001, 1.1625231E-001
 3.5005660E+001, 1.1445840E-001
 3.6005198E+001, 1.1273356E-001
 3.7000673E+001, 1.1106033E-001
 3.8001902E+001, 1.0942683E-001
 3.9002574E+001, 1.0784698E-001
 4.0003373E+001, 1.0631128E-001
 4.1001762E+001, 1.0481341E-001
 4.2002090E+001, 1.0336394E-001
 4.3002345E+001, 1.0194884E-001
 4.4003174E+001, 1.0057862E-001
 4.5002827E+001, 9.9237190E-002
 4.6002481E+001, 9.7940221E-002
 4.7002135E+001, 9.6670305E-002
 4.8004643E+001, 9.5434800E-002
 4.9001214E+001, 9.4235454E-002
 5.0003545E+001, 9.3057006E-002
 5.1000115E+001, 9.1919053E-002
 5.2002447E+001, 9.0802161E-002
 5.3004778E+001, 8.9719130E-002
 5.4001348E+001, 8.8662202E-002
 5.5003680E+001, 8.7617195E-002
 5.6001064E+001, 8.6593846E-002
 5.7004046E+001, 8.5599922E-002
 5.8001671E+001, 8.4634441E-002
 5.9003818E+001, 8.3694639E-002
 6.0004584E+001, 8.2766914E-002
 6.1004220E+001, 8.1865707E-002
 6.2004652E+001, 8.0975579E-002
 6.3004660E+001, 8.0104345E-002
 6.4004848E+001, 7.9253656E-002
 6.5000000E+001, 7.8429282E-002
