s,Pa,Pa,Pa,Pa,Pa,Pa,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C
Time,"SFP","CAP","PRES","POSTS","HA","CP","VIEW SF1V","VIEW SF1S","FAST SF1V","FAST SF1S","SIMPLEX SF1V","SIMPLEX SF1S","BI FLOW SF1","T SF1","VIEW SF2V","VIEW SF2S","FAST SF2V","FAST SF2S","SIMPLEX SF2V","SIMPLEX SF2S","BI FLOW SF2","T SF2","VIEW SF3V","VIEW SF3S","FAST SF3V","FAST SF3S","FM SF3S","SIMPLEX SF3V","SIMPLEX SF3S","BI FLOW SF3","T SF3","VIEW C1V","VIEW C1S","FAST C1V","FAST C1S","SIMPLEX C1V","SIMPLEX C1S","BI FLOW C1","BI FLOW C1","T C1","VIEW C2V","VIEW C2S","FAST C2V","FAST C2S","FM C2S","SIMPLEX C2V","SIMPLEX C2S","BI FLOW C2","BI FLOW C2","T C2","VIEW C3V","VIEW C3S","FAST C3V","FAST C3S","SIMPLEX C3V","SIMPLEX C3S","BI FLOW C3","BI FLOW C3","T C3","VIEW P1V","VIEW P1S","FAST P1V","FAST P1S","FM P1S","SIMPLEX P1V","SIMPLEX P1S","BI FLOW P1","T P1","VIEW P2V","VIEW P2S","FAST P2V","FAST P2S","SIMPLEX P2V","SIMPLEX P2S","BI FLOW P2","T P2","VIEW P3V","VIEW P3S","FAST P3V","FAST P3S","SIMPLEX P3V","SIMPLEX P3S","BI FLOW P3","T P3"
-2.0000000E+001,-2.8976734E-005,-8.1426537E-005,-6.7188230E-006,-1.0390082E-005,-3.2419353E-005,-3.9647392E-005, 9.7560523E-003, 0.0000000E+000, 9.7320841E-003, 0.0000000E+000, 4.4655263E-003, 0.0000000E+000, 1.0846674E-004, 2.0000000E+001, 6.8497068E-003, 0.0000000E+000, 4.9042263E-003, 0.0000000E+000, 1.2620768E-002, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 9.1188616E-003, 0.0000000E+000, 5.6323146E-003, 0.0000000E+000, 0.0000000E+000, 9.8977656E-003, 0.0000000E+000,-3.1864575E-003, 2.0000000E+001, 6.1217637E-004, 0.0000000E+000, 1.0866069E-002, 0.0000000E+000, 4.0393188E-003, 0.0000000E+000,-8.6639038E-003, 5.7843757E-003, 2.0000000E+001, 1.7226713E-003, 0.0000000E+000, 5.8164501E-003, 0.0000000E+000, 0.0000000E+000, 3.6701336E-003, 0.0000000E+000, 0.0000000E+000, 2.4608965E-003, 2.0000000E+001, 4.9050686E-003, 0.0000000E+000, 7.7347859E-003, 0.0000000E+000, 1.0694485E-002, 0.0000000E+000, 4.8471843E-003,-1.7166907E-003, 2.0000000E+001, 7.8027822E-003, 0.0000000E+000, 6.7644845E-003, 0.0000000E+000, 0.0000000E+000, 1.7527608E-003, 0.0000000E+000,-3.7619080E-003, 2.0000000E+001, 7.8663581E-003, 0.0000000E+000, 4.0231245E-003, 0.0000000E+000, 4.9015924E-003, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 4.4856539E-003, 0.0000000E+000, 3.2265987E-003, 0.0000000E+000, 6.8347312E-003, 0.0000000E+000,-2.7012515E-003, 2.0000000E+001
-9.9986352E+000,-3.1981215E+001,-4.7450904E+001,-5.0463568E+001,-5.7643515E+001,-6.1779010E+001,-8.0826071E+001, 3.7033959E+000, 0.0000000E+000, 1.6250581E+000, 0.0000000E+000, 3.8036478E+000, 0.0000000E+000, 2.8589475E+000, 2.0000229E+001, 1.3455026E+000, 0.0000000E+000, 1.5776252E+000, 0.0000000E+000, 1.0022541E+000, 0.0000000E+000, 1.1438336E+000, 1.9999716E+001, 1.0983191E+000, 0.0000000E+000, 1.0370761E+000, 0.0000000E+000, 0.0000000E+000, 1.0006227E+000, 0.0000000E+000, 3.6876668E-001, 1.9998596E+001, 5.9484281E-001, 0.0000000E+000, 4.5788840E-001, 0.0000000E+000, 5.1633202E-001, 0.0000000E+000, 2.0416295E-001, 1.2278303E-001, 1.9997564E+001, 8.3598722E-001, 0.0000000E+000, 6.3889273E-001, 0.0000000E+000, 0.0000000E+000, 2.7084569E-001, 0.0000000E+000,-4.2876758E-001, 2.3080888E-001, 1.9991731E+001, 8.3322870E-001, 0.0000000E+000, 8.3378539E-001, 0.0000000E+000, 7.9065298E-001, 0.0000000E+000, 2.3644434E-001, 2.6566568E-002, 1.9992501E+001, 2.8681308E+000, 0.0000000E+000, 2.6973901E+000, 0.0000000E+000, 0.0000000E+000, 2.5790471E+000, 0.0000000E+000,-2.6034304E+000, 1.9990585E+001, 1.9927229E+000, 0.0000000E+000, 2.1879368E+000, 0.0000000E+000, 1.9684065E+000, 0.0000000E+000,-2.1025294E+000, 1.9985229E+001, 1.6977023E+000, 0.0000000E+000, 1.6472344E+000, 0.0000000E+000, 1.8391907E+000, 0.0000000E+000,-1.1236614E+000, 1.9987231E+001
 2.1856336E-004,-3.1583131E+001,-4.7604203E+001,-5.0936615E+001,-5.8652207E+001,-6.3043331E+001,-8.3695555E+001, 3.9895526E+000, 0.0000000E+000, 1.7733831E+000, 0.0000000E+000, 4.0645660E+000, 0.0000000E+000, 3.0502110E+000, 1.9999473E+001, 1.2898483E+000, 0.0000000E+000, 1.7548125E+000, 0.0000000E+000, 1.0076109E+000, 0.0000000E+000, 1.0825397E+000, 1.9999218E+001, 1.3768647E+000, 0.0000000E+000, 9.2437994E-001, 0.0000000E+000, 0.0000000E+000, 1.2820440E+000, 0.0000000E+000, 5.4311679E-001, 1.9997744E+001, 1.0644126E+000, 0.0000000E+000, 1.0208268E+000, 0.0000000E+000, 1.0676323E+000, 0.0000000E+000, 9.6512901E-001, 2.1627435E-001, 1.9977630E+001, 1.0859076E+000, 0.0000000E+000, 8.8566826E-001, 0.0000000E+000, 0.0000000E+000, 4.6127232E-001, 0.0000000E+000,-6.1412075E-001, 2.9479094E-001, 1.9973168E+001, 1.2052642E+000, 0.0000000E+000, 1.0431916E+000, 0.0000000E+000, 1.1352673E+000, 0.0000000E+000, 3.8264571E-001, 9.3834519E-002, 1.9973192E+001, 3.1680576E+000, 0.0000000E+000, 3.0565329E+000, 0.0000000E+000, 0.0000000E+000, 2.9327522E+000, 0.0000000E+000,-2.9201776E+000, 1.9969753E+001, 2.4342703E+000, 0.0000000E+000, 2.4897546E+000, 0.0000000E+000, 2.2558660E+000, 0.0000000E+000,-2.4998417E+000, 1.9963029E+001, 2.1264789E+000, 0.0000000E+000, 1.9475855E+000, 0.0000000E+000, 2.2635491E+000, 0.0000000E+000,-1.1307835E+000, 1.9965265E+001
 1.0000766E+001,-3.1358880E+001,-4.7362391E+001,-5.0713674E+001,-5.8412217E+001,-6.2834081E+001,-8.3445666E+001, 4.0864658E+000, 2.0773091E-059, 1.6097608E+000, 1.2376289E-054, 4.1761715E+000, 1.1798097E-048, 3.1322572E+000, 1.9999727E+001, 1.4816795E+000, 3.8012176E-034, 1.7408323E+000, 6.0262391E-037, 9.6884352E-001, 1.8989843E-033, 1.1602999E+000, 1.9999147E+001, 1.4568997E+000, 7.1584001E-031, 9.5309993E-001, 1.8080655E-037, 5.5376602E-041, 1.2537498E+000, 2.1432101E-032, 5.5750110E-001, 1.9997854E+001, 1.1655684E+000, 3.5555586E-005, 1.0521742E+000, 2.8816826E-005, 1.0111098E+000, 1.2145519E-005, 9.8071445E-001, 1.5862124E-001, 1.9974096E+001, 1.1610876E+000, 2.6848827E-001, 9.4373702E-001, 3.8382929E-001, 2.3368138E-001, 5.1618393E-001, 8.5616076E-001,-6.2947623E-001, 2.7531872E-001, 2.0070041E+001, 1.2048472E+000, 2.7821383E+000, 1.0900830E+000, 1.3312802E+000, 1.0609335E+000, 2.5382288E-001, 4.1839077E-001, 4.8335759E-002, 2.0106930E+001, 3.1476670E+000, 3.8474630E-001, 3.0608108E+000, 5.0290527E-001, 4.6573426E-001, 2.8948036E+000, 4.9878181E-001,-2.8640891E+000, 1.9997526E+001, 2.4516575E+000, 4.4087513E+000, 2.4904070E+000, 4.1711934E+000, 2.1998366E+000, 6.3558566E+000,-2.4836013E+000, 2.0664734E+001, 2.1159648E+000, 2.7045861E-002, 2.0021020E+000, 8.4029135E-003, 2.2833578E+000, 5.3874774E-003,-1.2876853E+000, 1.9979637E+001
 2.0000098E+001,-3.1510522E+001,-4.7410644E+001,-5.0725605E+001,-5.8374994E+001,-6.2856578E+001,-8.3388084E+001, 4.0356452E+000, 6.6188584E-053, 1.7114080E+000, 2.2014713E-048, 4.1301360E+000, 2.8531355E-043, 3.1019982E+000, 1.9999469E+001, 1.3214509E+000, 1.3265448E-030, 1.7452394E+000, 7.4115627E-033, 9.7921789E-001, 7.8754284E-032, 1.0141244E+000, 1.9999060E+001, 1.3486075E+000, 7.0482861E-030, 9.1643491E-001, 3.3854637E-035, 2.0628700E-037, 1.2440095E+000, 1.6787812E-031, 5.0344718E-001, 1.9997502E+001, 1.0481599E+000, 2.5338178E-003, 8.8133483E-001, 2.5461355E-003, 8.9273148E-001, 1.8182356E-003, 8.1620300E-001, 1.2121388E-001, 1.9994970E+001, 1.1545493E+000, 2.3102337E-001, 9.5693713E-001, 4.8569435E-001, 3.9517847E-001, 5.4726919E-001, 1.1897905E+000,-6.5847364E-001, 3.2375214E-001, 2.0475186E+001, 1.3492083E+000, 1.2657781E+001, 1.1546051E+000, 5.1706966E+000, 1.1643996E+000, 2.1873813E+000, 4.8193849E-001, 2.9305684E-002, 2.1156387E+001, 3.1126932E+000, 2.3073398E+000, 3.0400167E+000, 2.4600763E+000, 2.4598917E+000, 2.8638909E+000, 2.5749951E+000,-2.8273862E+000, 2.0520961E+001, 2.3801477E+000, 5.8622426E+000, 2.4986482E+000, 5.9014628E+000, 2.2486697E+000, 7.9965928E+000,-2.4509006E+000, 2.2246783E+001, 2.1931045E+000, 2.6170888E-001, 2.0181424E+000, 1.6095876E-001, 2.2478338E+000, 3.1942101E-001,-1.3107097E+000, 2.0102765E+001
 3.0002204E+001,-3.1334438E+001,-4.7272658E+001,-5.0512104E+001,-5.8239094E+001,-6.2646427E+001,-8.3249329E+001, 4.0003706E+000, 3.6405459E-051, 1.7561904E+000, 3.3845288E-046, 4.0740066E+000, 7.0155566E-040, 3.0587587E+000, 1.9999554E+001, 1.3056200E+000, 6.0239968E-030, 1.7075247E+000, 6.4619838E-032, 9.4584419E-001, 6.2798423E-031, 1.0268701E+000, 1.9999073E+001, 1.3478522E+000, 2.1610855E-030, 9.8868140E-001, 3.7990604E-035, 9.9418292E-036, 1.2109327E+000, 1.9329929E-032, 4.6118508E-001, 1.9997830E+001, 1.0490257E+000, 5.9444735E-003, 9.0810631E-001, 4.0469311E-003, 9.1537505E-001, 3.3917686E-003, 7.6571658E-001, 9.4918566E-002, 2.0033032E+001, 1.1037955E+000, 2.0027030E-001, 8.4516937E-001, 2.4295462E-001, 1.5990844E-001, 5.7098805E-001, 9.5011670E-001,-5.8257618E-001, 2.7420862E-001, 2.0523997E+001, 1.2543617E+000, 4.9428275E+000, 1.1076420E+000, 2.6546724E+000, 1.1596503E+000, 1.0355670E+000, 4.0414521E-001, 1.2979899E-002, 2.0914811E+001, 3.1673674E+000, 3.4835587E+000, 3.0482916E+000, 3.7131653E+000, 4.0136808E+000, 2.8635053E+000, 3.7647533E+000,-2.8563522E+000, 2.0804340E+001, 2.3839455E+000, 7.3188994E+000, 2.4686671E+000, 8.0157172E+000, 2.2039035E+000, 1.0672026E+001,-2.4331497E+000, 2.2652489E+001, 2.1454049E+000, 4.8841627E-001, 1.9891492E+000, 2.0684739E-001, 2.2480421E+000, 7.1334360E-001,-1.1563373E+000, 2.0202418E+001
 4.0001770E+001,-3.1273003E+001,-4.7215414E+001,-5.0568652E+001,-5.8262114E+001,-6.2655790E+001,-8.3277318E+001, 4.2037870E+000, 1.4038396E-051, 1.5950878E+000, 7.6059586E-048, 4.3003986E+000, 2.7612747E-040, 3.2419083E+000, 1.9999670E+001, 1.5036647E+000, 2.1945406E-029, 1.7220367E+000, 3.1896016E-031, 9.9266596E-001, 4.3505609E-030, 1.2309857E+000, 1.9999164E+001, 1.5092486E+000, 9.9607570E-030, 1.0069656E+000, 1.8484975E-034, 2.7928205E-035, 1.3379728E+000, 1.6595288E-031, 4.9046652E-001, 1.9997806E+001, 1.0673479E+000, 1.7524127E-002, 9.1105901E-001, 8.5075969E-003, 9.2759772E-001, 7.9202131E-003, 8.3856543E-001, 1.3062219E-001, 2.0039474E+001, 1.1243374E+000, 3.5220047E-001, 8.0946805E-001, 3.5831414E-001, 2.3165668E-001, 6.0780096E-001, 4.8034646E-001,-6.0498085E-001, 2.1187770E-001, 2.0733939E+001, 1.3300248E+000, 1.5708439E+001, 1.2182321E+000, 9.1855099E+000, 1.1224005E+000, 3.6251696E+000, 4.4464235E-001, 4.0020835E-002, 2.1733838E+001, 3.1577055E+000, 3.3623632E+000, 3.0395939E+000, 3.5717893E+000, 3.6699317E+000, 2.9205335E+000, 3.6001523E+000,-2.8993553E+000, 2.0853699E+001, 2.4241676E+000, 3.4823618E+000, 2.5076933E+000, 2.8100700E+000, 2.2279233E+000, 5.8703426E+000,-2.4749820E+000, 2.1820926E+001, 2.0811679E+000, 5.6956985E-001, 2.0406851E+000, 2.3098848E-001, 2.1096236E+000, 5.8652852E-001,-1.3125522E+000, 2.0215234E+001
 5.0001067E+001,-3.1437601E+001,-4.7432373E+001,-5.0767602E+001,-5.8432964E+001,-6.2876510E+001,-8.3522587E+001, 4.0163026E+000, 7.3118009E-050, 1.7827516E+000, 3.0247191E-047, 4.1021363E+000, 5.8527994E-041, 3.0942717E+000, 1.9999991E+001, 1.4683546E+000, 4.2336596E-030, 1.7187767E+000, 6.1478331E-032, 9.9680632E-001, 9.4049036E-031, 1.1634833E+000, 1.9999320E+001, 1.4692627E+000, 2.2897577E-030, 8.6364301E-001, 6.8438786E-035, 1.9571115E-035, 1.2578311E+000, 2.9143606E-032, 5.1370937E-001, 1.9997604E+001, 1.0758452E+000, 1.4761123E-002, 9.2355700E-001, 9.2502226E-003, 1.0243827E+000, 8.9595294E-003, 8.6908101E-001, 1.3550305E-001, 2.0050899E+001, 1.0910052E+000, 1.1773979E-001, 8.2266875E-001, 1.0132852E-001, 7.8210398E-002, 4.9639679E-001, 3.1041432E-001,-5.6077317E-001, 2.8630321E-001, 2.0843471E+001, 1.2909772E+000, 1.9797816E+001, 1.2605383E+000, 1.6390363E+001, 1.1952315E+000, 9.9982583E+000, 5.3204068E-001, 2.8520756E-002, 2.3849713E+001, 3.0685447E+000, 2.3215074E+000, 3.0009559E+000, 2.4756368E+000, 2.8073408E+000, 2.8358909E+000, 2.3064444E+000,-2.7817036E+000, 2.0655210E+001, 2.3859589E+000, 3.1244584E+000, 2.4234995E+000, 3.1420085E+000, 2.1667171E+000, 4.8797323E+000,-2.4043281E+000, 2.1363570E+001, 2.1443552E+000, 1.1571628E+000, 2.0603681E+000, 6.5370445E-001, 2.0081626E+000, 1.5701551E+000,-1.3246493E+000, 2.0336079E+001
 6.0001499E+001,-3.1592362E+001,-4.7491787E+001,-5.0804573E+001,-5.8483274E+001,-6.2840364E+001,-8.3558716E+001, 3.9784634E+000, 8.8057155E-051, 1.7903147E+000, 2.6928129E-047, 4.0550565E+000, 2.3875695E-041, 3.0548409E+000, 1.9999822E+001, 1.3248052E+000, 4.6837094E-030, 1.7338646E+000, 3.1315148E-032, 1.0238997E+000, 4.6054905E-031, 1.0709704E+000, 1.9999522E+001, 1.4981958E+000, 3.6939326E-030, 1.0553831E+000, 6.7380557E-035, 1.4160028E-035, 1.3527634E+000, 9.0876149E-032, 5.9205729E-001, 1.9998216E+001, 1.0647848E+000, 7.2792962E-003, 9.1833818E-001, 3.1848557E-003, 9.7262979E-001, 4.7779756E-003, 8.9441437E-001, 1.1521547E-001, 2.0066337E+001, 1.1211166E+000, 1.6149205E-001, 8.0752827E-001, 1.6775709E-001, 1.0547500E-001, 5.7863817E-001, 5.1013690E-001,-6.0346833E-001, 2.7756759E-001, 2.0857999E+001, 1.3628593E+000, 2.1283183E+001, 1.3656207E+000, 1.5955564E+001, 1.2784914E+000, 9.8995190E+000, 5.8358062E-001, 1.7479675E-002, 2.4113872E+001, 3.1127862E+000, 2.2489841E+000, 2.9820826E+000, 2.6339768E+000, 3.0612096E+000, 2.8311711E+000, 2.3526645E+000,-2.8103034E+000, 2.0661407E+001, 2.2228132E+000, 3.2169787E+000, 2.4382101E+000, 2.5808946E+000, 2.1775567E+000, 4.4235955E+000,-2.3576981E+000, 2.1477858E+001, 2.1089276E+000, 1.3613553E+000, 1.9760625E+000, 6.9509628E-001, 2.1412841E+000, 1.6684859E+000,-1.3736917E+000, 2.0452201E+001
