m,kW/m2,C
Height,Flux,Temp
 1.000E-02, 2.481E+01, 4.265E+02
 3.000E-02, 3.490E+01, 5.121E+02
 5.000E-02, 3.895E+01, 5.404E+02
 7.000E-02, 3.950E+01, 5.437E+02
 9.000E-02, 3.825E+01, 5.348E+02
 1.100E-01, 3.627E+01, 5.204E+02
 1.300E-01, 3.411E+01, 5.043E+02
 1.500E-01, 3.202E+01, 4.879E+02
 1.700E-01, 3.004E+01, 4.716E+02
 1.900E-01, 2.818E+01, 4.555E+02
 2.100E-01, 2.642E+01, 4.395E+02
 2.300E-01, 2.476E+01, 4.237E+02
 2.500E-01, 2.322E+01, 4.081E+02
 2.700E-01, 2.175E+01, 3.924E+02
 2.900E-01, 2.034E+01, 3.765E+02
 3.100E-01, 1.898E+01, 3.605E+02
 3.300E-01, 1.765E+01, 3.442E+02
 3.500E-01, 1.638E+01, 3.278E+02
 3.700E-01, 1.518E+01, 3.115E+02
 3.900E-01, 1.404E+01, 2.954E+02
 4.100E-01, 1.298E+01, 2.796E+02
 4.300E-01, 1.201E+01, 2.643E+02
 4.500E-01, 1.110E+01, 2.494E+02
 4.700E-01, 1.027E+01, 2.353E+02
 4.900E-01, 9.502E+00, 2.217E+02
 5.100E-01, 8.792E+00, 2.088E+02
 5.300E-01, 8.137E+00, 1.965E+02
 5.500E-01, 7.529E+00, 1.848E+02
 5.700E-01, 6.973E+00, 1.739E+02
 5.900E-01, 6.461E+00, 1.637E+02
 6.100E-01, 5.998E+00, 1.542E+02
 6.300E-01, 5.570E+00, 1.454E+02
 6.500E-01, 5.180E+00, 1.374E+02
 6.700E-01, 4.823E+00, 1.299E+02
 6.900E-01, 4.500E+00, 1.231E+02
 7.100E-01, 4.206E+00, 1.168E+02
 7.300E-01, 3.943E+00, 1.112E+02
 7.500E-01, 3.699E+00, 1.059E+02
 7.700E-01, 3.480E+00, 1.011E+02
 7.900E-01, 3.279E+00, 9.669E+01
 8.100E-01, 3.096E+00, 9.267E+01
 8.300E-01, 2.926E+00, 8.893E+01
 8.500E-01, 2.772E+00, 8.553E+01
 8.700E-01, 2.629E+00, 8.236E+01
 8.900E-01, 2.499E+00, 7.948E+01
 9.100E-01, 2.378E+00, 7.678E+01
 9.300E-01, 2.268E+00, 7.431E+01
 9.500E-01, 2.167E+00, 7.201E+01
 9.700E-01, 2.075E+00, 6.992E+01
 9.900E-01, 1.991E+00, 6.799E+01
 1.010E+00, 1.915E+00, 6.623E+01
 1.030E+00, 1.844E+00, 6.458E+01
 1.050E+00, 1.779E+00, 6.306E+01
 1.070E+00, 1.718E+00, 6.165E+01
 1.090E+00, 1.662E+00, 6.035E+01
 1.110E+00, 1.610E+00, 5.914E+01
 1.130E+00, 1.562E+00, 5.802E+01
 1.150E+00, 1.517E+00, 5.697E+01
 1.170E+00, 1.475E+00, 5.598E+01
 1.190E+00, 1.436E+00, 5.505E+01
 1.210E+00, 1.399E+00, 5.417E+01
 1.230E+00, 1.364E+00, 5.333E+01
 1.250E+00, 1.331E+00, 5.254E+01
 1.270E+00, 1.299E+00, 5.178E+01
 1.290E+00, 1.269E+00, 5.105E+01
 1.310E+00, 1.240E+00, 5.035E+01
 1.330E+00, 1.213E+00, 4.967E+01
 1.350E+00, 1.185E+00, 4.901E+01
 1.370E+00, 1.159E+00, 4.838E+01
 1.390E+00, 1.133E+00, 4.775E+01
 1.410E+00, 1.108E+00, 4.716E+01
 1.430E+00, 1.083E+00, 4.658E+01
 1.450E+00, 1.060E+00, 4.601E+01
 1.470E+00, 1.037E+00, 4.546E+01
 1.490E+00, 1.014E+00, 4.493E+01
 1.510E+00, 9.927E-01, 4.441E+01
 1.530E+00, 9.723E-01, 4.391E+01
 1.550E+00, 9.528E-01, 4.343E+01
 1.570E+00, 9.341E-01, 4.297E+01
 1.590E+00, 9.161E-01, 4.253E+01
 1.610E+00, 8.988E-01, 4.211E+01
 1.630E+00, 8.825E-01, 4.172E+01
 1.650E+00, 8.671E-01, 4.135E+01
 1.670E+00, 8.522E-01, 4.099E+01
 1.690E+00, 8.378E-01, 4.065E+01
 1.710E+00, 8.236E-01, 4.031E+01
 1.730E+00, 8.100E-01, 3.998E+01
 1.750E+00, 7.969E-01, 3.966E+01
 1.770E+00, 7.843E-01, 3.935E+01
 1.790E+00, 7.724E-01, 3.907E+01
 1.810E+00, 7.609E-01, 3.879E+01
 1.830E+00, 7.500E-01, 3.853E+01
 1.850E+00, 7.392E-01, 3.828E+01
 1.870E+00, 7.287E-01, 3.803E+01
 1.890E+00, 7.182E-01, 3.779E+01
 1.910E+00, 7.079E-01, 3.755E+01
 1.930E+00, 6.978E-01, 3.732E+01
 1.950E+00, 6.878E-01, 3.710E+01
 1.970E+00, 6.780E-01, 3.689E+01
 1.990E+00, 6.685E-01, 3.668E+01
 2.010E+00, 6.592E-01, 3.648E+01
 2.030E+00, 6.504E-01, 3.629E+01
 2.050E+00, 6.420E-01, 3.610E+01
 2.070E+00, 6.338E-01, 3.591E+01
 2.090E+00, 6.258E-01, 3.573E+01
 2.110E+00, 6.181E-01, 3.555E+01
 2.130E+00, 6.105E-01, 3.537E+01
 2.150E+00, 6.032E-01, 3.520E+01
 2.170E+00, 5.961E-01, 3.502E+01
 2.190E+00, 5.892E-01, 3.485E+01
 2.210E+00, 5.824E-01, 3.468E+01
 2.230E+00, 5.756E-01, 3.450E+01
 2.250E+00, 5.687E-01, 3.433E+01
 2.270E+00, 5.617E-01, 3.415E+01
 2.290E+00, 5.546E-01, 3.397E+01
 2.310E+00, 5.473E-01, 3.379E+01
 2.330E+00, 5.397E-01, 3.361E+01
 2.350E+00, 5.320E-01, 3.343E+01
 2.370E+00, 5.235E-01, 3.323E+01
 2.390E+00, 5.149E-01, 3.303E+01
 2.410E+00, 5.047E-01, 3.280E+01
 2.430E+00, 4.975E-01, 3.265E+01
