m,kW/m2
z,HF
 2.500E-02, 7.323E+00
 7.500E-02, 9.223E+00
 1.250E-01, 1.306E+01
 1.750E-01, 1.601E+01
 2.250E-01, 1.803E+01
 2.750E-01, 1.996E+01
 3.250E-01, 2.156E+01
 3.750E-01, 2.329E+01
 4.250E-01, 2.471E+01
 4.750E-01, 2.594E+01
 5.250E-01, 2.746E+01
 5.750E-01, 2.869E+01
 6.250E-01, 2.969E+01
 6.750E-01, 3.050E+01
 7.250E-01, 3.139E+01
 7.750E-01, 3.214E+01
 8.250E-01, 3.288E+01
 8.750E-01, 3.367E+01
 9.250E-01, 3.459E+01
 9.750E-01, 3.546E+01
 1.025E+00, 3.606E+01
 1.075E+00, 3.663E+01
 1.125E+00, 3.718E+01
 1.175E+00, 3.768E+01
 1.225E+00, 3.820E+01
 1.275E+00, 3.873E+01
 1.325E+00, 3.915E+01
 1.375E+00, 3.971E+01
 1.425E+00, 3.951E+01
 1.475E+00, 3.912E+01
 1.525E+00, 3.868E+01
 1.575E+00, 3.815E+01
 1.625E+00, 3.752E+01
 1.675E+00, 3.692E+01
 1.725E+00, 3.626E+01
 1.775E+00, 3.571E+01
 1.825E+00, 3.493E+01
 1.875E+00, 3.372E+01
 1.925E+00, 3.140E+01
 1.975E+00, 2.633E+01
