m,kW/m2
z,HF
 2.500E-02, 1.856E+01
 7.500E-02, 1.807E+01
 1.250E-01, 2.323E+01
 1.750E-01, 2.660E+01
 2.250E-01, 2.798E+01
 2.750E-01, 2.978E+01
 3.250E-01, 3.148E+01
 3.750E-01, 3.309E+01
 4.250E-01, 3.458E+01
 4.750E-01, 3.588E+01
 5.250E-01, 3.762E+01
 5.750E-01, 3.931E+01
 6.250E-01, 4.092E+01
 6.750E-01, 4.226E+01
 7.250E-01, 4.365E+01
 7.750E-01, 4.522E+01
 8.250E-01, 4.611E+01
 8.750E-01, 4.716E+01
 9.250E-01, 4.811E+01
 9.750E-01, 4.832E+01
 1.025E+00, 4.839E+01
 1.075E+00, 4.919E+01
 1.125E+00, 5.046E+01
 1.175E+00, 5.160E+01
 1.225E+00, 5.225E+01
 1.275E+00, 5.295E+01
 1.325E+00, 5.380E+01
 1.375E+00, 5.521E+01
 1.425E+00, 5.470E+01
 1.475E+00, 5.412E+01
 1.525E+00, 5.377E+01
 1.575E+00, 5.370E+01
 1.625E+00, 5.336E+01
 1.675E+00, 5.319E+01
 1.725E+00, 5.318E+01
 1.775E+00, 5.285E+01
 1.825E+00, 5.184E+01
 1.875E+00, 5.044E+01
 1.925E+00, 4.768E+01
 1.975E+00, 4.081E+01
