m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 1.201E+01, 2.037E+01, 1.245E+01, 5.175E+00, 4.500E-01, 1.891E+01, 3.324E+01, 1.571E+01, 5.463E+00
 5.000E-01, 1.107E+01, 1.813E+01, 1.145E+01, 5.003E+00, 5.000E-01, 1.607E+01, 2.770E+01, 1.379E+01, 5.027E+00
 5.500E-01, 1.022E+01, 1.621E+01, 1.054E+01, 4.852E+00, 5.500E-01, 1.383E+01, 2.334E+01, 1.218E+01, 4.634E+00
 6.000E-01, 9.455E+00, 1.455E+01, 9.730E+00, 4.707E+00, 6.000E-01, 1.199E+01, 1.983E+01, 1.081E+01, 4.281E+00
 6.500E-01, 8.761E+00, 1.312E+01, 9.000E+00, 4.557E+00, 6.500E-01, 1.047E+01, 1.697E+01, 9.621E+00, 3.960E+00
 7.000E-01, 8.133E+00, 1.188E+01, 8.345E+00, 4.397E+00, 7.000E-01, 9.175E+00, 1.461E+01, 8.579E+00, 3.665E+00
 7.500E-01, 7.564E+00, 1.080E+01, 7.758E+00, 4.227E+00, 7.500E-01, 8.071E+00, 1.264E+01, 7.659E+00, 3.389E+00
 8.000E-01, 7.048E+00, 9.859E+00, 7.231E+00, 4.047E+00, 8.000E-01, 7.120E+00, 1.097E+01, 6.844E+00, 3.128E+00
 8.500E-01, 6.578E+00, 9.032E+00, 6.755E+00, 3.862E+00, 8.500E-01, 6.295E+00, 9.563E+00, 6.120E+00, 2.882E+00
 9.000E-01, 6.151E+00, 8.303E+00, 6.324E+00, 3.675E+00, 9.000E-01, 5.575E+00, 8.360E+00, 5.476E+00, 2.650E+00
 9.500E-01, 5.761E+00, 7.659E+00, 5.931E+00, 3.490E+00, 9.500E-01, 4.946E+00, 7.328E+00, 4.901E+00, 2.432E+00
 1.000E+00, 5.404E+00, 7.087E+00, 5.568E+00, 3.311E+00, 1.000E+00, 4.393E+00, 6.437E+00, 4.390E+00, 2.228E+00
 1.050E+00, 5.076E+00, 6.576E+00, 5.232E+00, 3.140E+00, 1.050E+00, 3.907E+00, 5.666E+00, 3.933E+00, 2.039E+00
 1.100E+00, 4.774E+00, 6.118E+00, 4.917E+00, 2.979E+00, 1.100E+00, 3.477E+00, 4.996E+00, 3.526E+00, 1.865E+00
 1.150E+00, 4.495E+00, 5.704E+00, 4.621E+00, 2.829E+00, 1.150E+00, 3.097E+00, 4.412E+00, 3.163E+00, 1.704E+00
 1.200E+00, 4.235E+00, 5.329E+00, 4.340E+00, 2.689E+00, 1.200E+00, 2.761E+00, 3.901E+00, 2.839E+00, 1.556E+00
 1.250E+00, 3.994E+00, 4.986E+00, 4.074E+00, 2.560E+00, 1.250E+00, 2.463E+00, 3.454E+00, 2.549E+00, 1.421E+00
 1.300E+00, 3.768E+00, 4.671E+00, 3.822E+00, 2.439E+00, 1.300E+00, 2.199E+00, 3.061E+00, 2.291E+00, 1.297E+00
 1.350E+00, 3.556E+00, 4.381E+00, 3.582E+00, 2.326E+00, 1.350E+00, 1.964E+00, 2.716E+00, 2.059E+00, 1.184E+00
 1.400E+00, 3.357E+00, 4.111E+00, 3.354E+00, 2.219E+00, 1.400E+00, 1.755E+00, 2.412E+00, 1.853E+00, 1.081E+00
 1.450E+00, 3.169E+00, 3.859E+00, 3.139E+00, 2.117E+00, 1.450E+00, 1.570E+00, 2.144E+00, 1.668E+00, 9.866E-01
 1.500E+00, 2.991E+00, 3.623E+00, 2.935E+00, 2.018E+00, 1.500E+00, 1.405E+00, 1.907E+00, 1.502E+00, 9.005E-01
 1.550E+00, 2.822E+00, 3.402E+00, 2.744E+00, 1.921E+00, 1.550E+00, 1.258E+00, 1.698E+00, 1.354E+00, 8.220E-01
 1.600E+00, 2.662E+00, 3.193E+00, 2.564E+00, 1.827E+00, 1.600E+00, 1.127E+00, 1.512E+00, 1.221E+00, 7.503E-01
 1.650E+00, 2.509E+00, 2.996E+00, 2.396E+00, 1.733E+00, 1.650E+00, 1.011E+00, 1.348E+00, 1.101E+00, 6.848E-01
 1.700E+00, 2.364E+00, 2.809E+00, 2.239E+00, 1.641E+00, 1.700E+00, 9.073E-01, 1.202E+00, 9.942E-01, 6.251E-01
 1.750E+00, 2.226E+00, 2.631E+00, 2.093E+00, 1.550E+00, 1.750E+00, 8.148E-01, 1.073E+00, 8.981E-01, 5.706E-01
 1.800E+00, 2.094E+00, 2.463E+00, 1.957E+00, 1.461E+00, 1.800E+00, 7.323E-01, 9.575E-01, 8.118E-01, 5.210E-01
 1.850E+00, 1.969E+00, 2.303E+00, 1.831E+00, 1.372E+00, 1.850E+00, 6.587E-01, 8.551E-01, 7.343E-01, 4.758E-01
 1.900E+00, 1.849E+00, 2.152E+00, 1.715E+00, 1.286E+00, 1.900E+00, 5.929E-01, 7.640E-01, 6.645E-01, 4.347E-01
 1.950E+00, 1.734E+00, 2.008E+00, 1.607E+00, 1.202E+00, 1.950E+00, 5.341E-01, 6.829E-01, 6.017E-01, 3.974E-01
 2.000E+00, 1.625E+00, 1.872E+00, 1.507E+00, 1.120E+00, 2.000E+00, 4.816E-01, 6.106E-01, 5.452E-01, 3.634E-01
 2.050E+00, 1.522E+00, 1.742E+00, 1.414E+00, 1.042E+00, 2.050E+00, 4.345E-01, 5.462E-01, 4.942E-01, 3.326E-01
 2.100E+00, 1.423E+00, 1.620E+00, 1.328E+00, 9.662E-01, 2.100E+00, 3.923E-01, 4.888E-01, 4.482E-01, 3.047E-01
