m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 1.334E+01, 1.486E+01, 7.451E+00, 2.754E+00, 4.500E-01, 3.100E+01, 2.609E+01, 9.223E+00, 2.698E+00
 5.000E-01, 1.182E+01, 1.336E+01, 6.991E+00, 2.725E+00, 5.000E-01, 2.396E+01, 2.161E+01, 8.113E+00, 2.480E+00
 5.500E-01, 1.053E+01, 1.205E+01, 6.554E+00, 2.713E+00, 5.500E-01, 1.901E+01, 1.813E+01, 7.185E+00, 2.291E+00
 6.000E-01, 9.429E+00, 1.089E+01, 6.143E+00, 2.706E+00, 6.000E-01, 1.538E+01, 1.534E+01, 6.396E+00, 2.123E+00
 6.500E-01, 8.483E+00, 9.871E+00, 5.759E+00, 2.693E+00, 6.500E-01, 1.262E+01, 1.306E+01, 5.712E+00, 1.971E+00
 7.000E-01, 7.667E+00, 8.971E+00, 5.404E+00, 2.668E+00, 7.000E-01, 1.047E+01, 1.117E+01, 5.109E+00, 1.830E+00
 7.500E-01, 6.959E+00, 8.175E+00, 5.081E+00, 2.627E+00, 7.500E-01, 8.764E+00, 9.591E+00, 4.570E+00, 1.698E+00
 8.000E-01, 6.343E+00, 7.472E+00, 4.787E+00, 2.570E+00, 8.000E-01, 7.385E+00, 8.262E+00, 4.087E+00, 1.573E+00
 8.500E-01, 5.804E+00, 6.850E+00, 4.523E+00, 2.498E+00, 8.500E-01, 6.258E+00, 7.137E+00, 3.651E+00, 1.453E+00
 9.000E-01, 5.331E+00, 6.301E+00, 4.286E+00, 2.414E+00, 9.000E-01, 5.328E+00, 6.179E+00, 3.258E+00, 1.339E+00
 9.500E-01, 4.914E+00, 5.817E+00, 4.071E+00, 2.320E+00, 9.500E-01, 4.554E+00, 5.359E+00, 2.905E+00, 1.230E+00
 1.000E+00, 4.545E+00, 5.390E+00, 3.875E+00, 2.222E+00, 1.000E+00, 3.905E+00, 4.655E+00, 2.588E+00, 1.127E+00
 1.050E+00, 4.216E+00, 5.013E+00, 3.694E+00, 2.123E+00, 1.050E+00, 3.358E+00, 4.050E+00, 2.305E+00, 1.030E+00
 1.100E+00, 3.922E+00, 4.681E+00, 3.524E+00, 2.026E+00, 1.100E+00, 2.895E+00, 3.527E+00, 2.053E+00, 9.389E-01
 1.150E+00, 3.658E+00, 4.387E+00, 3.362E+00, 1.934E+00, 1.150E+00, 2.502E+00, 3.076E+00, 1.829E+00, 8.542E-01
 1.200E+00, 3.419E+00, 4.127E+00, 3.204E+00, 1.848E+00, 1.200E+00, 2.166E+00, 2.685E+00, 1.630E+00, 7.757E-01
 1.250E+00, 3.203E+00, 3.894E+00, 3.050E+00, 1.769E+00, 1.250E+00, 1.879E+00, 2.348E+00, 1.453E+00, 7.034E-01
 1.300E+00, 3.005E+00, 3.686E+00, 2.898E+00, 1.698E+00, 1.300E+00, 1.632E+00, 2.056E+00, 1.297E+00, 6.371E-01
 1.350E+00, 2.823E+00, 3.497E+00, 2.747E+00, 1.633E+00, 1.350E+00, 1.421E+00, 1.803E+00, 1.158E+00, 5.765E-01
 1.400E+00, 2.655E+00, 3.326E+00, 2.598E+00, 1.574E+00, 1.400E+00, 1.238E+00, 1.584E+00, 1.035E+00, 5.213E-01
 1.450E+00, 2.499E+00, 3.168E+00, 2.450E+00, 1.519E+00, 1.450E+00, 1.081E+00, 1.393E+00, 9.245E-01, 4.714E-01
 1.500E+00, 2.354E+00, 3.021E+00, 2.306E+00, 1.468E+00, 1.500E+00, 9.448E-01, 1.228E+00, 8.264E-01, 4.262E-01
 1.550E+00, 2.218E+00, 2.883E+00, 2.165E+00, 1.418E+00, 1.550E+00, 8.271E-01, 1.084E+00, 7.387E-01, 3.854E-01
 1.600E+00, 2.090E+00, 2.753E+00, 2.028E+00, 1.369E+00, 1.600E+00, 7.252E-01, 9.586E-01, 6.603E-01, 3.487E-01
 1.650E+00, 1.969E+00, 2.629E+00, 1.897E+00, 1.320E+00, 1.650E+00, 6.367E-01, 8.489E-01, 5.902E-01, 3.157E-01
 1.700E+00, 1.855E+00, 2.510E+00, 1.772E+00, 1.270E+00, 1.700E+00, 5.598E-01, 7.527E-01, 5.275E-01, 2.859E-01
 1.750E+00, 1.746E+00, 2.394E+00, 1.654E+00, 1.219E+00, 1.750E+00, 4.929E-01, 6.682E-01, 4.714E-01, 2.592E-01
 1.800E+00, 1.643E+00, 2.282E+00, 1.543E+00, 1.166E+00, 1.800E+00, 4.346E-01, 5.939E-01, 4.213E-01, 2.351E-01
 1.850E+00, 1.545E+00, 2.173E+00, 1.439E+00, 1.112E+00, 1.850E+00, 3.838E-01, 5.282E-01, 3.765E-01, 2.135E-01
 1.900E+00, 1.451E+00, 2.067E+00, 1.343E+00, 1.056E+00, 1.900E+00, 3.393E-01, 4.702E-01, 3.366E-01, 1.940E-01
 1.950E+00, 1.362E+00, 1.963E+00, 1.253E+00, 9.989E-01, 1.950E+00, 3.005E-01, 4.187E-01, 3.010E-01, 1.764E-01
 2.000E+00, 1.277E+00, 1.861E+00, 1.171E+00, 9.411E-01, 2.000E+00, 2.665E-01, 3.731E-01, 2.693E-01, 1.606E-01
 2.050E+00, 1.196E+00, 1.761E+00, 1.096E+00, 8.832E-01, 2.050E+00, 2.367E-01, 3.326E-01, 2.411E-01, 1.463E-01
 2.100E+00, 1.119E+00, 1.664E+00, 1.027E+00, 8.255E-01, 2.100E+00, 2.105E-01, 2.966E-01, 2.160E-01, 1.335E-01
