m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 2.0396078E-001, 5.1277076E+000, 0.0000000E+000, 2.4430164E+000
 2.3245767E-001, 4.1430989E+000, 7.5510204E-002, 2.6545915E+000
 2.6095458E-001, 2.9890525E+000, 1.5102041E-001, 2.6048793E+000
 2.8945151E-001, 2.5133682E+000, 2.2653061E-001, 2.4926002E+000
 3.1794844E-001, 2.1350739E+000, 3.0204082E-001, 2.2762049E+000
 3.4644539E-001, 1.8296963E+000, 3.7755102E-001, 2.0203147E+000
 3.7494234E-001, 1.5801070E+000, 4.5306122E-001, 1.7469157E+000
 4.0343930E-001, 1.2497513E+000, 5.2857143E-001, 1.4780918E+000
 4.3193626E-001, 1.0997088E+000, 6.0408163E-001, 1.2466159E+000
 4.6043322E-001, 8.6402185E-001, 6.7959184E-001, 1.0417318E+000
 4.8893019E-001, 7.7092758E-001, 7.5510204E-001, 8.6528371E-001
 5.1742716E-001, 6.4915488E-001, 8.3061224E-001, 7.1674937E-001
 5.4592413E-001, 5.8456157E-001, 9.0612245E-001, 5.9432157E-001
 5.7442110E-001, 5.2808917E-001, 9.8163265E-001, 4.9507613E-001
 6.0291807E-001, 4.7853561E-001, 1.0571429E+000, 4.1491108E-001
 6.3141505E-001, 4.3490174E-001, 1.1326531E+000, 3.5004215E-001
 6.5991203E-001, 3.7792409E-001, 1.2081633E+000, 2.9734272E-001
 6.8840900E-001, 3.1622432E-001, 1.2836735E+000, 2.5428405E-001
 7.1690598E-001, 2.9023381E-001, 1.3591837E+000, 2.1882599E-001
 7.4540296E-001, 2.6694478E-001, 1.4346939E+000, 1.8946340E-001
 7.7389994E-001, 2.3786300E-001, 1.5102041E+000, 1.6501511E-001
 8.0239692E-001, 2.1956550E-001, 1.5857143E+000, 1.4466085E-001
 8.3089390E-001, 2.0300600E-001, 1.6612245E+000, 1.2762286E-001
 8.5939088E-001, 1.8798924E-001, 1.7367347E+000, 1.1330578E-001
 8.8788786E-001, 1.7434506E-001, 1.8122449E+000, 1.0131478E-001
 9.1638484E-001, 1.5871054E-001, 1.8877551E+000, 9.1301563E-002
 9.4488183E-001, 1.3745919E-001, 1.9632653E+000, 8.2909851E-002
 9.7337881E-001, 1.2813496E-001, 2.0387755E+000, 7.5795777E-002
 1.0018758E+000, 1.1956622E-001, 2.1142857E+000, 6.9608305E-002
 1.0303728E+000, 1.1168173E-001, 2.1897959E+000, 6.4119532E-002
 1.0588698E+000, 1.0370754E-001, 2.2653061E+000, 5.9136264E-002
 1.0873667E+000, 9.7120690E-002, 2.3408163E+000, 5.4496693E-002
 1.1158637E+000, 9.1016666E-002, 2.4163265E+000, 5.0065151E-002
 1.1443607E+000, 8.5354073E-002, 2.4918367E+000, 4.5753657E-002
 1.1728577E+000, 7.5514822E-002, 2.5673469E+000, 4.1577552E-002
 1.2013547E+000, 7.1067243E-002, 2.6428571E+000, 3.7539321E-002
 1.2298517E+000, 6.6911986E-002, 2.7183673E+000, 3.3691092E-002
 1.2583486E+000, 6.3026356E-002, 2.7938776E+000, 3.0065519E-002
 1.2868456E+000, 5.9389610E-002, 2.8693878E+000, 2.6706204E-002
 1.3153426E+000, 5.6658891E-002, 2.9448980E+000, 2.3641750E-002
 1.3438396E+000, 5.3560816E-002, 3.0204082E+000, 2.0866827E-002
 1.3723366E+000, 5.0645852E-002, 3.0959184E+000, 1.8350822E-002
 1.4008336E+000, 4.7900730E-002, 3.1714286E+000, 1.6129394E-002
 1.4293306E+000, 4.3611507E-002, 3.2469388E+000, 1.4167425E-002
 1.4578275E+000, 4.1399703E-002, 3.3224490E+000, 1.2425982E-002
 1.4863245E+000, 3.9304916E-002, 3.3979592E+000, 1.0878668E-002
 1.5148215E+000, 3.7320122E-002, 3.4734694E+000, 9.4815603E-003
NaN,NaN, 3.5489796E+000, 8.2284059E-003
NaN,NaN, 3.6244898E+000, 7.0946739E-003
NaN,NaN, 3.7000000E+000, 5.7088909E-003
