m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 5.2392748E-002, 3.8145862E-001, 0.0000000E+000, 4.0204692E-001
 6.4459234E-002, 5.0065715E-001, 6.6101695E-003, 5.6525885E-001
 7.6526347E-002, 4.2308152E-001, 1.3220339E-002, 6.0485519E-001
 8.8593831E-002, 2.9185243E-001, 1.9830508E-002, 6.2427937E-001
 1.0066155E-001, 2.3925715E-001, 2.6440678E-002, 6.3618368E-001
 1.1272943E-001, 1.8800040E-001, 3.3050847E-002, 6.4861912E-001
 1.2479743E-001, 1.3841343E-001, 3.9661017E-002, 6.6123551E-001
 1.3686551E-001, 1.1753396E-001, 4.6271186E-002, 6.7718139E-001
 1.4893365E-001, 9.7337916E-002, 5.2881356E-002, 6.7782300E-001
 1.6100185E-001, 7.8194442E-002, 5.9491525E-002, 6.7386133E-001
 1.7307008E-001, 6.6509094E-002, 6.6101695E-002, 6.6603256E-001
 1.8513834E-001, 5.8304475E-002, 7.2711864E-002, 6.5518787E-001
 1.9720663E-001, 4.7492885E-002, 7.9322034E-002, 6.4213241E-001
 2.0927494E-001, 4.1601198E-002, 8.5932203E-002, 6.1178561E-001
 2.2134327E-001, 3.7161197E-002, 9.2542373E-002, 5.9525570E-001
 2.3341161E-001, 3.1292719E-002, 9.9152542E-002, 5.7779094E-001
 2.4547997E-001, 2.8001197E-002, 1.0576271E-001, 5.5936908E-001
 2.5754834E-001, 2.5392914E-002, 1.1237288E-001, 5.4028768E-001
 2.6961671E-001, 2.1894715E-002, 1.1898305E-001, 5.0094314E-001
 2.8168510E-001, 2.0015784E-002, 1.2559322E-001, 4.8054860E-001
 2.9375349E-001, 1.8215386E-002, 1.3220339E-001, 4.5986960E-001
 3.0582189E-001, 1.5931232E-002, 1.3881356E-001, 4.3934280E-001
 3.1789029E-001, 1.4714610E-002, 1.4542373E-001, 4.1934509E-001
 3.2995870E-001, 1.3461393E-002, 1.5203390E-001, 4.0002558E-001
 3.4202711E-001, 1.2041132E-002, 1.5864407E-001, 3.6359653E-001
 3.5409553E-001, 1.1048563E-002, 1.6525424E-001, 3.4659838E-001
 3.6616395E-001, 1.0126612E-002, 1.7186441E-001, 3.3043164E-001
 3.7823238E-001, 9.1532705E-003, 1.7847458E-001, 3.1503963E-001
 3.9030080E-001, 8.4028839E-003, 1.8508475E-001, 3.0033892E-001
 4.0236923E-001, 7.6435054E-003, 1.9169492E-001, 2.8626155E-001
NaN,NaN, 1.9830508E-001, 2.5982177E-001
NaN,NaN, 2.0491525E-001, 2.4742152E-001
NaN,NaN, 2.1152542E-001, 2.3555049E-001
NaN,NaN, 2.1813559E-001, 2.2419966E-001
NaN,NaN, 2.2474576E-001, 2.1337148E-001
NaN,NaN, 2.3135593E-001, 1.9329525E-001
NaN,NaN, 2.3796610E-001, 1.8402787E-001
NaN,NaN, 2.4457627E-001, 1.7524973E-001
NaN,NaN, 2.5118644E-001, 1.6694037E-001
NaN,NaN, 2.5779661E-001, 1.5907831E-001
NaN,NaN, 2.6440678E-001, 1.5164146E-001
NaN,NaN, 2.7101695E-001, 1.3794755E-001
NaN,NaN, 2.7762712E-001, 1.3164249E-001
NaN,NaN, 2.8423729E-001, 1.2567080E-001
NaN,NaN, 2.9084746E-001, 1.2001508E-001
NaN,NaN, 2.9745763E-001, 1.1465830E-001
NaN,NaN, 3.0406780E-001, 1.0958374E-001
NaN,NaN, 3.1067797E-001, 1.0022204E-001
NaN,NaN, 3.1728814E-001, 9.5905017E-002
NaN,NaN, 3.2389831E-001, 9.1809736E-002
NaN,NaN, 3.3050847E-001, 8.7921325E-002
NaN,NaN, 3.3711864E-001, 8.4226908E-002
NaN,NaN, 3.4372881E-001, 8.0715268E-002
NaN,NaN, 3.5033898E-001, 7.4198286E-002
NaN,NaN, 3.5694915E-001, 7.1173986E-002
NaN,NaN, 3.6355932E-001, 6.8295115E-002
NaN,NaN, 3.7016949E-001, 6.5554041E-002
NaN,NaN, 3.7677966E-001, 6.2941555E-002
NaN,NaN, 3.8338983E-001, 5.8053015E-002
NaN,NaN, 3.9000000E-001, 5.5752593E-002
