m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 5.2392748E-002, 8.0538510E+000, 0.0000000E+000, 1.5224040E+000
 6.1669954E-002, 6.9362053E+000, 1.0059172E-002, 1.5978573E+000
 7.0947373E-002, 6.9362053E+000, 2.0118343E-002, 1.6697462E+000
 8.0224930E-002, 6.0597636E+000, 3.0177515E-002, 1.7407231E+000
 8.9502582E-002, 4.9881991E+000, 4.0236686E-002, 1.8127042E+000
 9.8780302E-002, 4.4595827E+000, 5.0295858E-002, 1.8830155E+000
 1.0805807E-001, 4.0132448E+000, 6.0355030E-002, 1.9481783E+000
 1.1733588E-001, 3.6319285E+000, 7.0414201E-002, 2.0071396E+000
 1.2661372E-001, 3.0652765E+000, 8.0473373E-002, 2.0606404E+000
 1.3589159E-001, 2.8141575E+000, 9.0532544E-002, 2.1105304E+000
 1.4516947E-001, 2.5910867E+000, 1.0059172E-001, 2.1584568E+000
 1.5444737E-001, 2.3918653E+000, 1.1065089E-001, 2.2047131E+000
 1.6372528E-001, 2.3918653E+000, 1.2071006E-001, 2.2484934E+000
 1.7300321E-001, 2.1026855E+000, 1.3076923E-001, 2.2890133E+000
 1.8228114E-001, 1.9550099E+000, 1.4082840E-001, 2.3257989E+000
 1.9155908E-001, 1.8210290E+000, 1.5088757E-001, 2.3586423E+000
 2.0083703E-001, 1.6991283E+000, 1.6094675E-001, 2.3877096E+000
 2.1011499E-001, 1.5241871E+000, 1.7100592E-001, 2.4147514E+000
 2.1939294E-001, 1.4281278E+000, 1.8106509E-001, 2.4414842E+000
 2.2867091E-001, 1.3397714E+000, 1.9112426E-001, 2.4683686E+000
 2.3794888E-001, 1.2583441E+000, 2.0118343E-001, 2.4937760E+000
 2.4722685E-001, 1.1831743E+000, 2.1124260E-001, 2.5155554E+000
 2.5650482E-001, 1.1430849E+000, 2.2130178E-001, 2.5318169E+000
 2.6578280E-001, 1.0762866E+000, 2.3136095E-001, 2.5414051E+000
 2.7506078E-001, 1.0143279E+000, 2.4142012E-001, 2.5438753E+000
 2.8433877E-001, 9.5680490E-001, 2.5147929E-001, 2.5401321E+000
 2.9361675E-001, 8.7718518E-001, 2.6153846E-001, 2.5319334E+000
 3.0289474E-001, 8.2900564E-001, 2.7159763E-001, 2.5200843E+000
 3.1217273E-001, 7.8408723E-001, 2.8165680E-001, 2.5050162E+000
 3.2145072E-001, 7.4217488E-001, 2.9171598E-001, 2.4868753E+000
 3.3072871E-001, 7.0303396E-001, 3.0177515E-001, 2.4653178E+000
