m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 5.0477718E-001, 1.7325255E+000,-1.9000000E-001, 5.5419271E-001
 5.7236304E-001, 1.2792282E+000,-1.3510204E-001, 7.0569472E-001
 6.3994892E-001, 9.8420076E-001,-8.0204082E-002, 9.1971263E-001
 7.0753483E-001, 8.6035765E-001,-2.5306122E-002, 1.2170858E+000
 7.7512076E-001, 6.8854401E-001, 2.9591837E-002, 1.9055896E+000
 8.4270669E-001, 5.0215808E-001, 8.4489796E-002, 2.1213159E+000
 9.1029264E-001, 4.1768407E-001, 1.3938776E-001, 2.2675870E+000
 9.7787859E-001, 3.7773643E-001, 1.9428571E-001, 2.3397445E+000
 1.0454645E+000, 3.1946981E-001, 2.4918367E-001, 2.3838805E+000
 1.1130505E+000, 2.7244756E-001, 3.0408163E-001, 2.4354815E+000
 1.1806365E+000, 2.3408743E-001, 3.5897959E-001, 2.4323166E+000
 1.2482224E+000, 2.1541216E-001, 4.1387755E-001, 2.4070452E+000
 1.3158084E+000, 1.8709468E-001, 4.6877551E-001, 2.3634224E+000
 1.3833944E+000, 1.5168105E-001, 5.2367347E-001, 2.3059527E+000
 1.4509804E+000, 1.3363053E-001, 5.7857143E-001, 2.2382981E+000
 1.5185664E+000, 1.2449916E-001, 6.3346939E-001, 2.1630584E+000
 1.5861523E+000, 1.1049938E-001, 6.8836735E-001, 2.0825158E+000
 1.6537383E+000, 9.8478684E-002, 7.4326531E-001, 1.9984751E+000
 1.7213243E+000, 8.8107136E-002, 7.9816327E-001, 1.9125408E+000
 1.7889103E+000, 8.2750813E-002, 8.5306122E-001, 1.7392286E+000
NaN,NaN, 9.0795918E-001, 1.6532684E+000
NaN,NaN, 9.6285714E-001, 1.5687833E+000
NaN,NaN, 1.0177551E+000, 1.4865635E+000
NaN,NaN, 1.0726531E+000, 1.4070688E+000
NaN,NaN, 1.1275510E+000, 1.3304635E+000
NaN,NaN, 1.1824490E+000, 1.2567761E+000
NaN,NaN, 1.2373469E+000, 1.1862510E+000
NaN,NaN, 1.2922449E+000, 1.1191885E+000
NaN,NaN, 1.3471429E+000, 1.0556206E+000
NaN,NaN, 1.4020408E+000, 9.3851910E-001
NaN,NaN, 1.4569388E+000, 8.8484649E-001
NaN,NaN, 1.5118367E+000, 8.3427536E-001
NaN,NaN, 1.5667347E+000, 7.8669596E-001
NaN,NaN, 1.6216327E+000, 7.4197279E-001
NaN,NaN, 1.6765306E+000, 6.9994862E-001
NaN,NaN, 1.7314286E+000, 6.6045281E-001
NaN,NaN, 1.7863265E+000, 6.2332846E-001
NaN,NaN, 1.8412245E+000, 5.8842397E-001
NaN,NaN, 1.8961224E+000, 5.5560533E-001
NaN,NaN, 1.9510204E+000, 4.9579120E-001
NaN,NaN, 2.0059184E+000, 4.6857763E-001
NaN,NaN, 2.0608163E+000, 4.4300674E-001
NaN,NaN, 2.1157143E+000, 4.1898364E-001
NaN,NaN, 2.1706122E+000, 3.9642494E-001
NaN,NaN, 2.2255102E+000, 3.7523601E-001
NaN,NaN, 2.2804082E+000, 3.5531967E-001
NaN,NaN, 2.3353061E+000, 3.3658447E-001
NaN,NaN, 2.3902041E+000, 3.1896123E-001
NaN,NaN, 2.4451020E+000, 3.0238136E-001
NaN,NaN, 2.5000000E+000, 2.7203480E-001
