m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 5.0477718E-001, 5.1537899E-001,-1.9000000E-001, 1.6034260E-001
 5.3585952E-001, 5.1537899E-001,-1.3510204E-001, 2.1156726E-001
 5.6694186E-001, 3.7458188E-001,-8.0204082E-002, 2.8639697E-001
 5.9802419E-001, 3.7458188E-001,-2.5306122E-002, 3.9473664E-001
 6.2910653E-001, 3.1932802E-001, 2.9591837E-002, 8.1046517E-001
 6.6018887E-001, 2.8383457E-001, 8.4489796E-002, 1.0115006E+000
 6.9127121E-001, 2.4634781E-001, 1.3938776E-001, 1.1424500E+000
 7.2235355E-001, 1.9468544E-001, 1.9428571E-001, 1.2326246E+000
 7.5343589E-001, 1.9468544E-001, 2.4918367E-001, 1.3063573E+000
 7.8451823E-001, 1.7175945E-001, 3.0408163E-001, 1.3998436E+000
 8.1560056E-001, 1.5680598E-001, 3.5897959E-001, 1.4134800E+000
 8.4668290E-001, 1.3971393E-001, 4.1387755E-001, 1.4078638E+000
 8.7776524E-001, 1.3971393E-001, 4.6877551E-001, 1.3874624E+000
 9.0884758E-001, 1.1524426E-001, 5.2367347E-001, 1.3561251E+000
 9.3992992E-001, 1.1524426E-001, 5.7857143E-001, 1.3165910E+000
 9.7101226E-001, 1.0374328E-001, 6.3346939E-001, 1.2710870E+000
 1.0020946E+000, 9.6199894E-002, 6.8836735E-001, 1.2214205E+000
 1.0331769E+000, 8.7187961E-002, 7.4326531E-001, 1.1692061E+000
 1.0642593E+000, 8.7187961E-002, 7.9816327E-001, 1.1157002E+000
 1.0953416E+000, 7.3973022E-002, 8.5306122E-001, 1.0083153E+000
 1.1264240E+000, 7.3973022E-002, 9.0795918E-001, 9.5579603E-001
 1.1575063E+000, 6.7534277E-002, 9.6285714E-001, 9.0467128E-001
 1.1885886E+000, 6.3290555E-002, 1.0177551E+000, 8.5522914E-001
 1.2196710E+000, 5.8070590E-002, 1.0726531E+000, 8.0768198E-001
 1.2507533E+000, 5.8070590E-002, 1.1275510E+000, 7.6217368E-001
 1.2818356E+000, 5.0281548E-002, 1.1824490E+000, 7.1880741E-001
 1.3129180E+000, 5.0281548E-002, 1.2373469E+000, 6.7762718E-001
 1.3440003E+000, 4.6387537E-002, 1.2922449E+000, 6.3863315E-001
 1.3750827E+000, 4.3811560E-002, 1.3471429E+000, 6.0179010E-001
 1.4061650E+000, 4.0573958E-002, 1.4020408E+000, 5.3430399E-001
NaN,NaN, 1.4569388E+000, 5.0351116E-001
NaN,NaN, 1.5118367E+000, 4.7457544E-001
NaN,NaN, 1.5667347E+000, 4.4741052E-001
NaN,NaN, 1.6216327E+000, 4.2192966E-001
NaN,NaN, 1.6765306E+000, 3.9804361E-001
NaN,NaN, 1.7314286E+000, 3.7565413E-001
NaN,NaN, 1.7863265E+000, 3.5466508E-001
NaN,NaN, 1.8412245E+000, 3.3498492E-001
NaN,NaN, 1.8961224E+000, 3.1653457E-001
NaN,NaN, 1.9510204E+000, 2.8302315E-001
NaN,NaN, 2.0059184E+000, 2.6781907E-001
NaN,NaN, 2.0608163E+000, 2.5355672E-001
NaN,NaN, 2.1157143E+000, 2.4017024E-001
NaN,NaN, 2.1706122E+000, 2.2760005E-001
NaN,NaN, 2.2255102E+000, 2.1579088E-001
NaN,NaN, 2.2804082E+000, 2.0469183E-001
NaN,NaN, 2.3353061E+000, 1.9425131E-001
NaN,NaN, 2.3902041E+000, 1.8442085E-001
NaN,NaN, 2.4451020E+000, 1.7515838E-001
NaN,NaN, 2.5000000E+000, 1.5818074E-001
