s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00,-8.828E-14, 2.842E-17, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.825E-14, 0.000E+00, 0.000E+00
 5.032E+00, 1.238E+05,-3.126E+04, 1.456E+03,-5.404E+00,-4.479E-01, 0.000E+00, 0.000E+00, 0.000E+00, 8.863E+04, 9.395E+04, 5.820E+00, 5.820E+00
 1.001E+01, 3.073E+05,-7.636E+04,-1.186E+05,-1.440E+02,-3.594E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.113E+05, 1.122E+05, 6.601E+00, 6.601E+00
 1.502E+01, 3.381E+05,-8.290E+04,-1.861E+05,-2.156E+02,-1.373E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.789E+04, 6.882E+04, 6.601E+00, 6.601E+00
 2.000E+01, 2.756E+05,-6.831E+04,-2.156E+05,-1.188E+03,-7.659E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.208E+04,-9.501E+03, 6.601E+00, 6.601E+00
 2.501E+01, 3.100E+05,-7.650E+04,-2.446E+05,-7.082E+02,-1.245E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.253E+04,-1.189E+04, 6.601E+00, 6.601E+00
 3.001E+01, 3.001E+05,-7.397E+04,-2.297E+05,-4.779E+02,-1.234E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.330E+03,-4.061E+03, 6.601E+00, 6.601E+00
 3.501E+01, 3.118E+05,-7.781E+04,-2.326E+05,-3.530E+02,-1.448E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.342E+02, 1.107E+03, 6.601E+00, 6.601E+00
 4.003E+01, 3.061E+05,-7.599E+04,-2.206E+05,-5.185E+02,-1.495E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.737E+03, 8.979E+03, 6.601E+00, 6.601E+00
 4.504E+01, 2.915E+05,-7.275E+04,-2.172E+05,-4.199E+02,-1.239E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.587E+02, 1.050E+03, 6.601E+00, 6.601E+00
 5.003E+01, 3.124E+05,-7.737E+04,-2.226E+05,-6.880E+02,-1.675E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.557E+03, 1.171E+04, 6.601E+00, 6.601E+00
 5.501E+01, 3.006E+05,-7.435E+04,-2.282E+05,-5.570E+02,-1.606E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.026E+03,-2.515E+03, 6.601E+00, 6.601E+00
 6.000E+01, 2.977E+05,-7.383E+04,-2.251E+05,-5.325E+02,-1.597E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.696E+03,-1.789E+03, 6.601E+00, 6.601E+00
 6.500E+01, 3.054E+05,-7.514E+04,-2.319E+05,-6.743E+02,-1.569E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.368E+03,-2.335E+03, 6.601E+00, 6.601E+00
 7.002E+01, 2.993E+05,-7.486E+04,-2.178E+05,-6.127E+02,-1.704E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.975E+03, 5.989E+03, 6.601E+00, 6.601E+00
 7.500E+01, 3.039E+05,-7.619E+04,-2.366E+05,-8.305E+02,-1.350E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.145E+04,-9.696E+03, 6.601E+00, 6.601E+00
 8.003E+01, 3.153E+05,-7.823E+04,-2.180E+05,-6.724E+02,-1.832E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.600E+04, 1.837E+04, 6.601E+00, 6.601E+00
 8.503E+01, 2.918E+05,-7.265E+04,-2.232E+05,-8.558E+02,-1.881E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.977E+03,-4.820E+03, 6.601E+00, 6.601E+00
 9.001E+01, 3.023E+05,-7.526E+04,-2.363E+05,-8.754E+02,-1.794E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.210E+04,-1.012E+04, 6.601E+00, 6.601E+00
 9.502E+01, 3.163E+05,-7.935E+04,-2.066E+05,-7.794E+02,-1.764E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.719E+04, 2.957E+04, 6.601E+00, 6.601E+00
 1.000E+02, 2.860E+05,-7.101E+04,-2.167E+05,-1.241E+03,-1.759E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.195E+03,-2.908E+03, 6.601E+00, 6.601E+00
 1.050E+02, 3.099E+05,-7.770E+04,-2.377E+05,-9.141E+02,-1.513E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.412E+03,-6.329E+03, 6.601E+00, 6.601E+00
 1.100E+02, 2.967E+05,-7.332E+04,-2.331E+05,-7.673E+02,-2.331E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.199E+04,-1.053E+04, 6.601E+00, 6.601E+00
 1.150E+02, 3.110E+05,-7.866E+04,-1.886E+05,-7.104E+02,-1.857E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.089E+04, 4.300E+04, 6.601E+00, 6.601E+00
 1.200E+02, 3.091E+05,-7.717E+04,-2.390E+05,-1.280E+03,-1.698E+00, 0.000E+00, 0.000E+00, 0.000E+00,-9.526E+03,-8.360E+03, 6.601E+00, 6.601E+00
 1.250E+02, 2.873E+05,-7.110E+04,-2.447E+05,-7.796E+02,-1.779E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.148E+04,-2.925E+04, 6.601E+00, 6.601E+00
 1.300E+02, 2.954E+05,-7.341E+04,-2.016E+05,-6.472E+02,-1.206E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.764E+04, 1.971E+04, 6.601E+00, 6.601E+00
 1.350E+02, 3.117E+05,-7.742E+04,-2.358E+05,-7.889E+02,-1.528E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.318E+03,-2.322E+03, 6.601E+00, 6.601E+00
 1.400E+02, 3.060E+05,-7.643E+04,-2.349E+05,-6.459E+02,-1.449E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.783E+03,-6.005E+03, 6.601E+00, 6.601E+00
 1.450E+02, 3.104E+05,-7.758E+04,-2.212E+05,-6.536E+02,-1.938E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.189E+03, 1.096E+04, 6.601E+00, 6.601E+00
 1.500E+02, 2.929E+05,-7.266E+04,-2.180E+05,-7.412E+02,-1.917E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.610E+01, 1.510E+03, 6.601E+00, 6.601E+00
