m,kW/m
Height,HRRPUL
 1.875E-01, 4.004E+03
 5.625E-01, 4.453E+03
 9.375E-01, 4.366E+03
 1.312E+00, 3.965E+03
 1.688E+00, 3.591E+03
 2.062E+00, 3.384E+03
 2.438E+00, 3.284E+03
 2.812E+00, 3.220E+03
 3.188E+00, 3.176E+03
 3.562E+00, 3.129E+03
 3.938E+00, 3.083E+03
 4.312E+00, 3.024E+03
 4.688E+00, 2.936E+03
 5.062E+00, 2.829E+03
 5.438E+00, 2.720E+03
 5.812E+00, 2.614E+03
 6.188E+00, 2.512E+03
 6.562E+00, 2.406E+03
 6.938E+00, 2.299E+03
 7.312E+00, 2.190E+03
 7.688E+00, 2.070E+03
 8.062E+00, 1.940E+03
 8.438E+00, 1.794E+03
 8.812E+00, 1.640E+03
 9.188E+00, 1.482E+03
 9.562E+00, 1.328E+03
 9.938E+00, 1.172E+03
 1.031E+01, 1.015E+03
 1.069E+01, 8.666E+02
 1.106E+01, 7.311E+02
 1.144E+01, 6.085E+02
 1.181E+01, 5.007E+02
 1.219E+01, 4.094E+02
 1.256E+01, 3.313E+02
 1.294E+01, 2.661E+02
 1.331E+01, 2.137E+02
 1.369E+01, 1.716E+02
 1.406E+01, 1.368E+02
 1.444E+01, 1.079E+02
 1.481E+01, 8.543E+01
 1.519E+01, 6.741E+01
 1.556E+01, 5.322E+01
 1.594E+01, 4.197E+01
 1.631E+01, 3.313E+01
 1.669E+01, 2.600E+01
 1.706E+01, 2.055E+01
 1.744E+01, 1.615E+01
 1.781E+01, 1.274E+01
 1.819E+01, 1.003E+01
 1.856E+01, 7.936E+00
 1.894E+01, 6.260E+00
 1.931E+01, 4.953E+00
 1.969E+01, 3.902E+00
 2.006E+01, 3.096E+00
 2.044E+01, 2.462E+00
 2.081E+01, 1.960E+00
 2.119E+01, 1.559E+00
 2.156E+01, 1.241E+00
 2.194E+01, 9.884E-01
 2.231E+01, 7.869E-01
 2.269E+01, 6.284E-01
 2.306E+01, 5.029E-01
 2.344E+01, 4.027E-01
 2.381E+01, 3.229E-01
 2.419E+01, 2.587E-01
 2.456E+01, 2.072E-01
 2.494E+01, 1.651E-01
 2.531E+01, 1.317E-01
 2.569E+01, 1.053E-01
 2.606E+01, 8.468E-02
 2.644E+01, 6.790E-02
 2.681E+01, 5.456E-02
 2.719E+01, 4.372E-02
 2.756E+01, 3.505E-02
 2.794E+01, 2.874E-02
 2.831E+01, 1.716E-02
