s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00,-2.888E-15,-1.443E-18, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-2.889E-15, 0.000E+00, 0.000E+00
 5.001E+00, 5.795E+02,-1.632E+02,-1.992E+02,-7.113E+00,-3.652E-02, 0.000E+00, 0.000E+00, 0.000E+00, 2.068E+02, 2.099E+02, 1.427E-02, 1.427E-02
 1.000E+01, 7.498E+02,-2.061E+02,-5.403E+02,-9.156E+00,-4.230E-02, 0.000E+00, 0.000E+00, 0.000E+00,-5.886E+00,-5.830E+00, 1.650E-02, 1.650E-02
 1.500E+01, 7.600E+02,-2.093E+02,-5.505E+02,-8.367E+00,-4.243E-02, 0.000E+00, 0.000E+00, 0.000E+00,-8.361E+00,-8.205E+00, 1.650E-02, 1.650E-02
 2.000E+01, 7.531E+02,-2.071E+02,-5.394E+02,-8.512E+00,-4.236E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.116E+00,-2.017E+00, 1.650E-02, 1.650E-02
 2.500E+01, 7.531E+02,-2.074E+02,-5.407E+02,-9.104E+00,-4.220E-02, 0.000E+00, 0.000E+00, 0.000E+00,-3.832E+00,-4.167E+00, 1.650E-02, 1.650E-02
 3.000E+01, 7.626E+02,-2.099E+02,-5.417E+02,-8.448E+00,-4.208E-02, 0.000E+00, 0.000E+00, 0.000E+00, 1.958E+00, 2.535E+00, 1.650E-02, 1.650E-02
 3.501E+01, 7.582E+02,-2.088E+02,-5.455E+02,-8.868E+00,-4.229E-02, 0.000E+00, 0.000E+00, 0.000E+00,-4.969E+00,-5.063E+00, 1.650E-02, 1.650E-02
 4.000E+01, 7.516E+02,-2.069E+02,-5.273E+02,-8.299E+00,-4.214E-02, 0.000E+00, 0.000E+00, 0.000E+00, 8.942E+00, 9.163E+00, 1.650E-02, 1.650E-02
 4.500E+01, 7.635E+02,-2.100E+02,-5.433E+02,-8.662E+00,-4.217E-02, 0.000E+00, 0.000E+00, 0.000E+00, 1.431E+00, 1.514E+00, 1.650E-02, 1.650E-02
