s,m,m,m
Time,"Lf_95","Lf_97","Lf_99"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.086E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.005E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.506E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.005E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.505E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.505E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.006E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.506E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.006E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.050E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.100E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.150E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.251E+02, 6.594E+01, 7.344E+01, 8.977E+01
 1.300E+02, 6.526E+01, 7.284E+01, 8.930E+01
 1.350E+02, 6.453E+01, 7.204E+01, 8.862E+01
 1.400E+02, 6.506E+01, 7.261E+01, 8.926E+01
 1.450E+02, 6.502E+01, 7.244E+01, 8.889E+01
 1.500E+02, 6.486E+01, 7.232E+01, 8.880E+01
 1.550E+02, 6.473E+01, 7.214E+01, 8.855E+01
 1.600E+02, 6.513E+01, 7.253E+01, 8.892E+01
 1.650E+02, 6.521E+01, 7.270E+01, 8.919E+01
 1.700E+02, 6.501E+01, 7.254E+01, 8.912E+01
 1.751E+02, 6.483E+01, 7.236E+01, 8.897E+01
 1.800E+02, 6.447E+01, 7.203E+01, 8.868E+01
 1.850E+02, 6.371E+01, 7.124E+01, 8.784E+01
 1.901E+02, 6.392E+01, 7.143E+01, 8.801E+01
 1.950E+02, 6.399E+01, 7.151E+01, 8.810E+01
 2.000E+02, 6.393E+01, 7.143E+01, 8.801E+01
 2.050E+02, 6.382E+01, 7.129E+01, 8.785E+01
 2.100E+02, 6.401E+01, 7.149E+01, 8.804E+01
 2.150E+02, 6.396E+01, 7.145E+01, 8.802E+01
 2.200E+02, 6.409E+01, 7.163E+01, 8.831E+01
 2.250E+02, 6.401E+01, 7.153E+01, 8.816E+01
 2.301E+02, 6.385E+01, 7.138E+01, 8.805E+01
 2.350E+02, 6.396E+01, 7.149E+01, 8.813E+01
 2.400E+02, 6.392E+01, 7.145E+01, 8.810E+01
 2.440E+02, 6.404E+01, 7.158E+01, 8.825E+01
