s,m
Time,"L_F"
 0.000E+00, 0.000E+00
 5.003E+00, 0.000E+00
 1.001E+01, 0.000E+00
 1.501E+01, 0.000E+00
 2.001E+01, 0.000E+00
 2.500E+01, 0.000E+00
 3.001E+01, 0.000E+00
 3.501E+01, 0.000E+00
 4.001E+01, 0.000E+00
 4.501E+01, 0.000E+00
 5.000E+01, 0.000E+00
 5.501E+01, 0.000E+00
 6.001E+01, 0.000E+00
 6.501E+01, 0.000E+00
 7.001E+01, 0.000E+00
 7.500E+01, 0.000E+00
 8.001E+01, 0.000E+00
 8.501E+01, 0.000E+00
 9.000E+01, 0.000E+00
 9.501E+01, 0.000E+00
 1.000E+02, 0.000E+00
 1.050E+02, 0.000E+00
 1.100E+02, 0.000E+00
 1.150E+02, 0.000E+00
 1.200E+02, 0.000E+00
 1.250E+02, 7.025E+01
 1.300E+02, 8.242E+01
 1.350E+02, 9.279E+01
 1.400E+02, 7.783E+01
 1.450E+02, 7.609E+01
 1.500E+02, 6.015E+01
 1.550E+02, 7.852E+01
 1.600E+02, 7.931E+01
 1.650E+02, 8.915E+01
 1.700E+02, 7.453E+01
 1.750E+02, 6.504E+01
 1.800E+02, 7.661E+01
 1.850E+02, 7.546E+01
 1.900E+02, 8.208E+01
 1.950E+02, 8.644E+01
 2.000E+02, 9.366E+01
 2.050E+02, 8.048E+01
 2.100E+02, 8.460E+01
 2.150E+02, 7.890E+01
 2.200E+02, 6.266E+01
 2.250E+02, 1.008E+02
 2.300E+02, 7.832E+01
 2.350E+02, 8.380E+01
 2.400E+02, 6.981E+01
 2.440E+02, 7.276E+01
