s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00,-3.519E-11, 6.785E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.785E-06, 0.000E+00, 0.000E+00
 5.018E+00, 5.060E+05,-7.462E+04, 5.664E+03,-2.055E+01,-5.680E-01, 0.000E+00, 0.000E+00, 4.252E+05, 4.370E+05, 5.734E+01, 5.734E+01
 1.000E+01, 3.252E+06,-4.657E+05, 4.354E+04,-2.850E+01,-6.256E-01, 0.000E+00, 0.000E+00, 2.810E+06, 2.830E+06, 6.601E+01, 6.601E+01
 1.500E+01, 3.403E+06,-2.137E+05,-2.783E+06,-1.572E+04,-6.214E-01, 0.000E+00, 0.000E+00, 3.588E+05, 3.901E+05, 6.601E+01, 6.601E+01
 2.001E+01, 3.025E+06,-2.380E+05,-2.299E+06,-1.928E+04,-6.312E-01, 0.000E+00, 0.000E+00, 4.386E+05, 4.681E+05, 6.601E+01, 6.601E+01
 2.501E+01, 3.065E+06,-2.865E+05,-2.258E+06,-5.998E+03,-6.257E-01, 0.000E+00, 0.000E+00, 4.699E+05, 5.140E+05, 6.601E+01, 6.601E+01
 3.001E+01, 3.057E+06,-2.687E+05,-2.918E+06,-6.606E+03,-6.314E-01, 0.000E+00, 0.000E+00,-1.837E+05,-1.368E+05, 6.601E+01, 6.601E+01
 3.500E+01, 2.924E+06,-2.316E+05,-2.786E+06,-6.349E+03,-6.400E-01, 0.000E+00, 0.000E+00,-1.469E+05,-1.004E+05, 6.601E+01, 6.601E+01
 4.001E+01, 3.008E+06,-2.491E+05,-2.949E+06,-5.750E+03,-6.163E-01, 0.000E+00, 0.000E+00,-2.450E+05,-1.968E+05, 6.601E+01, 6.601E+01
 4.501E+01, 3.075E+06,-2.476E+05,-2.682E+06,-4.547E+03,-6.133E-01, 0.000E+00, 0.000E+00, 9.381E+04, 1.412E+05, 6.601E+01, 6.601E+01
