m,kW/m
Height,HRRPUL
 9.438E-01, 1.447E+04
 2.825E+00, 1.734E+04
 4.707E+00, 1.992E+04
 6.588E+00, 1.761E+04
 8.470E+00, 1.464E+04
 1.035E+01, 1.270E+04
 1.223E+01, 1.126E+04
 1.411E+01, 1.007E+04
 1.600E+01, 8.864E+03
 1.788E+01, 7.568E+03
 1.976E+01, 6.183E+03
 2.164E+01, 4.848E+03
 2.352E+01, 3.697E+03
 2.540E+01, 2.749E+03
 2.728E+01, 2.016E+03
 2.917E+01, 1.477E+03
 3.105E+01, 1.080E+03
 3.293E+01, 7.931E+02
 3.481E+01, 5.824E+02
 3.669E+01, 4.306E+02
 3.857E+01, 3.183E+02
 4.046E+01, 2.370E+02
 4.234E+01, 1.761E+02
 4.422E+01, 1.315E+02
 4.610E+01, 9.808E+01
 4.798E+01, 7.358E+01
 4.986E+01, 5.495E+01
 5.174E+01, 4.134E+01
 5.363E+01, 3.092E+01
 5.551E+01, 2.327E+01
 5.739E+01, 1.741E+01
 5.927E+01, 1.313E+01
 6.115E+01, 9.847E+00
 6.303E+01, 7.499E+00
 6.491E+01, 5.650E+00
 6.680E+01, 4.268E+00
 6.868E+01, 3.228E+00
 7.056E+01, 1.891E+00
