m,kW
Height,HRR
 3.750E-01, 2.278E+03
 1.125E+00, 3.265E+03
 1.875E+00, 3.768E+03
 2.625E+00, 3.237E+03
 3.375E+00, 2.788E+03
 4.125E+00, 2.508E+03
 4.875E+00, 2.303E+03
 5.625E+00, 2.102E+03
 6.375E+00, 1.846E+03
 7.125E+00, 1.529E+03
 7.875E+00, 1.198E+03
 8.625E+00, 8.933E+02
 9.375E+00, 6.495E+02
 1.012E+01, 4.693E+02
 1.088E+01, 3.377E+02
 1.162E+01, 2.433E+02
 1.238E+01, 1.763E+02
 1.312E+01, 1.286E+02
 1.388E+01, 9.397E+01
 1.462E+01, 6.886E+01
 1.538E+01, 5.020E+01
 1.612E+01, 3.670E+01
 1.688E+01, 2.671E+01
 1.762E+01, 1.960E+01
 1.838E+01, 1.444E+01
 1.912E+01, 1.073E+01
 1.988E+01, 8.000E+00
 2.062E+01, 6.012E+00
 2.138E+01, 4.510E+00
 2.212E+01, 3.395E+00
 2.288E+01, 2.547E+00
 2.362E+01, 1.928E+00
 2.438E+01, 1.446E+00
 2.512E+01, 1.092E+00
 2.588E+01, 8.134E-01
 2.662E+01, 6.122E-01
 2.738E+01, 4.642E-01
 2.812E+01, 2.713E-01
