s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-2.345E-13,-1.432E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.432E-07, 0.000E+00, 0.000E+00, 0.000E+00
 5.001E+00, 1.464E+04,-2.101E+03, 1.867E+02,-1.269E+00,-2.885E-02, 0.000E+00, 0.000E+00, 1.263E+04, 1.273E+04, 0.000E+00, 5.716E-01, 0.000E+00
 1.000E+01, 2.967E+04,-4.167E+03,-2.093E+04,-7.369E+01,-1.069E-02, 0.000E+00, 0.000E+00, 4.442E+03, 4.492E+03, 0.000E+00, 6.601E-01, 0.000E+00
 1.500E+01, 3.008E+04,-4.271E+03,-2.654E+04,-5.585E+01,-1.088E-02, 0.000E+00, 0.000E+00,-8.806E+02,-7.955E+02, 0.000E+00, 6.601E-01, 0.000E+00
 2.000E+01, 3.059E+04,-4.322E+03,-2.669E+04,-3.969E+01,-1.044E-02, 0.000E+00, 0.000E+00,-5.643E+02,-4.543E+02, 0.000E+00, 6.601E-01, 0.000E+00
 2.500E+01, 3.043E+04,-4.335E+03,-2.443E+04,-5.049E+01,-9.808E-03, 0.000E+00, 0.000E+00, 1.512E+03, 1.612E+03, 0.000E+00, 6.601E-01, 0.000E+00
 3.000E+01, 3.033E+04,-4.310E+03,-2.632E+04,-3.701E+01,-1.045E-02, 0.000E+00, 0.000E+00,-4.435E+02,-3.369E+02, 0.000E+00, 6.601E-01, 0.000E+00
 3.500E+01, 2.992E+04,-4.228E+03,-2.530E+04,-3.031E+01,-1.031E-02, 0.000E+00, 0.000E+00, 2.561E+02, 3.641E+02, 0.000E+00, 6.601E-01, 0.000E+00
 4.001E+01, 3.053E+04,-4.364E+03,-2.629E+04,-4.333E+01,-1.190E-02, 0.000E+00, 0.000E+00,-2.675E+02,-1.716E+02, 0.000E+00, 6.601E-01, 0.000E+00
 4.500E+01, 3.062E+04,-4.364E+03,-2.587E+04,-5.433E+01,-1.171E-02, 0.000E+00, 0.000E+00, 2.341E+02, 3.301E+02, 0.000E+00, 6.601E-01, 0.000E+00
 5.000E+01, 2.943E+04,-4.237E+03,-2.538E+04,-4.624E+01,-1.020E-02, 0.000E+00, 0.000E+00,-3.318E+02,-2.323E+02, 0.000E+00, 6.601E-01, 0.000E+00
 5.500E+01, 3.101E+04,-4.427E+03,-2.633E+04,-4.231E+01,-1.180E-02, 0.000E+00, 0.000E+00, 9.906E+01, 2.083E+02, 0.000E+00, 6.601E-01, 0.000E+00
 6.000E+01, 3.019E+04,-4.338E+03,-2.647E+04,-3.454E+01,-1.318E-02, 0.000E+00, 0.000E+00,-7.618E+02,-6.504E+02, 0.000E+00, 6.601E-01, 0.000E+00
 6.500E+01, 2.980E+04,-4.257E+03,-2.461E+04,-6.102E+01,-1.051E-02, 0.000E+00, 0.000E+00, 7.662E+02, 8.687E+02, 0.000E+00, 6.601E-01, 0.000E+00
 7.000E+01, 3.051E+04,-4.416E+03,-2.600E+04,-4.319E+01,-1.360E-02, 0.000E+00, 0.000E+00,-5.460E+01, 5.413E+01, 0.000E+00, 6.601E-01, 0.000E+00
 7.500E+01, 3.011E+04,-4.326E+03,-2.567E+04,-4.806E+01,-1.302E-02, 0.000E+00, 0.000E+00,-3.004E+01, 6.972E+01, 0.000E+00, 6.601E-01, 0.000E+00
 8.000E+01, 3.079E+04,-4.403E+03,-2.584E+04,-4.001E+01,-1.201E-02, 0.000E+00, 0.000E+00, 3.928E+02, 5.034E+02, 0.000E+00, 6.601E-01, 0.000E+00
 8.501E+01, 3.069E+04,-4.451E+03,-2.665E+04,-3.749E+01,-1.329E-02, 0.000E+00, 0.000E+00,-5.678E+02,-4.520E+02, 0.000E+00, 6.601E-01, 0.000E+00
 9.000E+01, 2.946E+04,-4.224E+03,-2.494E+04,-5.323E+01,-1.176E-02, 0.000E+00, 0.000E+00, 1.513E+02, 2.405E+02, 0.000E+00, 6.601E-01, 0.000E+00
 9.500E+01, 2.943E+04,-4.168E+03,-2.536E+04,-4.129E+01,-1.046E-02, 0.000E+00, 0.000E+00,-2.422E+02,-1.363E+02, 0.000E+00, 6.601E-01, 0.000E+00
