s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00,-5.291E-11, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.291E-11, 0.000E+00, 0.000E+00, 0.000E+00
 5.007E+00, 2.707E+06, 0.000E+00,-1.268E+06, 2.252E+04,-7.941E+01,-8.230E+00, 0.000E+00, 0.000E+00, 1.444E+06, 1.461E+06, 0.000E+00, 1.454E+02, 0.000E+00
 1.003E+01, 7.897E+06, 0.000E+00,-2.367E+06, 8.983E+04,-1.271E+02,-8.254E+00, 0.000E+00, 0.000E+00, 5.580E+06, 5.619E+06, 0.000E+00, 1.650E+02, 0.000E+00
 1.502E+01, 7.250E+06, 0.000E+00,-7.528E+05,-1.636E+06,-1.697E+02,-1.054E+01, 0.000E+00, 0.000E+00, 4.764E+06, 4.861E+06, 0.000E+00, 1.650E+02, 0.000E+00
 2.002E+01, 7.748E+06, 0.000E+00,-5.683E+05,-7.193E+06,-2.560E+04,-8.393E+00, 0.000E+00, 0.000E+00,-1.686E+05,-3.865E+04, 0.000E+00, 1.650E+02, 0.000E+00
 2.501E+01, 7.522E+06, 0.000E+00,-3.399E+05,-8.365E+06,-1.719E+04,-8.056E+00, 0.000E+00, 0.000E+00,-1.337E+06,-1.200E+06, 0.000E+00, 1.650E+02, 0.000E+00
 3.001E+01, 7.533E+06, 0.000E+00,-7.965E+05,-5.951E+06,-6.641E+03,-8.547E+00, 0.000E+00, 0.000E+00, 6.416E+05, 7.789E+05, 0.000E+00, 1.650E+02, 0.000E+00
 3.502E+01, 7.463E+06, 0.000E+00,-6.023E+05,-7.037E+06,-6.527E+03,-7.321E+00, 0.000E+00, 0.000E+00,-3.353E+05,-1.820E+05, 0.000E+00, 1.650E+02, 0.000E+00
 4.001E+01, 7.644E+06, 0.000E+00,-3.661E+05,-7.220E+06,-1.728E+04,-7.240E+00, 0.000E+00, 0.000E+00,-8.806E+04, 4.022E+04, 0.000E+00, 1.650E+02, 0.000E+00
 4.501E+01, 7.557E+06, 0.000E+00,-3.941E+05,-7.554E+06,-1.536E+04,-7.002E+00, 0.000E+00, 0.000E+00,-5.332E+05,-4.060E+05, 0.000E+00, 1.650E+02, 0.000E+00
 5.001E+01, 7.536E+06, 0.000E+00,-4.977E+05,-6.473E+06,-9.714E+03,-7.131E+00, 0.000E+00, 0.000E+00, 4.211E+05, 5.559E+05, 0.000E+00, 1.650E+02, 0.000E+00
 5.500E+01, 7.509E+06, 0.000E+00,-3.369E+05,-7.980E+06,-1.454E+04,-6.944E+00, 0.000E+00, 0.000E+00,-9.511E+05,-8.225E+05, 0.000E+00, 1.650E+02, 0.000E+00
 6.002E+01, 7.670E+06, 0.000E+00,-2.875E+05,-7.479E+06,-6.776E+03,-6.887E+00, 0.000E+00, 0.000E+00,-2.356E+05,-1.038E+05, 0.000E+00, 1.650E+02, 0.000E+00
 6.501E+01, 7.559E+06, 0.000E+00,-5.209E+05,-6.343E+06,-2.552E+03,-6.860E+00, 0.000E+00, 0.000E+00, 5.599E+05, 6.929E+05, 0.000E+00, 1.650E+02, 0.000E+00
 7.002E+01, 7.560E+06, 0.000E+00,-3.788E+05,-7.256E+06,-1.296E+04,-6.971E+00, 0.000E+00, 0.000E+00,-2.121E+05,-8.832E+04, 0.000E+00, 1.650E+02, 0.000E+00
 7.502E+01, 7.586E+06, 0.000E+00,-4.874E+05,-6.003E+06,-4.676E+03,-7.339E+00, 0.000E+00, 0.000E+00, 9.493E+05, 1.091E+06, 0.000E+00, 1.650E+02, 0.000E+00
 8.000E+01, 7.566E+06, 0.000E+00,-3.501E+05,-7.918E+06,-1.252E+04,-6.818E+00, 0.000E+00, 0.000E+00,-8.449E+05,-7.145E+05, 0.000E+00, 1.650E+02, 0.000E+00
 8.501E+01, 7.596E+06, 0.000E+00,-3.261E+05,-7.094E+06,-1.125E+04,-7.103E+00, 0.000E+00, 0.000E+00, 3.366E+04, 1.647E+05, 0.000E+00, 1.650E+02, 0.000E+00
 9.001E+01, 7.504E+06, 0.000E+00,-3.997E+05,-7.054E+06,-9.663E+03,-7.316E+00, 0.000E+00, 0.000E+00,-8.305E+04, 4.061E+04, 0.000E+00, 1.650E+02, 0.000E+00
 9.501E+01, 7.604E+06, 0.000E+00,-3.116E+05,-7.083E+06,-9.379E+03,-6.863E+00, 0.000E+00, 0.000E+00, 6.929E+04, 2.002E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.000E+02, 7.514E+06, 0.000E+00,-4.726E+05,-6.950E+06,-8.066E+03,-7.084E+00, 0.000E+00, 0.000E+00,-4.866E+04, 8.342E+04, 0.000E+00, 1.650E+02, 0.000E+00
 1.050E+02, 7.552E+06, 0.000E+00,-3.230E+05,-7.706E+06,-9.746E+03,-7.194E+00, 0.000E+00, 0.000E+00,-6.134E+05,-4.866E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.100E+02, 7.584E+06, 0.000E+00,-3.396E+05,-6.778E+06,-6.415E+03,-7.082E+00, 0.000E+00, 0.000E+00, 3.388E+05, 4.603E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.150E+02, 7.528E+06, 0.000E+00,-3.170E+05,-7.150E+06,-7.579E+03,-6.905E+00, 0.000E+00, 0.000E+00,-6.892E+04, 5.407E+04, 0.000E+00, 1.650E+02, 0.000E+00
 1.200E+02, 7.678E+06, 0.000E+00,-4.111E+05,-6.957E+06,-8.370E+03,-7.167E+00, 0.000E+00, 0.000E+00, 1.696E+05, 3.016E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.250E+02, 7.459E+06, 0.000E+00,-4.455E+05,-6.538E+06,-5.618E+03,-7.135E+00, 0.000E+00, 0.000E+00, 3.389E+05, 4.696E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.300E+02, 7.572E+06, 0.000E+00,-4.524E+05,-7.264E+06,-1.279E+04,-7.467E+00, 0.000E+00, 0.000E+00,-2.864E+05,-1.565E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.350E+02, 7.576E+06, 0.000E+00,-3.364E+05,-6.994E+06,-9.774E+03,-7.203E+00, 0.000E+00, 0.000E+00, 1.009E+05, 2.353E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.400E+02, 7.611E+06, 0.000E+00,-2.984E+05,-7.132E+06,-6.613E+03,-6.845E+00, 0.000E+00, 0.000E+00, 4.891E+04, 1.738E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.450E+02, 7.575E+06, 0.000E+00,-3.844E+05,-6.975E+06,-7.569E+03,-7.040E+00, 0.000E+00, 0.000E+00, 7.786E+04, 2.087E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.500E+02, 7.552E+06, 0.000E+00,-2.707E+05,-7.601E+06,-1.157E+04,-6.993E+00, 0.000E+00, 0.000E+00,-4.600E+05,-3.312E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.550E+02, 7.509E+06, 0.000E+00,-3.202E+05,-6.963E+06,-5.457E+03,-7.347E+00, 0.000E+00, 0.000E+00, 9.408E+04, 2.205E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.600E+02, 7.541E+06, 0.000E+00,-3.212E+05,-7.270E+06,-6.662E+03,-7.144E+00, 0.000E+00, 0.000E+00,-1.852E+05,-5.644E+04, 0.000E+00, 1.650E+02, 0.000E+00
 1.650E+02, 7.683E+06, 0.000E+00,-4.096E+05,-6.792E+06,-3.739E+03,-7.442E+00, 0.000E+00, 0.000E+00, 3.416E+05, 4.780E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.700E+02, 7.522E+06, 0.000E+00,-3.181E+05,-7.226E+06,-9.755E+03,-7.185E+00, 0.000E+00, 0.000E+00,-1.581E+05,-3.224E+04, 0.000E+00, 1.650E+02, 0.000E+00
 1.750E+02, 7.475E+06, 0.000E+00,-2.978E+05,-7.268E+06,-7.090E+03,-7.029E+00, 0.000E+00, 0.000E+00,-2.243E+05,-9.723E+04, 0.000E+00, 1.650E+02, 0.000E+00
 1.800E+02, 7.542E+06, 0.000E+00,-3.216E+05,-7.125E+06,-2.948E+03,-6.627E+00, 0.000E+00, 0.000E+00,-3.079E+04, 9.289E+04, 0.000E+00, 1.650E+02, 0.000E+00
 1.850E+02, 7.590E+06, 0.000E+00,-3.244E+05,-7.015E+06,-3.077E+03,-6.833E+00, 0.000E+00, 0.000E+00, 1.167E+05, 2.479E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.900E+02, 7.610E+06, 0.000E+00,-3.630E+05,-7.005E+06,-6.372E+03,-6.957E+00, 0.000E+00, 0.000E+00, 1.060E+05, 2.352E+05, 0.000E+00, 1.650E+02, 0.000E+00
 1.950E+02, 7.497E+06, 0.000E+00,-3.186E+05,-7.101E+06,-4.370E+03,-6.799E+00, 0.000E+00, 0.000E+00,-5.338E+04, 7.331E+04, 0.000E+00, 1.650E+02, 0.000E+00
 2.000E+02, 7.517E+06, 0.000E+00,-3.700E+05,-6.765E+06,-9.275E+03,-6.303E+00, 0.000E+00, 0.000E+00, 2.408E+05, 3.733E+05, 0.000E+00, 1.650E+02, 0.000E+00
 2.050E+02, 7.639E+06, 0.000E+00,-2.915E+05,-7.431E+06,-1.536E+04,-6.236E+00, 0.000E+00, 0.000E+00,-2.126E+05,-9.884E+04, 0.000E+00, 1.650E+02, 0.000E+00
 2.100E+02, 7.613E+06, 0.000E+00,-2.221E+05,-7.475E+06,-7.629E+03,-6.020E+00, 0.000E+00, 0.000E+00,-2.210E+05,-9.212E+04, 0.000E+00, 1.650E+02, 0.000E+00
 2.150E+02, 7.420E+06, 0.000E+00,-3.053E+05,-6.740E+06,-4.432E+03,-6.617E+00, 0.000E+00, 0.000E+00, 2.408E+05, 3.706E+05, 0.000E+00, 1.650E+02, 0.000E+00
 2.200E+02, 7.593E+06, 0.000E+00,-4.218E+05,-6.936E+06,-8.281E+03,-5.287E+00, 0.000E+00, 0.000E+00, 1.027E+05, 2.268E+05, 0.000E+00, 1.650E+02, 0.000E+00
 2.250E+02, 7.567E+06, 0.000E+00,-2.813E+05,-7.094E+06,-7.211E+03,-6.111E+00, 0.000E+00, 0.000E+00, 5.752E+04, 1.845E+05, 0.000E+00, 1.650E+02, 0.000E+00
 2.300E+02, 7.593E+06, 0.000E+00,-3.507E+05,-6.907E+06,-4.992E+03,-6.238E+00, 0.000E+00, 0.000E+00, 2.009E+05, 3.300E+05, 0.000E+00, 1.650E+02, 0.000E+00
 2.350E+02, 7.581E+06, 0.000E+00,-5.175E+05,-6.978E+06,-6.961E+03,-6.412E+00, 0.000E+00, 0.000E+00,-5.639E+04, 7.853E+04, 0.000E+00, 1.650E+02, 0.000E+00
 2.400E+02, 7.523E+06, 0.000E+00,-4.026E+05,-6.801E+06,-1.546E+04,-6.430E+00, 0.000E+00, 0.000E+00, 1.759E+05, 3.038E+05, 0.000E+00, 1.650E+02, 0.000E+00
