m,kW/m
Height,HRRPUL
 4.500E-02, 9.897E+02
 1.350E-01, 3.464E+02
 2.250E-01, 1.387E+02
 3.150E-01, 6.880E+01
 4.050E-01, 4.078E+01
 4.950E-01, 2.695E+01
 5.850E-01, 1.877E+01
 6.750E-01, 1.347E+01
 7.650E-01, 9.785E+00
 8.550E-01, 7.182E+00
 9.450E-01, 5.286E+00
 1.035E+00, 3.907E+00
 1.125E+00, 2.895E+00
 1.215E+00, 2.156E+00
 1.305E+00, 1.609E+00
 1.395E+00, 1.207E+00
 1.485E+00, 9.030E-01
 1.575E+00, 6.785E-01
 1.665E+00, 5.093E-01
 1.755E+00, 3.824E-01
 1.845E+00, 2.862E-01
 1.935E+00, 2.149E-01
 2.025E+00, 1.613E-01
 2.115E+00, 1.219E-01
 2.205E+00, 9.179E-02
 2.295E+00, 6.919E-02
 2.385E+00, 5.200E-02
 2.475E+00, 3.922E-02
 2.565E+00, 2.948E-02
 2.655E+00, 2.228E-02
 2.745E+00, 1.685E-02
 2.835E+00, 1.279E-02
 2.925E+00, 9.682E-03
 3.015E+00, 7.406E-03
 3.105E+00, 5.597E-03
 3.195E+00, 4.263E-03
 3.285E+00, 3.260E-03
 3.375E+00, 1.977E-03
