s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-4.629E-16, 7.772E-19, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.621E-16, 0.000E+00, 0.000E+00, 0.000E+00
 5.001E+00, 6.665E+02,-1.810E+02,-2.607E+02,-4.425E+00,-3.912E-02, 0.000E+00, 0.000E+00, 2.065E+02, 2.204E+02, 0.000E+00, 1.126E-02, 0.000E+00
 1.000E+01, 7.574E+02,-1.936E+02,-5.571E+02,-5.487E+00,-4.620E-02, 0.000E+00, 0.000E+00, 8.785E-01, 1.077E+00, 0.000E+00, 1.296E-02, 0.000E+00
 1.501E+01, 7.559E+02,-1.940E+02,-5.373E+02,-6.062E+00,-4.656E-02, 0.000E+00, 0.000E+00, 1.871E+01, 1.844E+01, 0.000E+00, 1.296E-02, 0.000E+00
 2.001E+01, 7.557E+02,-1.934E+02,-5.682E+02,-6.924E+00,-4.645E-02, 0.000E+00, 0.000E+00,-1.230E+01,-1.274E+01, 0.000E+00, 1.296E-02, 0.000E+00
 2.500E+01, 7.565E+02,-1.931E+02,-5.485E+02,-6.822E+00,-4.627E-02, 0.000E+00, 0.000E+00, 8.357E+00, 7.991E+00, 0.000E+00, 1.296E-02, 0.000E+00
 3.000E+01, 7.566E+02,-1.932E+02,-5.557E+02,-8.518E+00,-4.605E-02, 0.000E+00, 0.000E+00, 6.703E-01,-8.102E-01, 0.000E+00, 1.296E-02, 0.000E+00
 3.500E+01, 7.550E+02,-1.931E+02,-5.494E+02,-8.210E+00,-4.616E-02, 0.000E+00, 0.000E+00, 5.338E+00, 4.309E+00, 0.000E+00, 1.296E-02, 0.000E+00
 4.000E+01, 7.580E+02,-1.938E+02,-5.649E+02,-6.434E+00,-4.648E-02, 0.000E+00, 0.000E+00,-6.880E+00,-7.214E+00, 0.000E+00, 1.296E-02, 0.000E+00
 4.501E+01, 7.568E+02,-1.940E+02,-5.476E+02,-8.189E+00,-4.631E-02, 0.000E+00, 0.000E+00, 8.451E+00, 6.994E+00, 0.000E+00, 1.296E-02, 0.000E+00
 4.700E+01, 7.561E+02,-1.934E+02,-5.577E+02,-8.459E+00,-4.638E-02, 0.000E+00, 0.000E+00,-2.252E+00,-3.524E+00, 0.000E+00, 1.296E-02, 0.000E+00
