m,kW
Height,HRR
 4.530E-02, 3.733E+02
 1.309E-01, 4.301E+02
 2.166E-01, 2.111E+02
 3.022E-01, 1.195E+02
 3.878E-01, 8.715E+01
 4.734E-01, 7.503E+01
 5.591E-01, 6.918E+01
 6.447E-01, 6.543E+01
 7.303E-01, 6.239E+01
 8.159E-01, 5.947E+01
 9.016E-01, 5.627E+01
 9.872E-01, 5.263E+01
 1.073E+00, 4.863E+01
 1.158E+00, 4.444E+01
 1.244E+00, 4.019E+01
 1.330E+00, 3.588E+01
 1.415E+00, 3.158E+01
 1.501E+00, 2.735E+01
 1.587E+00, 2.334E+01
 1.672E+00, 1.967E+01
 1.758E+00, 1.640E+01
 1.843E+00, 1.354E+01
 1.929E+00, 1.106E+01
 2.015E+00, 8.939E+00
 2.100E+00, 7.154E+00
 2.186E+00, 5.678E+00
 2.272E+00, 4.473E+00
 2.357E+00, 3.510E+00
 2.443E+00, 2.753E+00
 2.528E+00, 2.159E+00
 2.614E+00, 1.695E+00
 2.700E+00, 1.328E+00
 2.785E+00, 1.042E+00
 2.871E+00, 8.186E-01
 2.957E+00, 6.437E-01
 3.042E+00, 5.056E-01
 3.128E+00, 3.972E-01
 3.213E+00, 3.118E-01
 3.299E+00, 2.446E-01
 3.385E+00, 1.916E-01
 3.470E+00, 1.499E-01
 3.556E+00, 1.174E-01
 3.642E+00, 9.210E-02
 3.727E+00, 7.234E-02
 3.813E+00, 5.694E-02
 3.898E+00, 4.485E-02
 3.984E+00, 3.531E-02
 4.070E+00, 2.777E-02
 4.155E+00, 2.187E-02
 4.241E+00, 1.725E-02
 4.327E+00, 1.364E-02
 4.412E+00, 1.080E-02
 4.498E+00, 8.563E-03
 4.583E+00, 6.798E-03
 4.669E+00, 5.404E-03
 4.755E+00, 4.300E-03
 4.840E+00, 3.423E-03
 4.926E+00, 2.726E-03
 5.012E+00, 2.172E-03
 5.097E+00, 1.730E-03
 5.183E+00, 1.377E-03
 5.268E+00, 1.095E-03
 5.354E+00, 8.721E-04
 5.440E+00, 6.952E-04
 5.525E+00, 5.550E-04
 5.611E+00, 4.428E-04
 5.697E+00, 3.536E-04
 5.782E+00, 2.823E-04
 5.868E+00, 2.256E-04
 5.953E+00, 1.803E-04
 6.039E+00, 1.445E-04
 6.125E+00, 1.160E-04
 6.210E+00, 9.307E-05
 6.296E+00, 7.461E-05
 6.382E+00, 5.575E-05
 6.467E+00, 3.134E-05
