s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.001E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 3.327E-01, 3.709E-01, 4.497E-01
 3.000E+01, 8.841E-01, 9.783E-01, 1.172E+00
 3.500E+01, 1.138E+00, 1.257E+00, 1.502E+00
 4.000E+01, 1.262E+00, 1.394E+00, 1.666E+00
 4.500E+01, 1.368E+00, 1.511E+00, 1.805E+00
 4.700E+01, 1.392E+00, 1.537E+00, 1.834E+00
