s,C,C
Time,"cs-temp","hs-temp"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001
 1.0000000E+001, 2.0019422E+001, 2.5530707E+001
 2.0000000E+001, 2.0050841E+001, 3.5795196E+001
 3.0000000E+001, 2.0079233E+001, 4.5190446E+001
 4.0000000E+001, 2.0105676E+001, 5.3832046E+001
 5.0000000E+001, 2.0130655E+001, 6.1804203E+001
 6.0000000E+001, 2.0154460E+001, 6.9176579E+001
 7.0000000E+001, 2.0177287E+001, 7.6009790E+001
 8.0000000E+001, 2.0199274E+001, 8.2356090E+001
 9.0000000E+001, 2.0220533E+001, 8.8261421E+001
 1.0000000E+002, 2.0241158E+001, 9.3766525E+001
 1.1000000E+002, 2.0261225E+001, 9.8907154E+001
 1.2000000E+002, 2.0280802E+001, 1.0371521E+002
 1.3000000E+002, 2.0299948E+001, 1.0821885E+002
 1.4000000E+002, 2.0318724E+001, 1.1244386E+002
 1.5000000E+002, 2.0337196E+001, 1.1641343E+002
 1.6000000E+002, 2.0355428E+001, 1.2014902E+002
 1.7000000E+002, 2.0373478E+001, 1.2367033E+002
 1.8000000E+002, 2.0391421E+001, 1.2699486E+002
 1.9000000E+002, 2.0409319E+001, 1.3013804E+002
 2.0000000E+002, 2.0427245E+001, 1.3311482E+002
 2.1000000E+002, 2.0445279E+001, 1.3593873E+002
 2.2000000E+002, 2.0463499E+001, 1.3862246E+002
 2.3000000E+002, 2.0481986E+001, 1.4117730E+002
 2.4000000E+002, 2.0500819E+001, 1.4361336E+002
 2.5000000E+002, 2.0520087E+001, 1.4594002E+002
 2.6000000E+002, 2.0539892E+001, 1.4816539E+002
 2.7000000E+002, 2.0560319E+001, 1.5029716E+002
 2.8000000E+002, 2.0581462E+001, 1.5234242E+002
 2.9000000E+002, 2.0603423E+001, 1.5430779E+002
 3.0000000E+002, 2.0626281E+001, 1.5619941E+002
 3.1000000E+002, 2.0650139E+001, 1.5802262E+002
 3.2000000E+002, 2.0675095E+001, 1.5978249E+002
 3.3000000E+002, 2.0701256E+001, 1.6148336E+002
 3.4000000E+002, 2.0728679E+001, 1.6312963E+002
 3.5000000E+002, 2.0757467E+001, 1.6472506E+002
 3.6000000E+002, 2.0787734E+001, 1.6627339E+002
 3.7000000E+002, 2.0819555E+001, 1.6777787E+002
 3.8000000E+002, 2.0853027E+001, 1.6924157E+002
 3.9000000E+002, 2.0888187E+001, 1.7066728E+002
 4.0000000E+002, 2.0925151E+001, 1.7205746E+002
 4.1000000E+002, 2.0964008E+001, 1.7341446E+002
 4.2000000E+002, 2.1004816E+001, 1.7474041E+002
 4.3000000E+002, 2.1047638E+001, 1.7603726E+002
 4.4000000E+002, 2.1092521E+001, 1.7730662E+002
 4.5000000E+002, 2.1139610E+001, 1.7855015E+002
 4.6000000E+002, 2.1188865E+001, 1.7976932E+002
 4.7000000E+002, 2.1240389E+001, 1.8096562E+002
 4.8000000E+002, 2.1294272E+001, 1.8214026E+002
 4.9000000E+002, 2.1350483E+001, 1.8329451E+002
 5.0000000E+002, 2.1409123E+001, 1.8442950E+002
 5.1000000E+002, 2.1470253E+001, 1.8554629E+002
 5.2000000E+002, 2.1533815E+001, 1.8664613E+002
 5.3000000E+002, 2.1599965E+001, 1.8772986E+002
 5.4000000E+002, 2.1668660E+001, 1.8879833E+002
 5.5000000E+002, 2.1739942E+001, 1.8985218E+002
 5.6000000E+002, 2.1813863E+001, 1.9089215E+002
 5.7000000E+002, 2.1890392E+001, 1.9191884E+002
 5.8000000E+002, 2.1969612E+001, 1.9293281E+002
 5.9000000E+002, 2.2051493E+001, 1.9393457E+002
 6.0000000E+002, 2.2136062E+001, 1.9492460E+002
 6.1000000E+002, 2.2223322E+001, 1.9590331E+002
 6.2000000E+002, 2.2313322E+001, 1.9687085E+002
 6.3000000E+002, 2.2405980E+001, 1.9782762E+002
 6.4000000E+002, 2.2501420E+001, 1.9877395E+002
 6.5000000E+002, 2.2599505E+001, 1.9971023E+002
 6.6000000E+002, 2.2700351E+001, 2.0063680E+002
 6.7000000E+002, 2.2803861E+001, 2.0155400E+002
 6.8000000E+002, 2.2910113E+001, 2.0246210E+002
 6.9000000E+002, 2.3019056E+001, 2.0336133E+002
 7.0000000E+002, 2.3130651E+001, 2.0425195E+002
 7.1000000E+002, 2.3244934E+001, 2.0513414E+002
 7.2000000E+002, 2.3361887E+001, 2.0600821E+002
 7.3000000E+002, 2.3481452E+001, 2.0687426E+002
 7.4000000E+002, 2.3603662E+001, 2.0773246E+002
 7.5000000E+002, 2.3728474E+001, 2.0858297E+002
 7.6000000E+002, 2.3855857E+001, 2.0942601E+002
 7.7000000E+002, 2.3985824E+001, 2.1026178E+002
 7.8000000E+002, 2.4118314E+001, 2.1109036E+002
 7.9000000E+002, 2.4253299E+001, 2.1191198E+002
 8.0000000E+002, 2.4390827E+001, 2.1272670E+002
 8.1000000E+002, 2.4530805E+001, 2.1353468E+002
 8.2000000E+002, 2.4673213E+001, 2.1433584E+002
 8.3000000E+002, 2.4818019E+001, 2.1513036E+002
 8.4000000E+002, 2.4965246E+001, 2.1591839E+002
 8.5000000E+002, 2.5114830E+001, 2.1670002E+002
 8.6000000E+002, 2.5266738E+001, 2.1747544E+002
 8.7000000E+002, 2.5420948E+001, 2.1824471E+002
 8.8000000E+002, 2.5577429E+001, 2.1900794E+002
 8.9000000E+002, 2.5736191E+001, 2.1976513E+002
 9.0000000E+002, 2.5897166E+001, 2.2051647E+002
 9.1000000E+002, 2.6060332E+001, 2.2126199E+002
 9.2000000E+002, 2.6225631E+001, 2.2200207E+002
 9.3000000E+002, 2.6393094E+001, 2.2273678E+002
 9.4000000E+002, 2.6562685E+001, 2.2346614E+002
 9.5000000E+002, 2.6734339E+001, 2.2419024E+002
 9.6000000E+002, 2.6908097E+001, 2.2490905E+002
 9.7000000E+002, 2.7083864E+001, 2.2562262E+002
 9.8000000E+002, 2.7261658E+001, 2.2633086E+002
 9.9000000E+002, 2.7441428E+001, 2.2703390E+002
 1.0000000E+003, 2.7623170E+001, 2.2773182E+002
 1.0100000E+003, 2.7806853E+001, 2.2884403E+002
 1.0200000E+003, 2.7992379E+001, 2.3175990E+002
 1.0300000E+003, 2.8179816E+001, 2.3664540E+002
 1.0400000E+003, 2.8369092E+001, 2.4334602E+002
 1.0500000E+003, 2.8560269E+001, 2.5168619E+002
 1.0600000E+003, 2.8753196E+001, 2.6151928E+002
 1.0700000E+003, 2.8947916E+001, 2.7268125E+002
 1.0800000E+003, 2.9144378E+001, 2.8504200E+002
 1.0900000E+003, 2.9342600E+001, 2.9845689E+002
 1.1000000E+003, 2.9542545E+001, 3.1281073E+002
 1.1100000E+003, 2.9744215E+001, 3.2758930E+002
 1.1200000E+003, 2.9947505E+001, 3.4145157E+002
 1.1300000E+003, 3.0152597E+001, 3.5416605E+002
 1.1400000E+003, 3.0359504E+001, 3.6583822E+002
 1.1500000E+003, 3.0568205E+001, 3.7658968E+002
 1.1600000E+003, 3.0778820E+001, 3.8653396E+002
 1.1700000E+003, 3.0991584E+001, 3.9578321E+002
 1.1800000E+003, 3.1206526E+001, 4.0442451E+002
 1.1900000E+003, 3.1423821E+001, 4.1253258E+002
 1.2000000E+003, 3.1643812E+001, 4.2018029E+002
 1.2100000E+003, 3.1866816E+001, 4.2743036E+002
 1.2200000E+003, 3.2093112E+001, 4.3433808E+002
 1.2300000E+003, 3.2323106E+001, 4.4094904E+002
 1.2400000E+003, 3.2557270E+001, 4.4730342E+002
 1.2500000E+003, 3.2796133E+001, 4.5343578E+002
 1.2600000E+003, 3.3040224E+001, 4.5937420E+002
 1.2700000E+003, 3.3290087E+001, 4.6514237E+002
 1.2800000E+003, 3.3546443E+001, 4.7075965E+002
 1.2900000E+003, 3.3809765E+001, 4.7624264E+002
 1.3000000E+003, 3.4081006E+001, 4.8160706E+002
 1.3100000E+003, 3.4360680E+001, 4.8686566E+002
 1.3200000E+003, 3.4649661E+001, 4.9202757E+002
 1.3300000E+003, 3.4948686E+001, 4.9710136E+002
 1.3400000E+003, 3.5258616E+001, 5.0209621E+002
 1.3500000E+003, 3.5580211E+001, 5.0702964E+002
 1.3600000E+003, 3.5914460E+001, 5.1190596E+002
 1.3700000E+003, 3.6262392E+001, 5.1672502E+002
 1.3800000E+003, 3.6625078E+001, 5.2148692E+002
 1.3900000E+003, 3.7003541E+001, 5.2619108E+002
 1.4000000E+003, 3.7398836E+001, 5.3083651E+002
 1.4100000E+003, 3.7812118E+001, 5.3542391E+002
 1.4200000E+003, 3.8244343E+001, 5.3995386E+002
 1.4300000E+003, 3.8696705E+001, 5.4442731E+002
 1.4400000E+003, 3.9170047E+001, 5.4884577E+002
 1.4500000E+003, 3.9665723E+001, 5.5320964E+002
 1.4600000E+003, 4.0184628E+001, 5.5751889E+002
 1.4700000E+003, 4.0727799E+001, 5.6177633E+002
 1.4800000E+003, 4.1296313E+001, 5.6598984E+002
 1.4900000E+003, 4.1891164E+001, 5.7015099E+002
 1.5000000E+003, 4.2513349E+001, 5.7425932E+002
 1.5100000E+003, 4.3163843E+001, 5.7831557E+002
 1.5200000E+003, 4.3843867E+001, 5.8231946E+002
 1.5300000E+003, 4.4554345E+001, 5.8627185E+002
 1.5400000E+003, 4.5296443E+001, 5.9017383E+002
 1.5500000E+003, 4.6071244E+001, 5.9402648E+002
 1.5600000E+003, 4.6879562E+001, 5.9783090E+002
 1.5700000E+003, 4.7722574E+001, 6.0158714E+002
 1.5800000E+003, 4.8601108E+001, 6.0529279E+002
 1.5900000E+003, 4.9516558E+001, 6.0894863E+002
 1.6000000E+003, 5.0471124E+001, 6.1255685E+002
 1.6100000E+003, 5.1466310E+001, 6.1611848E+002
 1.6200000E+003, 5.2502879E+001, 6.1963446E+002
 1.6300000E+003, 5.3581923E+001, 6.2310541E+002
 1.6400000E+003, 5.4704612E+001, 6.2653142E+002
 1.6500000E+003, 5.5872394E+001, 6.2991342E+002
 1.6600000E+003, 5.7086826E+001, 6.3325230E+002
 1.6700000E+003, 5.8348963E+001, 6.3654905E+002
 1.6800000E+003, 5.9659565E+001, 6.3980439E+002
 1.6900000E+003, 6.1019791E+001, 6.4301924E+002
 1.7000000E+003, 6.2429891E+001, 6.4619350E+002
 1.7100000E+003, 6.3890423E+001, 6.4932765E+002
 1.7200000E+003, 6.5403336E+001, 6.5242191E+002
 1.7300000E+003, 6.6972379E+001, 6.5547714E+002
 1.7400000E+003, 6.8596620E+001, 6.5849429E+002
 1.7500000E+003, 7.0273863E+001, 6.6147413E+002
 1.7600000E+003, 7.2002550E+001, 6.6441751E+002
 1.7700000E+003, 7.3781406E+001, 6.6732497E+002
 1.7800000E+003, 7.5608227E+001, 6.7019726E+002
 1.7900000E+003, 7.7482369E+001, 6.7303484E+002
 1.8000000E+003, 7.9406894E+001, 6.7583839E+002
 1.8100000E+003, 8.1383629E+001, 6.7860798E+002
 1.8200000E+003, 8.3406673E+001, 6.8134320E+002
 1.8300000E+003, 8.5474903E+001, 6.8404367E+002
 1.8400000E+003, 8.7586856E+001, 6.8670902E+002
 1.8500000E+003, 8.9752160E+001, 6.8933980E+002
 1.8600000E+003, 9.1970221E+001, 6.9193673E+002
 1.8700000E+003, 9.4236181E+001, 6.9450075E+002
 1.8800000E+003, 9.6549597E+001, 6.9703247E+002
 1.8900000E+003, 9.8902863E+001, 6.9953273E+002
 1.9000000E+003, 1.0129072E+002, 7.0200208E+002
 1.9100000E+003, 1.0370571E+002, 7.0444085E+002
 1.9200000E+003, 1.0614080E+002, 7.0684894E+002
 1.9300000E+003, 1.0859222E+002, 7.0922690E+002
 1.9400000E+003, 1.1105386E+002, 7.1157533E+002
 1.9500000E+003, 1.1352032E+002, 7.1389485E+002
 1.9600000E+003, 1.1598650E+002, 7.1618629E+002
 1.9700000E+003, 1.1844799E+002, 7.1845006E+002
 1.9800000E+003, 1.2090359E+002, 7.2067237E+002
 1.9900000E+003, 1.2336629E+002, 7.2276814E+002
 2.0000000E+003, 1.2583411E+002, 7.2475150E+002
 2.0100000E+003, 1.2829342E+002, 7.2666110E+002
 2.0200000E+003, 1.3073480E+002, 7.2851645E+002
 2.0300000E+003, 1.3315267E+002, 7.3032543E+002
 2.0400000E+003, 1.3554941E+002, 7.3205359E+002
 2.0500000E+003, 1.3792528E+002, 7.3370295E+002
 2.0600000E+003, 1.4027401E+002, 7.3529733E+002
 2.0700000E+003, 1.4258691E+002, 7.3685043E+002
 2.0800000E+003, 1.4485833E+002, 7.3837006E+002
 2.0900000E+003, 1.4708155E+002, 7.3986193E+002
 2.1000000E+003, 1.4926090E+002, 7.4135814E+002
 2.1100000E+003, 1.5140199E+002, 7.4289367E+002
 2.1200000E+003, 1.5348636E+002, 7.4445964E+002
 2.1300000E+003, 1.5550596E+002, 7.4604703E+002
 2.1400000E+003, 1.5745720E+002, 7.4764938E+002
 2.1500000E+003, 1.5933956E+002, 7.4926151E+002
 2.1600000E+003, 1.6114984E+002, 7.5088573E+002
 2.1700000E+003, 1.6288736E+002, 7.5254345E+002
 2.1800000E+003, 1.6455371E+002, 7.5423431E+002
 2.1900000E+003, 1.6614745E+002, 7.5595213E+002
 2.2000000E+003, 1.6766980E+002, 7.5769183E+002
 2.2100000E+003, 1.6912109E+002, 7.5944842E+002
 2.2200000E+003, 1.7051156E+002, 7.6121765E+002
 2.2300000E+003, 1.7183722E+002, 7.6299596E+002
 2.2400000E+003, 1.7309306E+002, 7.6478005E+002
 2.2500000E+003, 1.7428303E+002, 7.6656709E+002
 2.2600000E+003, 1.7540990E+002, 7.6835437E+002
 2.2700000E+003, 1.7647561E+002, 7.7013850E+002
 2.2800000E+003, 1.7748252E+002, 7.7189574E+002
 2.2900000E+003, 1.7843323E+002, 7.7361160E+002
 2.3000000E+003, 1.7933684E+002, 7.7529184E+002
 2.3100000E+003, 1.8019596E+002, 7.7694082E+002
 2.3200000E+003, 1.8100683E+002, 7.7856171E+002
 2.3300000E+003, 1.8176918E+002, 7.8015659E+002
 2.3400000E+003, 1.8248390E+002, 7.8172348E+002
 2.3500000E+003, 1.8315339E+002, 7.8326236E+002
 2.3600000E+003, 1.8377837E+002, 7.8477619E+002
 2.3700000E+003, 1.8436467E+002, 7.8626715E+002
 2.3800000E+003, 1.8491408E+002, 7.8773695E+002
 2.3900000E+003, 1.8542869E+002, 7.8918696E+002
 2.4000000E+003, 1.8591000E+002, 7.9061823E+002
 2.4100000E+003, 1.8635967E+002, 7.9203153E+002
 2.4200000E+003, 1.8677763E+002, 7.9342695E+002
 2.4300000E+003, 1.8716673E+002, 7.9480505E+002
 2.4400000E+003, 1.8752749E+002, 7.9616634E+002
 2.4500000E+003, 1.8786177E+002, 7.9751135E+002
 2.4600000E+003, 1.8817126E+002, 7.9884056E+002
 2.4700000E+003, 1.8845667E+002, 8.0015407E+002
 2.4800000E+003, 1.8872064E+002, 8.0144889E+002
 2.4900000E+003, 1.8896248E+002, 8.0272408E+002
 2.5000000E+003, 1.8918687E+002, 8.0398154E+002
 2.5100000E+003, 1.8939210E+002, 8.0522234E+002
 2.5200000E+003, 1.8958123E+002, 8.0644721E+002
 2.5300000E+003, 1.8975460E+002, 8.0765671E+002
 2.5400000E+003, 1.8991326E+002, 8.0885145E+002
 2.5500000E+003, 1.9005841E+002, 8.1003193E+002
 2.5600000E+003, 1.9019248E+002, 8.1119867E+002
 2.5700000E+003, 1.9031467E+002, 8.1235215E+002
 2.5800000E+003, 1.9042630E+002, 8.1349268E+002
 2.5900000E+003, 1.9053040E+002, 8.1462063E+002
 2.6000000E+003, 1.9062224E+002, 8.1573623E+002
 2.6100000E+003, 1.9071367E+002, 8.1683969E+002
 2.6200000E+003, 1.9078840E+002, 8.1793068E+002
 2.6300000E+003, 1.9087130E+002, 8.1900950E+002
 2.6400000E+003, 1.9093400E+002, 8.2007649E+002
 2.6500000E+003, 1.9100461E+002, 8.2113192E+002
 2.6600000E+003, 1.9106442E+002, 8.2217612E+002
 2.6700000E+003, 1.9112052E+002, 8.2320929E+002
 2.6800000E+003, 1.9118080E+002, 8.2423171E+002
 2.6900000E+003, 1.9123392E+002, 8.2524357E+002
 2.7000000E+003, 1.9128599E+002, 8.2624512E+002
 2.7100000E+003, 1.9133934E+002, 8.2723648E+002
 2.7200000E+003, 1.9139540E+002, 8.2821769E+002
 2.7300000E+003, 1.9144236E+002, 8.2918887E+002
 2.7400000E+003, 1.9150078E+002, 8.3015022E+002
 2.7500000E+003, 1.9155390E+002, 8.3110202E+002
 2.7600000E+003, 1.9160838E+002, 8.3204439E+002
 2.7700000E+003, 1.9166890E+002, 8.3297761E+002
 2.7800000E+003, 1.9172625E+002, 8.3390177E+002
 2.7900000E+003, 1.9179273E+002, 8.3481700E+002
 2.8000000E+003, 1.9185363E+002, 8.3572333E+002
 2.8100000E+003, 1.9192412E+002, 8.3662096E+002
 2.8200000E+003, 1.9199337E+002, 8.3750974E+002
 2.8300000E+003, 1.9206750E+002, 8.3838974E+002
 2.8400000E+003, 1.9214447E+002, 8.3926123E+002
 2.8500000E+003, 1.9222214E+002, 8.4012437E+002
