s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-35","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+01, 0.000E+00, 0.000E+00, 8.937E+00
 8.000E+01, 0.000E+00, 0.000E+00, 6.285E+01
 9.000E+01, 0.000E+00, 0.000E+00, 1.100E+02
 1.000E+02, 0.000E+00, 0.000E+00, 1.355E+02
 1.100E+02, 0.000E+00, 0.000E+00, 1.483E+02
 1.200E+02, 0.000E+00, 0.000E+00, 1.515E+02
 1.300E+02, 0.000E+00, 0.000E+00, 1.522E+02
 1.400E+02, 0.000E+00, 0.000E+00, 1.501E+02
 1.500E+02, 0.000E+00, 0.000E+00, 1.355E+02
 1.600E+02, 0.000E+00, 1.288E+01, 1.200E+02
 1.700E+02, 0.000E+00, 4.662E+01, 1.102E+02
 1.800E+02, 0.000E+00, 7.430E+01, 1.063E+02
 1.900E+02, 0.000E+00, 9.174E+01, 1.041E+02
 2.000E+02, 0.000E+00, 1.033E+02, 1.038E+02
 2.100E+02, 0.000E+00, 1.096E+02, 1.105E+02
 2.200E+02, 0.000E+00, 1.118E+02, 1.264E+02
 2.300E+02, 0.000E+00, 1.123E+02, 1.383E+02
 2.400E+02, 0.000E+00, 1.126E+02, 1.482E+02
 2.500E+02, 0.000E+00, 1.117E+02, 1.528E+02
 2.600E+02, 0.000E+00, 1.049E+02, 1.537E+02
 2.700E+02, 0.000E+00, 9.521E+01, 1.488E+02
 2.800E+02, 0.000E+00, 8.740E+01, 1.333E+02
 2.900E+02, 0.000E+00, 8.212E+01, 1.197E+02
 3.000E+02, 0.000E+00, 7.924E+01, 1.102E+02
 3.100E+02, 0.000E+00, 7.803E+01, 1.004E+02
 3.200E+02, 0.000E+00, 7.677E+01, 9.522E+01
 3.300E+02, 0.000E+00, 7.658E+01, 9.282E+01
 3.400E+02, 0.000E+00, 7.789E+01, 9.148E+01
 3.500E+02, 0.000E+00, 8.508E+01, 9.190E+01
 3.600E+02, 0.000E+00, 9.384E+01, 9.720E+01
 3.700E+02, 0.000E+00, 1.004E+02, 1.081E+02
 3.800E+02, 0.000E+00, 1.060E+02, 1.203E+02
 3.900E+02, 0.000E+00, 1.109E+02, 1.328E+02
 4.000E+02, 0.000E+00, 1.129E+02, 1.424E+02
 4.100E+02, 0.000E+00, 1.135E+02, 1.453E+02
 4.200E+02, 0.000E+00, 1.130E+02, 1.450E+02
 4.300E+02, 0.000E+00, 1.081E+02, 1.456E+02
 4.400E+02, 0.000E+00, 9.904E+01, 1.447E+02
 4.500E+02, 0.000E+00, 9.103E+01, 1.425E+02
 4.600E+02, 0.000E+00, 8.521E+01, 1.421E+02
 4.700E+02, 0.000E+00, 8.031E+01, 1.410E+02
 4.800E+02, 0.000E+00, 7.461E+01, 1.396E+02
 4.900E+02, 0.000E+00, 7.125E+01, 1.367E+02
 5.000E+02, 0.000E+00, 6.949E+01, 1.350E+02
 5.100E+02, 0.000E+00, 6.836E+01, 1.355E+02
 5.200E+02, 0.000E+00, 6.758E+01, 1.356E+02
 5.300E+02, 0.000E+00, 6.752E+01, 1.339E+02
 5.400E+02, 0.000E+00, 6.841E+01, 1.348E+02
 5.500E+02, 3.914E+00, 7.211E+01, 1.371E+02
 5.600E+02, 2.073E+01, 7.793E+01, 1.398E+02
 5.700E+02, 4.303E+01, 8.486E+01, 1.403E+02
 5.800E+02, 5.887E+01, 9.126E+01, 1.393E+02
 5.900E+02, 7.001E+01, 9.834E+01, 1.392E+02
 6.000E+02, 7.787E+01, 1.041E+02, 1.386E+02
 6.100E+02, 8.364E+01, 1.068E+02, 1.383E+02
 6.200E+02, 8.658E+01, 1.075E+02, 1.386E+02
 6.300E+02, 8.777E+01, 1.070E+02, 1.401E+02
 6.400E+02, 8.812E+01, 1.075E+02, 1.392E+02
 6.500E+02, 8.841E+01, 1.075E+02, 1.386E+02
 6.600E+02, 8.834E+01, 1.067E+02, 1.388E+02
 6.700E+02, 8.765E+01, 1.054E+02, 1.390E+02
 6.800E+02, 8.336E+01, 1.049E+02, 1.369E+02
 6.900E+02, 7.711E+01, 1.050E+02, 1.339E+02
 7.000E+02, 7.193E+01, 1.040E+02, 1.289E+02
 7.100E+02, 6.737E+01, 1.032E+02, 1.197E+02
 7.200E+02, 6.440E+01, 1.019E+02, 1.092E+02
 7.300E+02, 6.250E+01, 1.003E+02, 9.924E+01
 7.400E+02, 6.159E+01, 9.964E+01, 9.428E+01
 7.500E+02, 6.089E+01, 9.997E+01, 9.182E+01
 7.600E+02, 6.017E+01, 1.004E+02, 8.717E+01
 7.700E+02, 6.011E+01, 9.983E+01, 8.036E+01
 7.800E+02, 6.047E+01, 9.886E+01, 7.206E+01
 7.900E+02, 6.338E+01, 9.930E+01, 6.709E+01
 8.000E+02, 6.904E+01, 1.005E+02, 6.149E+01
 8.100E+02, 7.413E+01, 1.017E+02, 5.434E+01
 8.200E+02, 7.822E+01, 1.034E+02, 3.438E+01
 8.300E+02, 8.168E+01, 1.039E+02, 0.000E+00
 8.400E+02, 8.517E+01, 1.031E+02, 0.000E+00
 8.500E+02, 8.761E+01, 1.029E+02, 0.000E+00
 8.600E+02, 8.863E+01, 1.029E+02, 0.000E+00
 8.700E+02, 8.897E+01, 1.025E+02, 0.000E+00
 8.800E+02, 8.912E+01, 1.021E+02, 0.000E+00
 8.900E+02, 8.789E+01, 1.022E+02, 0.000E+00
 9.000E+02, 8.397E+01, 1.023E+02, 0.000E+00
 9.100E+02, 7.823E+01, 1.031E+02, 0.000E+00
