s,kW/m2
Time,"flux"
 0.000E+00,-3.222E-09
 1.000E+00, 3.086E-03
 2.000E+00, 1.812E-02
 3.050E+00, 2.848E-02
 4.050E+00, 3.065E-02
 5.050E+00, 3.099E-02
 6.050E+00, 3.109E-02
 7.050E+00, 3.115E-02
 8.050E+00, 3.119E-02
 9.050E+00, 3.121E-02
 1.000E+01, 3.119E-02
 1.101E+01, 2.609E-02
 1.200E+01, 2.440E-02
 1.300E+01, 2.466E-02
 1.401E+01, 2.365E-02
 1.500E+01, 2.283E-02
 1.600E+01, 2.320E-02
 1.701E+01, 2.299E-02
 1.801E+01, 2.255E-02
 1.900E+01, 2.264E-02
 2.000E+01, 2.311E-02
 2.101E+01, 2.192E-02
 2.200E+01, 2.224E-02
 2.301E+01, 2.217E-02
 2.401E+01, 2.259E-02
 2.501E+01, 2.264E-02
 2.601E+01, 2.232E-02
 2.700E+01, 2.231E-02
 2.801E+01, 2.299E-02
 2.901E+01, 2.329E-02
 3.000E+01, 2.255E-02
