s,kW/m2
Time,"flux"
 0.000E+00,-1.030E-09
 1.000E+00, 2.840E-03
 2.000E+00, 1.668E-02
 3.050E+00, 2.623E-02
 4.050E+00, 2.823E-02
 5.050E+00, 2.855E-02
 6.050E+00, 2.863E-02
 7.050E+00, 2.867E-02
 8.050E+00, 2.869E-02
 9.050E+00, 2.871E-02
 1.000E+01, 2.872E-02
 1.101E+01, 2.393E-02
 1.201E+01, 2.276E-02
 1.301E+01, 2.281E-02
 1.401E+01, 2.241E-02
 1.500E+01, 2.195E-02
 1.601E+01, 2.236E-02
 1.700E+01, 2.090E-02
 1.800E+01, 2.103E-02
 1.900E+01, 2.127E-02
 2.001E+01, 2.132E-02
 2.100E+01, 2.109E-02
 2.201E+01, 2.129E-02
 2.300E+01, 2.100E-02
 2.400E+01, 2.118E-02
 2.501E+01, 2.120E-02
 2.600E+01, 2.144E-02
 2.700E+01, 2.113E-02
 2.801E+01, 2.114E-02
 2.901E+01, 2.125E-02
 3.000E+01, 2.111E-02
