s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C
Time,"T_bottom","T_top","WT1","WT2","WT3","WT4","WT5","WT6","WT7","WT8","WT9","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT20","rhfHeatedSide","rhfCooledSide","chfHeatedSide","chfCooledSide","thfHeatedSide","thfCooledSide","rhfRadPanelSide","chfRadPanelSide","thfRadPanelSide","WTRADPANELSBOTTOM","WTRADPANELTOP"
 0.0000000E+000, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001, 1.0500000E+001,-2.0067344E-004,-2.8421709E-016, 0.0000000E+000, 0.0000000E+000,-2.0067344E-004,-2.8421709E-016,-5.4679566E-005, 5.4679548E-005,-1.8501668E-011, 1.0500000E+001, 1.0445297E+001
 1.0378224E+000, 1.0499995E+001, 1.0499999E+001, 1.0499996E+001, 1.0499999E+001, 1.0499996E+001, 1.0499999E+001, 1.0499995E+001, 1.0500006E+001, 1.0499999E+001, 1.0499998E+001, 1.0499997E+001, 1.0499996E+001, 1.0499995E+001, 1.0500003E+001, 1.0499998E+001, 1.0500001E+001, 1.0500002E+001, 1.0499985E+001, 1.0499999E+001, 1.0500001E+001, 1.0499997E+001, 1.0499994E+001,-8.0656518E-005, 5.6611946E-007,-7.7832600E-005, 8.1303496E-005,-1.5848912E-004, 8.1869615E-005, 1.7780861E-005, 5.5498824E-006, 2.3330743E-005, 1.0500000E+001, 1.0494399E+001
 2.0756447E+000, 1.0499989E+001, 1.0499993E+001, 1.0499993E+001, 1.0500006E+001, 1.0499995E+001, 1.0499995E+001, 1.0499989E+001, 1.0499987E+001, 1.0499997E+001, 1.0499988E+001, 1.0499994E+001, 1.0499988E+001, 1.0499992E+001, 1.0500001E+001, 1.0499989E+001, 1.0500004E+001, 1.0500004E+001, 1.0499975E+001, 1.0499998E+001, 1.0500005E+001, 1.0499989E+001, 1.0499984E+001,-5.6405845E-006, 1.1866217E-006,-9.1776298E-005, 1.0711432E-004,-9.7416883E-005, 1.0830094E-004,-1.5074560E-007, 5.4531622E-007, 3.9457062E-007, 1.0500000E+001, 1.0499392E+001
 3.0336346E+000, 1.0499991E+001, 1.0499994E+001, 1.0499993E+001, 1.0500018E+001, 1.0499998E+001, 1.0499987E+001, 1.0499991E+001, 1.0499954E+001, 1.0499996E+001, 1.0499978E+001, 1.0499999E+001, 1.0499986E+001, 1.0499999E+001, 1.0500002E+001, 1.0499983E+001, 1.0500010E+001, 1.0500006E+001, 1.0499967E+001, 1.0499997E+001, 1.0500017E+001, 1.0499985E+001, 1.0499978E+001,-1.6171675E-006, 1.0608067E-006,-6.2389111E-005, 8.2234691E-005,-6.4006279E-005, 8.3295498E-005, 6.8899425E-008, 4.3699096E-009, 7.3269335E-008, 1.0500000E+001, 1.0499931E+001
 4.0714569E+000, 1.0499994E+001, 1.0499996E+001, 1.0499990E+001, 1.0500030E+001, 1.0500000E+001, 1.0499980E+001, 1.0499994E+001, 1.0499929E+001, 1.0499997E+001, 1.0499970E+001, 1.0500005E+001, 1.0499986E+001, 1.0500006E+001, 1.0500005E+001, 1.0499979E+001, 1.0500016E+001, 1.0500010E+001, 1.0499958E+001, 1.0499995E+001, 1.0500028E+001, 1.0499980E+001, 1.0499972E+001,-7.1634143E-007, 8.2087786E-007,-4.2845413E-005, 6.0126475E-005,-4.3561754E-005, 6.0947352E-005, 4.6920719E-008,-4.1701576E-008, 5.2191423E-009, 1.0500000E+001, 1.0499969E+001
 5.0294468E+000, 1.0499997E+001, 1.0499998E+001, 1.0499984E+001, 1.0500036E+001, 1.0499999E+001, 1.0499973E+001, 1.0499997E+001, 1.0499914E+001, 1.0499999E+001, 1.0499965E+001, 1.0500009E+001, 1.0499987E+001, 1.0500013E+001, 1.0500008E+001, 1.0499976E+001, 1.0500021E+001, 1.0500014E+001, 1.0499952E+001, 1.0499993E+001, 1.0500038E+001, 1.0499976E+001, 1.0499965E+001,-5.7119550E-007, 6.1901888E-007,-2.9368752E-005, 4.3593467E-005,-2.9939948E-005, 4.4212486E-005, 6.5610866E-008,-6.5155533E-008, 4.5533305E-010, 1.0500000E+001, 1.0499971E+001
 6.0672692E+000, 1.0499999E+001, 1.0500000E+001, 1.0499976E+001, 1.0500038E+001, 1.0499997E+001, 1.0499968E+001, 1.0499999E+001, 1.0499907E+001, 1.0500000E+001, 1.0499963E+001, 1.0500011E+001, 1.0499989E+001, 1.0500017E+001, 1.0500011E+001, 1.0499975E+001, 1.0500027E+001, 1.0500019E+001, 1.0499949E+001, 1.0499991E+001, 1.0500043E+001, 1.0499971E+001, 1.0499959E+001,-5.3600356E-007, 4.6709757E-007,-1.9617267E-005, 3.2796978E-005,-2.0153271E-005, 3.3264075E-005, 9.1731986E-008,-9.2582500E-008,-8.5051402E-010, 1.0500000E+001, 1.0499966E+001
 7.0252590E+000, 1.0500000E+001, 1.0500001E+001, 1.0499967E+001, 1.0500038E+001, 1.0499994E+001, 1.0499963E+001, 1.0500000E+001, 1.0499903E+001, 1.0500001E+001, 1.0499963E+001, 1.0500013E+001, 1.0499991E+001, 1.0500020E+001, 1.0500013E+001, 1.0499974E+001, 1.0500033E+001, 1.0500025E+001, 1.0499948E+001, 1.0499990E+001, 1.0500047E+001, 1.0499967E+001, 1.0499953E+001,-5.7294548E-007, 3.5360501E-007,-1.1459050E-005, 2.5699889E-005,-1.2031995E-005, 2.6053494E-005, 1.2771832E-007,-1.2750729E-007, 2.1103059E-010, 1.0500000E+001, 1.0499958E+001
 8.0630814E+000, 1.0500002E+001, 1.0500003E+001, 1.0499958E+001, 1.0500037E+001, 1.0499990E+001, 1.0499960E+001, 1.0500002E+001, 1.0499902E+001, 1.0500003E+001, 1.0499963E+001, 1.0500013E+001, 1.0499994E+001, 1.0500021E+001, 1.0500015E+001, 1.0499974E+001, 1.0500039E+001, 1.0500031E+001, 1.0499948E+001, 1.0499989E+001, 1.0500048E+001, 1.0499963E+001, 1.0499948E+001,-6.9298457E-007, 2.6060354E-007,-4.8244538E-006, 2.0161035E-005,-5.5174383E-006, 2.0421638E-005, 1.7115527E-007,-1.7123549E-007,-8.0222035E-011, 1.0500000E+001, 1.0499946E+001
