s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5766416E-007,-2.3535962E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5768770E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0005060E+001, 4.1986013E-002, 0.0000000E+000,-1.1805981E-002,-2.4297304E-002,-3.8270261E-003,-6.8650394E-008, 0.0000000E+000, 0.0000000E+000, 2.0572528E-003, 2.0556339E-003, 0.0000000E+000, 9.6367035E-007, 0.0000000E+000
 6.0003242E+001, 5.2189421E-002, 0.0000000E+000,-1.4804750E-002,-3.2920688E-002,-4.3474265E-003, 3.7609401E-006, 0.0000000E+000, 0.0000000E+000, 1.3431622E-004, 1.2031700E-004, 0.0000000E+000, 1.1970248E-006, 0.0000000E+000
 9.0006454E+001, 6.3016134E-002, 0.0000000E+000,-1.7915817E-002,-3.9705623E-002,-4.9222405E-003, 9.2884381E-006, 0.0000000E+000, 0.0000000E+000, 4.8822741E-004, 4.8174152E-004, 0.0000000E+000, 1.4454248E-006, 0.0000000E+000
 1.2000497E+002, 7.9008261E-002, 0.0000000E+000,-2.2512429E-002,-5.0467096E-002,-5.8612793E-003, 2.0808775E-005, 0.0000000E+000, 0.0000000E+000, 2.0413732E-004, 1.8826533E-004, 0.0000000E+000, 1.8121559E-006, 0.0000000E+000
 1.5000142E+002, 2.2761317E-001, 0.0000000E+000,-6.5206709E-002,-1.4904521E-001,-8.8604180E-003, 1.4961465E-004, 0.0000000E+000, 0.0000000E+000, 4.6988190E-003, 4.6504467E-003, 0.0000000E+000, 5.2372879E-006, 0.0000000E+000
 1.8000134E+002, 5.9266996E-001, 0.0000000E+000,-1.7015994E-001,-4.0369183E-001,-1.3209500E-002, 4.4171094E-004, 0.0000000E+000, 0.0000000E+000, 6.3078103E-003, 6.0503984E-003, 0.0000000E+000, 1.3640509E-005, 0.0000000E+000
 2.1000146E+002, 1.1393974E+000, 0.0000000E+000,-3.2747305E-001,-7.9165464E-001,-1.6412339E-002, 8.1536862E-004, 0.0000000E+000, 0.0000000E+000, 5.2131696E-003, 4.6727464E-003, 0.0000000E+000, 2.6266488E-005, 0.0000000E+000
 2.4000235E+002, 1.2592952E+000, 0.0000000E+000,-3.6178199E-001,-8.8786577E-001,-1.1570270E-002, 6.9691919E-004, 0.0000000E+000, 0.0000000E+000,-6.7795715E-004,-1.2259400E-003, 0.0000000E+000, 2.9074547E-005, 0.0000000E+000
 2.7000079E+002, 1.3778020E+000, 0.0000000E+000,-3.9562566E-001,-9.7385164E-001,-6.9897128E-003, 6.2969228E-004, 0.0000000E+000, 0.0000000E+000, 2.5503081E-003, 1.9646398E-003, 0.0000000E+000, 3.1747489E-005, 0.0000000E+000
 3.0000037E+002, 1.5509127E+000, 0.0000000E+000,-4.4527787E-001,-1.1014767E+000,-5.8125722E-003, 6.8513555E-004, 0.0000000E+000, 0.0000000E+000,-1.6533752E-004,-9.6928942E-004, 0.0000000E+000, 3.5660807E-005, 0.0000000E+000
 3.3000076E+002, 1.7384401E+000, 0.0000000E+000,-4.9897361E-001,-1.2350354E+000,-5.5715418E-003, 7.4960233E-004, 0.0000000E+000, 0.0000000E+000, 4.1746604E-004,-3.9092490E-004, 0.0000000E+000, 3.9962914E-005, 0.0000000E+000
 3.6000034E+002, 1.8553256E+000, 0.0000000E+000,-5.3253515E-001,-1.3184811E+000,-5.1058603E-003, 7.7818302E-004, 0.0000000E+000, 0.0000000E+000, 8.0366967E-004,-1.8276553E-005, 0.0000000E+000, 4.2626112E-005, 0.0000000E+000
 3.9000082E+002, 1.9493660E+000, 0.0000000E+000,-5.5945500E-001,-1.3835675E+000,-5.1100157E-003, 8.0087240E-004, 0.0000000E+000, 0.0000000E+000, 3.0707461E-003, 2.0343417E-003, 0.0000000E+000, 4.4821303E-005, 0.0000000E+000
 4.2000214E+002, 2.0318352E+000, 0.0000000E+000,-5.8326980E-001,-1.4488477E+000,-4.7997283E-003, 8.1498460E-004, 0.0000000E+000, 0.0000000E+000,-3.2931788E-003,-4.2671186E-003, 0.0000000E+000, 4.6558714E-005, 0.0000000E+000
 4.5000174E+002, 2.0603210E+000, 0.0000000E+000,-5.9134778E-001,-1.4666626E+000,-4.6088474E-003, 8.1322299E-004, 0.0000000E+000, 0.0000000E+000,-5.7228958E-004,-1.4850627E-003, 0.0000000E+000, 4.7313271E-005, 0.0000000E+000
 4.8000165E+002, 2.1219993E+000, 0.0000000E+000,-6.0900339E-001,-1.5043441E+000,-5.0453936E-003, 8.2720141E-004, 0.0000000E+000, 0.0000000E+000, 5.5154904E-003, 4.4336788E-003, 0.0000000E+000, 4.8818289E-005, 0.0000000E+000
 5.1000217E+002, 2.1963291E+000, 0.0000000E+000,-6.3023198E-001,-1.5648486E+000,-4.9371912E-003, 8.3533062E-004, 0.0000000E+000, 0.0000000E+000,-1.7910137E-003,-2.8533281E-003, 0.0000000E+000, 5.0382632E-005, 0.0000000E+000
 5.4000085E+002, 2.2043594E+000, 0.0000000E+000,-6.3276081E-001,-1.5707927E+000,-4.6318335E-003, 8.4061572E-004, 0.0000000E+000, 0.0000000E+000,-2.0182432E-003,-2.9853720E-003, 0.0000000E+000, 5.0522393E-005, 0.0000000E+000
 5.7000055E+002, 2.2442436E+000, 0.0000000E+000,-6.4406338E-001,-1.5931363E+000,-5.0202309E-003, 8.4840903E-004, 0.0000000E+000, 0.0000000E+000, 3.8452324E-003, 2.8721757E-003, 0.0000000E+000, 5.1572599E-005, 0.0000000E+000
 6.0000146E+002, 2.2683231E+000, 0.0000000E+000,-6.5117503E-001,-1.6155906E+000,-5.3914666E-003, 8.7061215E-004, 0.0000000E+000, 0.0000000E+000,-1.7036343E-003,-2.9634052E-003, 0.0000000E+000, 5.2122995E-005, 0.0000000E+000
 6.3000037E+002, 2.2868463E+000, 0.0000000E+000,-6.5628399E-001,-1.6275294E+000,-4.9481325E-003, 8.7818410E-004, 0.0000000E+000, 0.0000000E+000,-5.8808298E-006,-1.0370595E-003, 0.0000000E+000, 5.2406730E-005, 0.0000000E+000
 6.6000073E+002, 2.3694188E+000, 0.0000000E+000,-6.8002651E-001,-1.6837407E+000,-5.9205479E-003, 9.0551673E-004, 0.0000000E+000, 0.0000000E+000, 2.0212236E-003, 6.3648149E-004, 0.0000000E+000, 5.4374985E-005, 0.0000000E+000
 6.9000159E+002, 2.3882186E+000, 0.0000000E+000,-6.8528104E-001,-1.6975970E+000,-6.1801149E-003, 9.6489980E-004, 0.0000000E+000, 0.0000000E+000, 1.3207577E-003, 1.2533364E-004, 0.0000000E+000, 5.4678494E-005, 0.0000000E+000
 7.2000134E+002, 2.4170811E+000, 0.0000000E+000,-6.9339945E-001,-1.7203255E+000,-8.2937933E-003, 1.0271635E-003, 0.0000000E+000, 0.0000000E+000,-1.6438365E-003,-3.9105209E-003, 0.0000000E+000, 5.5464145E-005, 0.0000000E+000
 7.5000214E+002, 2.4125623E+000, 0.0000000E+000,-6.9250634E-001,-1.7138740E+000,-8.2551406E-003, 1.0612736E-003, 0.0000000E+000, 0.0000000E+000, 1.1832593E-003,-1.0119798E-003, 0.0000000E+000, 5.5488229E-005, 0.0000000E+000
 7.8000037E+002, 2.5009028E+000, 0.0000000E+000,-7.1774005E-001,-1.7767160E+000,-9.5339891E-003, 1.0528755E-003, 0.0000000E+000, 0.0000000E+000, 7.6875330E-004,-2.0343874E-003, 0.0000000E+000, 5.7409196E-005, 0.0000000E+000
 8.1000159E+002, 2.5626509E+000, 0.0000000E+000,-7.3563561E-001,-1.8136057E+000,-1.1289281E-002, 1.0380532E-003, 0.0000000E+000, 0.0000000E+000, 6.5484171E-003, 3.1583455E-003, 0.0000000E+000, 5.8841115E-005, 0.0000000E+000
 8.4000024E+002, 2.6002763E+000, 0.0000000E+000,-7.4642870E-001,-1.8573878E+000,-9.0104616E-003, 1.0171135E-003, 0.0000000E+000, 0.0000000E+000,-8.9730275E-003,-1.1533549E-002, 0.0000000E+000, 5.9658811E-005, 0.0000000E+000
 8.7000195E+002, 2.5732097E+000, 0.0000000E+000,-7.3857658E-001,-1.8312253E+000,-7.1006385E-003, 9.0119271E-004, 0.0000000E+000, 0.0000000E+000,-9.7221021E-004,-2.7916153E-003, 0.0000000E+000, 5.9059866E-005, 0.0000000E+000
 9.0000153E+002, 2.6503991E+000, 0.0000000E+000,-7.6063370E-001,-1.8802079E+000,-6.0933830E-003, 8.6342386E-004, 0.0000000E+000, 0.0000000E+000, 5.8141964E-003, 4.3276094E-003, 0.0000000E+000, 6.0860744E-005, 0.0000000E+000
 9.3000049E+002, 2.6067801E+000, 0.0000000E+000,-7.4827211E-001,-1.8600008E+000,-5.4406424E-003, 8.4218189E-004, 0.0000000E+000, 0.0000000E+000,-4.7492272E-003,-6.0912470E-003, 0.0000000E+000, 5.9850259E-005, 0.0000000E+000
 9.6000110E+002, 2.6042295E+000, 0.0000000E+000,-7.4741496E-001,-1.8536304E+000,-4.8606262E-003, 8.3344735E-004, 0.0000000E+000, 0.0000000E+000, 1.5481450E-004,-8.4302874E-004, 0.0000000E+000, 5.9804340E-005, 0.0000000E+000
 9.9000043E+002, 2.6280787E+000, 0.0000000E+000,-7.5435492E-001,-1.8702295E+000,-5.8988295E-003, 8.6471023E-004, 0.0000000E+000, 0.0000000E+000,-2.4223258E-004,-1.5398633E-003, 0.0000000E+000, 6.0334039E-005, 0.0000000E+000
 1.0200015E+003, 2.7017451E+000, 0.0000000E+000,-7.7545845E-001,-1.9225445E+000,-7.4292842E-003, 9.2351024E-004, 0.0000000E+000, 0.0000000E+000,-7.8261708E-004,-2.7636446E-003, 0.0000000E+000, 6.1905715E-005, 0.0000000E+000
 1.0500006E+003, 2.7428447E+000, 0.0000000E+000,-7.8730878E-001,-1.9503611E+000,-8.0112554E-003, 9.5783106E-004, 0.0000000E+000, 0.0000000E+000, 3.6372402E-004,-1.8785791E-003, 0.0000000E+000, 6.2892535E-005, 0.0000000E+000
 1.0800012E+003, 2.7420782E+000, 0.0000000E+000,-7.8693450E-001,-1.9479426E+000,-7.2409544E-003, 9.0289790E-004, 0.0000000E+000, 0.0000000E+000, 2.8638624E-003, 8.6300944E-004, 0.0000000E+000, 6.3069165E-005, 0.0000000E+000
 1.1100002E+003, 2.7653143E+000, 0.0000000E+000,-7.9370518E-001,-1.9654486E+000,-6.5374108E-003, 8.7793607E-004, 0.0000000E+000, 0.0000000E+000, 2.2105637E-003, 5.0097547E-004, 0.0000000E+000, 6.3444467E-005, 0.0000000E+000
 1.1400002E+003, 2.7811696E+000, 0.0000000E+000,-7.9821655E-001,-1.9824889E+000,-5.7313206E-003, 8.5801239E-004, 0.0000000E+000, 0.0000000E+000,-2.9832979E-003,-4.4091389E-003, 0.0000000E+000, 6.3720835E-005, 0.0000000E+000
 1.1700010E+003, 2.8067846E+000, 0.0000000E+000,-8.0571487E-001,-1.9963202E+000,-4.9665039E-003, 8.2187778E-004, 0.0000000E+000, 0.0000000E+000, 1.5398347E-003, 6.0486415E-004, 0.0000000E+000, 6.4713465E-005, 0.0000000E+000
 1.2000006E+003, 2.8167597E+000, 0.0000000E+000,-8.0819462E-001,-2.0001493E+000,-4.7043957E-003, 7.7563988E-004, 0.0000000E+000, 0.0000000E+000, 5.5337876E-003, 4.4870521E-003, 0.0000000E+000, 6.4569159E-005, 0.0000000E+000
