s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-2.000E+01, 0.000E+00,-6.755E-04, 9.516E-07,-5.130E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.797E-04, 0.000E+00, 0.000E+00,-8.286E-01
 1.001E+01, 1.725E+01,-2.270E+00,-1.341E+01,-5.549E-01, 9.579E-02, 4.030E-01, 0.000E+00, 0.000E+00, 1.399E+00, 1.511E+00, 4.479E-04, 4.479E-04, 1.105E+02
 4.001E+01, 3.029E+02,-5.209E+01,-2.043E+02,-3.586E+01, 1.058E+00, 2.302E+00, 0.000E+00, 0.000E+00, 8.069E+00, 1.404E+01, 6.225E-03, 6.225E-03, 7.527E+02
 7.001E+01, 3.980E+02,-1.332E+02,-1.626E+02,-9.740E+01, 1.196E+00,-1.889E+00, 0.000E+00, 0.000E+00,-6.765E+00, 4.129E+00, 7.998E-03, 7.998E-03, 2.143E+02
 1.000E+02, 4.031E+02,-1.958E+02,-7.357E+01,-1.311E+02, 1.219E+00,-7.906E-01, 0.000E+00, 0.000E+00,-2.724E+00, 3.032E+00, 7.998E-03, 7.998E-03,-2.438E+00
 1.300E+02, 3.941E+02,-2.268E+02,-2.282E+01,-1.429E+02, 1.123E+00,-9.174E-02, 0.000E+00, 0.000E+00,-4.226E-01, 2.640E+00, 7.998E-03, 7.998E-03,-3.609E+01
 1.600E+02, 3.981E+02,-2.417E+02,-1.112E+01,-1.412E+02, 1.078E+00, 9.180E-01, 0.000E+00, 0.000E+00, 3.130E+00, 6.026E+00, 7.998E-03, 7.998E-03, 2.130E+02
 1.900E+02, 3.941E+02,-2.467E+02,-1.158E+01,-1.356E+02, 9.726E-01,-6.029E-01, 0.000E+00, 0.000E+00,-2.079E+00, 6.067E-01, 7.998E-03, 7.998E-03, 4.758E+01
 2.200E+02, 3.929E+02,-2.515E+02,-8.229E+00,-1.303E+02, 8.844E-01, 3.033E-01, 0.000E+00, 0.000E+00, 1.110E+00, 4.069E+00, 7.998E-03, 7.998E-03, 1.360E+02
 2.500E+02, 3.912E+02,-2.517E+02,-1.384E+01,-1.248E+02, 8.003E-01,-5.792E-01, 0.000E+00, 0.000E+00,-2.041E+00, 1.029E+00, 7.998E-03, 7.998E-03,-2.649E+01
 2.800E+02, 3.508E+02,-2.404E+02, 4.966E+00,-1.142E+02, 7.505E-01,-6.925E-02, 0.000E+00, 0.000E+00,-2.733E-01, 1.877E+00, 7.998E-03, 7.998E-03,-4.826E+01
 3.101E+02, 2.229E+02,-1.780E+02, 4.232E+01,-8.759E+01, 5.898E-01,-6.909E-02, 0.000E+00, 0.000E+00,-2.374E-01, 1.228E-01, 7.998E-03, 7.998E-03,-6.716E+01
 3.400E+02, 1.350E+02,-1.236E+02, 5.311E+01,-6.478E+01, 6.178E-01, 6.699E-02, 0.000E+00, 0.000E+00, 2.368E-01, 4.508E-01, 7.998E-03, 7.998E-03,-4.832E+01
 3.700E+02, 8.498E+01,-8.612E+01, 4.739E+01,-4.632E+01, 6.206E-01, 1.528E-01, 0.000E+00, 0.000E+00, 4.907E-01, 7.025E-01, 7.998E-03, 7.998E-03,-9.283E+00
 4.000E+02, 5.382E+01,-5.940E+01, 3.702E+01,-3.200E+01, 6.201E-01,-2.583E-02, 0.000E+00, 0.000E+00,-5.576E-02, 3.298E-02, 7.998E-03, 7.998E-03,-1.373E+01
 4.300E+02, 3.603E+01,-4.321E+01, 2.839E+01,-2.176E+01, 6.728E-01,-3.330E-02, 0.000E+00, 0.000E+00,-7.640E-02, 8.643E-02, 7.998E-03, 7.998E-03,-1.980E+01
 4.600E+02, 2.136E+01,-3.122E+01, 2.472E+01,-1.529E+01, 6.957E-01, 6.385E-02, 0.000E+00, 0.000E+00, 2.412E-01, 3.324E-01, 7.998E-03, 7.998E-03,-5.755E-01
 4.901E+02, 1.362E+01,-2.323E+01, 2.004E+01,-1.108E+01, 7.260E-01,-1.694E-02, 0.000E+00, 0.000E+00,-4.131E-02, 4.679E-02, 7.998E-03, 7.998E-03,-3.864E+00
