s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-5.000E+02, 0.000E+00,-5.422E-04, 1.674E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.405E-04, 0.000E+00, 0.000E+00,-8.133E-01
-4.700E+02, 0.000E+00, 9.265E-02,-2.809E+00, 3.426E-02, 0.000E+00,-1.096E+00, 0.000E+00,-3.820E+00,-3.778E+00, 0.000E+00, 0.000E+00,-3.054E+02
-4.400E+02, 0.000E+00, 7.467E-02,-5.513E-02, 3.802E-02, 0.000E+00,-5.678E-04, 0.000E+00,-5.353E-03, 5.699E-02, 0.000E+00, 0.000E+00,-3.058E+02
-4.100E+02, 0.000E+00, 6.072E-02,-3.359E-02, 3.219E-02, 0.000E+00, 1.327E-04, 0.000E+00, 1.904E-03, 5.944E-02, 0.000E+00, 0.000E+00,-3.056E+02
-3.799E+02, 0.000E+00, 4.955E-02,-1.911E-02, 2.447E-02, 0.000E+00,-1.635E-03, 0.000E+00,-7.469E-03, 5.328E-02, 0.000E+00, 0.000E+00,-3.062E+02
-3.499E+02, 0.000E+00, 4.143E-02, 8.638E-04, 2.105E-02, 0.000E+00, 1.733E-03, 0.000E+00, 3.396E-03, 6.508E-02, 0.000E+00, 0.000E+00,-3.060E+02
-3.199E+02, 0.000E+00, 3.493E-02, 4.972E-04, 1.761E-02, 0.000E+00,-2.393E-03, 0.000E+00,-4.085E-03, 5.065E-02, 0.000E+00, 0.000E+00,-3.063E+02
-2.900E+02, 0.000E+00, 3.002E-02, 1.836E-02, 1.463E-02, 0.000E+00, 1.595E-03, 0.000E+00, 4.699E-03, 6.461E-02, 0.000E+00, 0.000E+00,-3.059E+02
-2.600E+02, 0.000E+00, 2.615E-02, 1.634E-02, 1.266E-02, 0.000E+00,-1.554E-03, 0.000E+00,-2.458E-03, 5.359E-02, 0.000E+00, 0.000E+00,-3.061E+02
-2.300E+02, 0.000E+00, 2.305E-02, 2.710E-02, 1.164E-02, 0.000E+00, 1.102E-03, 0.000E+00,-1.355E-03, 6.289E-02, 0.000E+00, 0.000E+00,-3.062E+02
-2.000E+02, 0.000E+00, 2.041E-02, 3.030E-02, 1.035E-02, 0.000E+00, 8.116E-04, 0.000E+00, 4.017E-03, 6.187E-02, 0.000E+00, 0.000E+00,-3.059E+02
-1.700E+02, 0.000E+00, 1.861E-02, 3.047E-02, 9.150E-03, 0.000E+00,-3.229E-04, 0.000E+00,-3.522E-03, 5.790E-02, 0.000E+00, 0.000E+00,-3.062E+02
-1.399E+02, 0.000E+00, 1.742E-02, 2.930E-02, 8.603E-03, 0.000E+00,-1.484E-03, 0.000E+00,-2.234E-03, 5.385E-02, 0.000E+00, 0.000E+00,-3.063E+02
-1.099E+02, 0.000E+00, 1.640E-02, 3.354E-02, 8.337E-03, 0.000E+00,-3.040E-04, 0.000E+00, 2.949E-04, 5.797E-02, 0.000E+00, 0.000E+00,-3.063E+02
-7.994E+01, 0.000E+00, 1.566E-02, 3.900E-02, 7.794E-03, 0.000E+00, 1.363E-03, 0.000E+00, 3.287E-03, 6.381E-02, 0.000E+00, 0.000E+00,-3.061E+02
-4.995E+01, 0.000E+00, 1.496E-02, 3.628E-02, 7.214E-03, 0.000E+00,-2.336E-04, 0.000E+00,-1.465E-03, 5.822E-02, 0.000E+00, 0.000E+00,-3.062E+02
-1.997E+01, 0.000E+00, 1.429E-02, 3.350E-02, 7.335E-03, 0.000E+00,-1.568E-03, 0.000E+00,-3.355E-03, 5.355E-02, 0.000E+00, 0.000E+00,-3.064E+02
 1.001E+01, 9.903E+00,-1.527E+00,-6.674E+00,-2.874E-01, 5.364E-02, 5.462E-01, 0.000E+00, 1.902E+00, 2.014E+00, 2.240E-04, 2.240E-04,-1.551E+02
 4.001E+01, 1.476E+02,-2.665E+01,-1.038E+02,-1.660E+01, 6.990E-01, 4.722E-01, 0.000E+00, 1.646E+00, 1.771E+00, 3.112E-03, 3.112E-03,-2.396E+01
 7.001E+01, 1.923E+02,-4.922E+01,-1.083E+02,-3.627E+01, 8.723E-01,-2.841E-01, 0.000E+00,-1.001E+00,-8.963E-01, 3.999E-03, 3.999E-03,-1.037E+02
 1.000E+02, 1.928E+02,-6.396E+01,-8.180E+01,-4.855E+01, 8.463E-01,-2.931E-01, 0.000E+00,-1.020E+00,-9.238E-01, 3.999E-03, 3.999E-03,-1.850E+02
 1.300E+02, 1.938E+02,-7.382E+01,-6.614E+01,-5.489E+01, 8.174E-01,-1.589E-01, 0.000E+00,-5.644E-01,-4.350E-01, 3.999E-03, 3.999E-03,-2.299E+02
 1.600E+02, 1.948E+02,-7.997E+01,-5.727E+01,-5.836E+01, 7.930E-01,-6.318E-02, 0.000E+00,-2.063E-01,-1.082E-01, 3.999E-03, 3.999E-03,-2.464E+02
 1.900E+02, 1.951E+02,-8.296E+01,-5.379E+01,-5.905E+01, 7.754E-01,-1.145E-02, 0.000E+00,-4.928E-02, 9.014E-02, 3.999E-03, 3.999E-03,-2.503E+02
 2.200E+02, 1.955E+02,-8.513E+01,-5.163E+01,-5.941E+01, 7.610E-01,-1.652E-02, 0.000E+00,-5.134E-02, 6.242E-02, 3.999E-03, 3.999E-03,-2.544E+02
 2.500E+02, 1.954E+02,-8.618E+01,-5.150E+01,-5.831E+01, 7.477E-01,-1.168E-02, 0.000E+00,-5.348E-02, 9.241E-02, 3.999E-03, 3.999E-03,-2.586E+02
 2.800E+02, 1.954E+02,-8.700E+01,-5.085E+01,-5.837E+01, 7.383E-01,-6.860E-02, 0.000E+00,-2.334E-01,-1.213E-01, 3.999E-03, 3.999E-03,-2.772E+02
 3.100E+02, 1.959E+02,-8.757E+01,-5.081E+01,-5.787E+01, 7.341E-01, 1.179E-01, 0.000E+00, 4.085E-01, 5.422E-01, 3.999E-03, 3.999E-03,-2.447E+02
 3.400E+02, 1.955E+02,-8.823E+01,-5.038E+01,-5.757E+01, 7.240E-01,-4.675E-02, 0.000E+00,-1.691E-01,-3.676E-02, 3.999E-03, 3.999E-03,-2.582E+02
 3.700E+02, 1.957E+02,-8.887E+01,-5.006E+01,-5.725E+01, 7.191E-01, 3.058E-02, 0.000E+00, 1.051E-01, 2.336E-01, 3.999E-03, 3.999E-03,-2.498E+02
 4.000E+02, 1.955E+02,-8.921E+01,-5.021E+01,-5.664E+01, 7.127E-01, 2.795E-02, 0.000E+00, 1.033E-01, 2.185E-01, 3.999E-03, 3.999E-03,-2.416E+02
 4.300E+02, 1.958E+02,-8.967E+01,-5.021E+01,-5.642E+01, 7.118E-01, 3.606E-02, 0.000E+00, 1.217E-01, 2.533E-01, 3.999E-03, 3.999E-03,-2.319E+02
 4.600E+02, 1.958E+02,-9.029E+01,-4.981E+01,-5.635E+01, 7.078E-01,-7.044E-03, 0.000E+00,-2.645E-02, 9.896E-02, 3.999E-03, 3.999E-03,-2.340E+02
 4.900E+02, 1.958E+02,-9.009E+01,-5.098E+01,-5.527E+01, 7.047E-01, 1.303E-02, 0.000E+00, 3.709E-02, 1.741E-01, 3.999E-03, 3.999E-03,-2.311E+02
