s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol,kW
Time,"West_All_TCs","East_All_TCs","West_Bottom_TCs","West_Middle_TCs","West_Upper_TCs","East_Bottom_TCs","East_Middle_TCs","East_Upper_TCs","Pressure","O2","CO2","HRR"
-4.000E+02, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 0.000E+00, 2.095E-01, 3.901E-04, 0.000E+00
 4.427E-02, 2.795E+01, 2.796E+01, 2.799E+01, 2.796E+01, 2.791E+01, 2.801E+01, 2.795E+01, 2.791E+01,-1.671E+02, 2.095E-01, 3.901E-04, 6.380E-06
 4.000E+02, 8.748E+01, 8.793E+01, 6.679E+01, 9.348E+01, 1.022E+02, 6.885E+01, 9.243E+01, 1.025E+02,-1.164E+02, 2.005E-01, 5.440E-03, 9.601E+01
 8.000E+02, 9.146E+01, 9.317E+01, 6.905E+01, 9.725E+01, 1.081E+02, 7.173E+01, 9.791E+01, 1.099E+02,-1.397E+02, 1.923E-01, 1.005E-02, 9.998E+01
 1.200E+03, 9.514E+01, 9.670E+01, 7.324E+01, 1.005E+02, 1.116E+02, 7.432E+01, 1.029E+02, 1.129E+02,-1.329E+02, 1.900E-01, 1.132E-02, 1.001E+02
 1.600E+03, 9.851E+01, 1.001E+02, 7.513E+01, 1.055E+02, 1.149E+02, 7.833E+01, 1.059E+02, 1.160E+02,-1.301E+02, 1.891E-01, 1.181E-02, 1.001E+02
 2.000E+03, 1.002E+02, 1.027E+02, 7.827E+01, 1.066E+02, 1.159E+02, 7.942E+01, 1.092E+02, 1.193E+02,-1.280E+02, 1.888E-01, 1.200E-02, 1.000E+02
 2.400E+03, 1.035E+02, 1.044E+02, 7.987E+01, 1.099E+02, 1.209E+02, 8.222E+01, 1.108E+02, 1.201E+02,-1.262E+02, 1.886E-01, 1.211E-02, 1.000E+02
 2.800E+03, 1.047E+02, 1.068E+02, 8.153E+01, 1.112E+02, 1.215E+02, 8.271E+01, 1.136E+02, 1.242E+02,-1.249E+02, 1.884E-01, 1.218E-02, 1.000E+02
 3.200E+03, 1.066E+02, 1.087E+02, 8.315E+01, 1.135E+02, 1.231E+02, 8.427E+01, 1.156E+02, 1.264E+02,-1.238E+02, 1.883E-01, 1.225E-02, 1.001E+02
 3.600E+03, 1.081E+02, 1.101E+02, 8.362E+01, 1.148E+02, 1.260E+02, 8.414E+01, 1.170E+02, 1.292E+02,-1.237E+02, 1.882E-01, 1.230E-02, 1.000E+02
 4.000E+03, 1.103E+02, 1.120E+02, 8.493E+01, 1.175E+02, 1.285E+02, 8.570E+01, 1.191E+02, 1.311E+02,-1.234E+02, 1.883E-01, 1.228E-02, 1.001E+02
 4.400E+03, 1.115E+02, 1.135E+02, 8.637E+01, 1.188E+02, 1.293E+02, 8.702E+01, 1.220E+02, 1.315E+02,-1.233E+02, 1.883E-01, 1.229E-02, 1.000E+02
 4.800E+03, 1.126E+02, 1.140E+02, 8.672E+01, 1.200E+02, 1.312E+02, 8.745E+01, 1.222E+02, 1.323E+02,-1.233E+02, 1.882E-01, 1.230E-02, 1.000E+02
 5.200E+03, 1.141E+02, 1.151E+02, 8.788E+01, 1.210E+02, 1.335E+02, 8.976E+01, 1.227E+02, 1.329E+02,-1.231E+02, 1.882E-01, 1.231E-02, 1.000E+02
 5.600E+03, 1.155E+02, 1.165E+02, 8.899E+01, 1.230E+02, 1.346E+02, 8.910E+01, 1.255E+02, 1.348E+02,-1.231E+02, 1.882E-01, 1.232E-02, 1.001E+02
 6.000E+03, 1.170E+02, 1.186E+02, 9.051E+01, 1.252E+02, 1.354E+02, 9.202E+01, 1.274E+02, 1.363E+02,-1.230E+02, 1.882E-01, 1.231E-02, 9.999E+01
