s,,,,,,,,,Pa,mol/mol,mol/mol
Time,"West_All_TCs","East_All_TCs","West_Bottom_TCs","West_Middle_TCs","West_Upper_TCs","East_Bottom_TCs","East_Middle_TCs","East_Upper_TCs","Pressure","O2","CO2"
-1.000E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.061E-01, 3.837E-04
 9.029E-02, 3.097E+01, 3.098E+01, 3.097E+01, 3.097E+01, 3.097E+01, 3.098E+01, 3.097E+01, 3.097E+01,-4.091E+01, 2.061E-01, 3.837E-04
 1.000E+02, 6.480E+01, 6.463E+01, 6.129E+01, 9.681E+01, 3.631E+01, 6.144E+01, 9.675E+01, 3.571E+01, 1.267E+01, 2.048E-01, 9.551E-04
 2.000E+02, 1.093E+02, 1.104E+02, 1.190E+02, 1.576E+02, 5.135E+01, 1.202E+02, 1.602E+02, 5.082E+01,-1.990E+01, 2.004E-01, 2.967E-03
 3.000E+02, 1.196E+02, 1.201E+02, 1.277E+02, 1.714E+02, 5.982E+01, 1.306E+02, 1.707E+02, 5.899E+01,-3.203E+01, 1.944E-01, 5.699E-03
 4.000E+02, 1.234E+02, 1.246E+02, 1.318E+02, 1.740E+02, 6.439E+01, 1.343E+02, 1.760E+02, 6.351E+01,-3.373E+01, 1.859E-01, 9.552E-03
 5.000E+02, 1.255E+02, 1.273E+02, 1.355E+02, 1.762E+02, 6.466E+01, 1.392E+02, 1.788E+02, 6.394E+01,-3.573E+01, 1.787E-01, 1.281E-02
 6.000E+02, 1.275E+02, 1.300E+02, 1.379E+02, 1.793E+02, 6.534E+01, 1.429E+02, 1.825E+02, 6.450E+01,-3.494E+01, 1.720E-01, 1.583E-02
 7.000E+02, 1.296E+02, 1.326E+02, 1.395E+02, 1.819E+02, 6.751E+01, 1.445E+02, 1.861E+02, 6.700E+01,-3.308E+01, 1.652E-01, 1.892E-02
 8.000E+02, 1.324E+02, 1.346E+02, 1.430E+02, 1.847E+02, 6.939E+01, 1.461E+02, 1.885E+02, 6.925E+01,-3.630E+01, 1.586E-01, 2.189E-02
 9.000E+02, 1.342E+02, 1.367E+02, 1.447E+02, 1.873E+02, 7.064E+01, 1.482E+02, 1.919E+02, 6.988E+01,-3.472E+01, 1.538E-01, 2.408E-02
 1.000E+03, 1.369E+02, 1.390E+02, 1.469E+02, 1.914E+02, 7.245E+01, 1.505E+02, 1.944E+02, 7.197E+01,-3.322E+01, 1.492E-01, 2.619E-02
