s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol,
Time,"West_All_TCs","East_All_TCs","West_Bottom_TCs","West_Middle_TCs","West_Upper_TCs","East_Bottom_TCs","East_Middle_TCs","East_Upper_TCs","Pressure","O2","CO2","HRR"
-4.000E+02, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 0.000E+00, 2.095E-01, 3.901E-04, 0.000E+00
 2.890E-02, 3.298E+01, 3.300E+01, 3.303E+01, 3.297E+01, 3.294E+01, 3.305E+01, 3.299E+01, 3.295E+01,-4.434E+02, 2.095E-01, 3.901E-04, 0.000E+00
 4.000E+02, 1.392E+02, 1.466E+02, 1.331E+02, 1.870E+02, 9.747E+01, 1.508E+02, 1.993E+02, 8.963E+01,-3.210E+02, 1.926E-01, 9.826E-03, 2.354E+02
 8.000E+02, 1.538E+02, 1.594E+02, 1.500E+02, 2.034E+02, 1.079E+02, 1.660E+02, 2.094E+02, 1.029E+02,-3.462E+02, 1.781E-01, 1.793E-02, 2.453E+02
 1.200E+03, 1.645E+02, 1.701E+02, 1.590E+02, 2.182E+02, 1.165E+02, 1.757E+02, 2.229E+02, 1.118E+02,-3.266E+02, 1.764E-01, 1.888E-02, 2.454E+02
 1.600E+03, 1.725E+02, 1.775E+02, 1.667E+02, 2.258E+02, 1.249E+02, 1.811E+02, 2.314E+02, 1.202E+02,-3.200E+02, 1.758E-01, 1.921E-02, 2.454E+02
 2.000E+03, 1.778E+02, 1.853E+02, 1.744E+02, 2.314E+02, 1.274E+02, 1.899E+02, 2.418E+02, 1.244E+02,-3.153E+02, 1.757E-01, 1.928E-02, 2.454E+02
 2.400E+03, 1.849E+02, 1.901E+02, 1.808E+02, 2.385E+02, 1.354E+02, 1.953E+02, 2.451E+02, 1.300E+02,-3.097E+02, 1.754E-01, 1.945E-02, 2.454E+02
 2.800E+03, 1.888E+02, 1.962E+02, 1.847E+02, 2.432E+02, 1.383E+02, 1.997E+02, 2.525E+02, 1.362E+02,-3.043E+02, 1.750E-01, 1.963E-02, 2.454E+02
 3.200E+03, 1.940E+02, 1.999E+02, 1.890E+02, 2.493E+02, 1.435E+02, 2.057E+02, 2.559E+02, 1.381E+02,-2.997E+02, 1.747E-01, 1.980E-02, 2.453E+02
 3.600E+03, 1.976E+02, 2.062E+02, 1.945E+02, 2.538E+02, 1.446E+02, 2.134E+02, 2.636E+02, 1.417E+02,-2.967E+02, 1.746E-01, 1.990E-02, 2.454E+02
 4.000E+03, 2.006E+02, 2.093E+02, 1.982E+02, 2.557E+02, 1.480E+02, 2.161E+02, 2.670E+02, 1.449E+02,-2.942E+02, 1.744E-01, 2.001E-02, 2.453E+02
 4.400E+03, 2.053E+02, 2.134E+02, 2.030E+02, 2.611E+02, 1.518E+02, 2.215E+02, 2.712E+02, 1.474E+02,-2.927E+02, 1.743E-01, 2.007E-02, 2.452E+02
 4.800E+03, 2.075E+02, 2.144E+02, 2.056E+02, 2.620E+02, 1.549E+02, 2.240E+02, 2.689E+02, 1.502E+02,-2.930E+02, 1.742E-01, 2.008E-02, 2.452E+02
 5.200E+03, 2.108E+02, 2.186E+02, 2.099E+02, 2.662E+02, 1.562E+02, 2.263E+02, 2.767E+02, 1.528E+02,-2.935E+02, 1.743E-01, 2.006E-02, 2.452E+02
 5.600E+03, 2.133E+02, 2.207E+02, 2.129E+02, 2.696E+02, 1.574E+02, 2.278E+02, 2.801E+02, 1.543E+02,-2.936E+02, 1.743E-01, 2.003E-02, 2.451E+02
 6.000E+03, 2.161E+02, 2.236E+02, 2.131E+02, 2.724E+02, 1.629E+02, 2.315E+02, 2.798E+02, 1.595E+02,-2.935E+02, 1.743E-01, 2.007E-02, 2.452E+02
