s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol
Time,"West_All_TCs","East_All_TCs","West_Bottom_TCs","West_Middle_TCs","West_Upper_TCs","East_Bottom_TCs","East_Middle_TCs","East_Upper_TCs","Pressure","O2","CO2"
-4.000E+02, 3.400E+01, 3.400E+01, 3.400E+01, 3.400E+01, 3.400E+01, 3.400E+01, 3.400E+01, 3.400E+01, 0.000E+00, 2.054E-01, 3.824E-04
 7.667E-03, 3.398E+01, 3.399E+01, 3.403E+01, 3.397E+01, 3.394E+01, 3.405E+01, 3.398E+01, 3.395E+01,-4.608E+02, 2.054E-01, 3.824E-04
 4.000E+02, 8.348E+01, 8.503E+01, 7.627E+01, 1.062E+02, 6.800E+01, 8.402E+01, 1.079E+02, 6.324E+01,-3.809E+02, 1.979E-01, 3.771E-03
 8.000E+02, 8.872E+01, 9.065E+01, 8.151E+01, 1.119E+02, 7.271E+01, 8.935E+01, 1.125E+02, 7.013E+01,-4.070E+02, 1.917E-01, 6.611E-03
 1.200E+03, 9.269E+01, 9.427E+01, 8.385E+01, 1.178E+02, 7.645E+01, 9.135E+01, 1.186E+02, 7.289E+01,-4.015E+02, 1.912E-01, 6.808E-03
 1.600E+03, 9.559E+01, 9.813E+01, 8.655E+01, 1.196E+02, 8.064E+01, 9.632E+01, 1.220E+02, 7.611E+01,-3.983E+02, 1.911E-01, 6.855E-03
 2.000E+03, 9.856E+01, 9.849E+01, 8.978E+01, 1.241E+02, 8.181E+01, 9.557E+01, 1.219E+02, 7.800E+01,-3.953E+02, 1.911E-01, 6.867E-03
 2.400E+03, 1.001E+02, 1.025E+02, 9.029E+01, 1.250E+02, 8.499E+01, 1.004E+02, 1.261E+02, 8.105E+01,-3.927E+02, 1.910E-01, 6.895E-03
 2.800E+03, 1.016E+02, 1.036E+02, 9.190E+01, 1.274E+02, 8.543E+01, 9.775E+01, 1.287E+02, 8.427E+01,-3.893E+02, 1.910E-01, 6.932E-03
 3.200E+03, 1.041E+02, 1.058E+02, 9.310E+01, 1.284E+02, 9.062E+01, 1.020E+02, 1.298E+02, 8.566E+01,-3.859E+02, 1.909E-01, 6.941E-03
 3.600E+03, 1.061E+02, 1.074E+02, 9.511E+01, 1.309E+02, 9.232E+01, 1.033E+02, 1.302E+02, 8.856E+01,-3.824E+02, 1.909E-01, 6.978E-03
 4.000E+03, 1.068E+02, 1.083E+02, 9.708E+01, 1.321E+02, 9.125E+01, 1.047E+02, 1.314E+02, 8.863E+01,-3.795E+02, 1.908E-01, 7.004E-03
