s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
-4.000E+02, 0.000E+00,-6.425E-04,-5.685E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.482E-04, 0.000E+00, 0.000E+00
-3.699E+02, 0.000E+00,-7.127E-06,-6.206E-05, 3.990E-07,-6.738E-21, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.879E-05, 0.000E+00, 0.000E+00
-3.399E+02, 0.000E+00,-1.190E-05,-1.362E-04, 5.301E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.476E-04, 0.000E+00, 0.000E+00
-3.099E+02, 0.000E+00,-1.828E-05,-1.427E-04,-5.972E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.616E-04, 0.000E+00, 0.000E+00
-2.799E+02, 0.000E+00,-2.446E-05,-1.396E-04,-1.690E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.657E-04, 0.000E+00, 0.000E+00
-2.499E+02, 0.000E+00,-3.015E-05,-1.321E-04,-2.158E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.644E-04, 0.000E+00, 0.000E+00
-2.199E+02, 0.000E+00,-3.519E-05,-1.210E-04,-2.197E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.584E-04, 0.000E+00, 0.000E+00
-1.899E+02, 0.000E+00,-3.950E-05,-1.073E-04,-2.382E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.492E-04, 0.000E+00, 0.000E+00
-1.599E+02, 0.000E+00,-4.297E-05,-9.224E-05,-2.791E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.380E-04, 0.000E+00, 0.000E+00
-1.299E+02, 0.000E+00,-4.549E-05,-7.662E-05,-3.253E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.254E-04, 0.000E+00, 0.000E+00
-9.986E+01, 0.000E+00,-4.701E-05,-6.205E-05,-3.502E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.126E-04, 0.000E+00, 0.000E+00
-6.993E+01, 0.000E+00,-4.761E-05,-5.059E-05,-3.380E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.016E-04, 0.000E+00, 0.000E+00
-3.986E+01, 0.000E+00,-4.755E-05,-4.377E-05,-2.988E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-9.431E-05, 0.000E+00, 0.000E+00
-9.932E+00, 0.000E+00,-4.720E-05,-4.183E-05,-2.593E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-9.162E-05, 0.000E+00, 0.000E+00
 2.002E+01, 3.991E+01,-5.923E+00,-3.160E+01,-2.566E+00, 1.887E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.665E-03, 8.944E-04, 8.944E-04
 5.000E+01, 1.882E+02,-3.636E+01,-1.231E+02,-2.936E+01, 7.101E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.104E-02, 3.778E-03, 3.778E-03
 8.002E+01, 2.004E+02,-5.376E+01,-9.862E+01,-4.893E+01, 7.579E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.161E-01, 3.999E-03, 3.999E-03
 1.100E+02, 2.011E+02,-5.915E+01,-8.913E+01,-5.384E+01, 7.550E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-2.326E-01, 3.999E-03, 3.999E-03
 1.400E+02, 2.003E+02,-6.154E+01,-8.490E+01,-5.486E+01, 7.580E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-2.841E-01, 3.999E-03, 3.999E-03
 1.700E+02, 2.003E+02,-6.240E+01,-8.414E+01,-5.481E+01, 7.630E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.041E-01, 3.999E-03, 3.999E-03
 2.000E+02, 1.999E+02,-6.352E+01,-8.211E+01,-5.532E+01, 7.517E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.066E-01, 3.999E-03, 3.999E-03
 2.300E+02, 2.002E+02,-6.394E+01,-8.428E+01,-5.317E+01, 7.688E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.891E-01, 3.999E-03, 3.999E-03
 2.600E+02, 1.996E+02,-6.241E+01,-8.666E+01,-5.159E+01, 7.485E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.334E-01, 3.999E-03, 3.999E-03
 2.900E+02, 2.011E+02,-6.391E+01,-8.538E+01,-5.296E+01, 7.586E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.801E-01, 3.999E-03, 3.999E-03
 3.200E+02, 1.989E+02,-6.288E+01,-8.624E+01,-5.090E+01, 7.640E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.652E-01, 3.999E-03, 3.999E-03
 3.500E+02, 1.997E+02,-6.349E+01,-8.714E+01,-5.024E+01, 7.537E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.683E-01, 3.999E-03, 3.999E-03
 3.800E+02, 2.006E+02,-6.336E+01,-8.775E+01,-5.059E+01, 7.494E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.155E-01, 3.999E-03, 3.999E-03
 4.100E+02, 1.996E+02,-6.291E+01,-8.875E+01,-4.909E+01, 7.719E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.751E-01, 3.999E-03, 3.999E-03
 4.400E+02, 2.015E+02,-6.382E+01,-8.893E+01,-4.986E+01, 7.753E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.432E-01, 3.999E-03, 3.999E-03
 4.700E+02, 1.991E+02,-6.227E+01,-9.017E+01,-4.781E+01, 7.720E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.984E-01, 3.999E-03, 3.999E-03
 5.000E+02, 2.006E+02,-6.318E+01,-9.071E+01,-4.790E+01, 7.766E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.948E-01, 3.999E-03, 3.999E-03
 5.300E+02, 1.997E+02,-6.186E+01,-9.180E+01,-4.708E+01, 7.479E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.399E-01, 3.999E-03, 3.999E-03
 5.600E+02, 2.004E+02,-6.267E+01,-9.263E+01,-4.627E+01, 7.759E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.226E-01, 3.999E-03, 3.999E-03
 5.900E+02, 2.003E+02,-6.248E+01,-9.286E+01,-4.616E+01, 7.580E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.960E-01, 3.999E-03, 3.999E-03
 6.200E+02, 1.999E+02,-6.287E+01,-9.130E+01,-4.689E+01, 7.585E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.812E-01, 3.999E-03, 3.999E-03
 6.500E+02, 1.995E+02,-6.201E+01,-9.326E+01,-4.541E+01, 7.567E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.022E-01, 3.999E-03, 3.999E-03
 6.800E+02, 2.003E+02,-6.264E+01,-9.367E+01,-4.516E+01, 7.762E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.583E-01, 3.999E-03, 3.999E-03
 7.100E+02, 2.002E+02,-6.200E+01,-9.426E+01,-4.504E+01, 7.670E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.465E-01, 3.999E-03, 3.999E-03
 7.400E+02, 1.987E+02,-6.151E+01,-9.428E+01,-4.406E+01, 7.702E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.075E-01, 3.999E-03, 3.999E-03
 7.700E+02, 2.016E+02,-6.252E+01,-9.616E+01,-4.410E+01, 7.685E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.882E-01, 3.999E-03, 3.999E-03
 8.000E+02, 1.999E+02,-6.155E+01,-9.527E+01,-4.420E+01, 7.519E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.669E-01, 3.999E-03, 3.999E-03
 8.300E+02, 1.994E+02,-6.209E+01,-9.455E+01,-4.394E+01, 7.535E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.797E-01, 3.999E-03, 3.999E-03
