s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
-6.000E+01, 0.000E+00,-5.676E-04, 9.690E-07,-3.240E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.670E-04, 0.000E+00, 0.000E+00, 0.000E+00,-8.684E-01
-4.999E+01, 0.000E+00,-6.255E-07,-6.588E-07,-2.474E-07, 0.000E+00,-4.852E-06, 0.000E+00,-1.700E-06,-6.384E-06, 1.287E-06, 0.000E+00, 0.000E+00,-8.684E-01
-3.999E+01, 0.000E+00, 2.339E-07, 1.041E-05,-5.582E-07, 0.000E+00, 1.910E-07, 0.000E+00, 6.999E-07, 1.028E-05, 4.217E-08, 0.000E+00, 0.000E+00,-8.684E-01
-2.998E+01, 0.000E+00, 4.110E-07, 9.626E-06,-5.480E-07, 0.000E+00,-5.268E-08, 0.000E+00,-1.856E-07, 9.436E-06, 3.171E-08, 0.000E+00, 0.000E+00,-8.684E-01
-1.997E+01, 0.000E+00, 5.800E-07, 9.319E-06,-3.596E-07, 0.000E+00,-3.255E-08, 0.000E+00,-1.148E-07, 9.507E-06, 3.095E-08, 0.000E+00, 0.000E+00,-8.684E-01
-9.967E+00, 0.000E+00, 7.363E-07, 8.945E-06,-1.096E-07, 0.000E+00,-1.966E-08, 0.000E+00,-6.921E-08, 9.552E-06, 2.987E-08, 0.000E+00, 0.000E+00,-8.684E-01
 3.957E-02, 3.536E-04, 8.772E-07, 1.758E-05, 1.306E-07, 6.923E-06, 7.706E-05, 0.000E+00, 1.111E-05, 4.561E-04, 2.877E-08, 2.995E-08, 0.000E+00,-8.681E-01
 1.003E+01, 1.645E+01,-2.508E+00,-1.327E+01,-3.297E-01, 7.635E-02, 1.326E-01, 0.000E+00, 4.591E-01, 5.469E-01,-4.454E-02, 3.374E-04,-3.107E-07, 1.129E+01
 2.002E+01, 4.966E+01,-7.835E+00,-3.787E+01,-3.282E+00, 2.208E-01, 3.085E-01, 0.000E+00, 1.080E+00, 1.205E+00,-1.283E-01, 1.002E-03,-4.330E-05, 3.991E+01
 3.002E+01, 8.306E+01,-1.376E+01,-6.149E+01,-6.643E+00, 3.583E-01, 4.629E-01, 0.000E+00, 1.620E+00, 1.982E+00,-2.084E-01, 1.668E-03,-1.704E-04, 8.287E+01
 4.002E+01, 1.001E+02,-1.787E+01,-7.138E+01,-1.079E+01, 4.243E-01,-5.952E-02, 0.000E+00,-2.050E-01, 4.449E-01,-2.419E-01, 1.999E-03,-3.463E-04, 7.744E+01
 5.002E+01, 1.001E+02,-1.966E+01,-6.656E+01,-1.375E+01, 4.247E-01,-1.269E-01, 0.000E+00,-4.463E-01, 3.997E-01,-2.253E-01, 1.999E-03,-4.679E-04, 6.561E+01
 6.001E+01, 1.002E+02,-2.163E+01,-6.152E+01,-1.681E+01, 4.249E-01,-1.022E-01, 0.000E+00,-3.575E-01, 6.085E-01,-2.078E-01, 1.999E-03,-5.783E-04, 5.613E+01
 7.002E+01, 1.003E+02,-2.370E+01,-5.653E+01,-1.960E+01, 4.246E-01,-7.996E-02, 0.000E+00,-2.799E-01, 7.745E-01,-1.905E-01, 1.999E-03,-6.888E-04, 4.871E+01
 8.002E+01, 1.002E+02,-2.568E+01,-5.178E+01,-2.225E+01, 4.238E-01,-7.552E-02, 0.000E+00,-2.644E-01, 8.297E-01,-1.740E-01, 1.999E-03,-7.963E-04, 4.169E+01
 9.002E+01, 1.003E+02,-2.778E+01,-4.686E+01,-2.519E+01, 4.255E-01,-7.667E-02, 0.000E+00,-2.672E-01, 8.306E-01,-1.568E-01, 1.999E-03,-9.223E-04, 3.461E+01
 1.000E+02, 1.005E+02,-2.988E+01,-4.253E+01,-2.752E+01, 4.231E-01,-5.360E-02, 0.000E+00,-1.901E-01, 8.917E-01,-1.407E-01, 1.999E-03,-1.215E-03, 2.956E+01
 1.100E+02, 1.002E+02,-3.185E+01,-3.810E+01,-2.983E+01, 4.242E-01,-6.275E-02, 0.000E+00,-2.186E-01, 8.033E-01,-1.252E-01, 1.999E-03,-1.384E-03, 2.378E+01
 1.200E+02, 1.002E+02,-3.380E+01,-3.374E+01,-3.226E+01, 4.246E-01,-4.450E-02, 0.000E+00,-1.555E-01, 8.078E-01,-1.095E-01, 1.999E-03,-1.649E-03, 1.965E+01
 1.300E+02, 1.003E+02,-3.576E+01,-3.009E+01,-3.407E+01, 4.228E-01,-4.586E-02, 0.000E+00,-1.601E-01, 7.329E-01,-9.559E-02, 1.999E-03,-2.034E-03, 1.540E+01
 1.400E+02, 1.006E+02,-3.758E+01,-2.710E+01,-3.550E+01, 4.239E-01,-2.024E-02, 0.000E+00,-7.230E-02, 7.768E-01,-8.597E-02, 1.999E-03,-2.032E-03, 1.349E+01
 1.500E+02, 1.004E+02,-3.923E+01,-2.344E+01,-3.747E+01, 4.227E-01,-3.384E-02, 0.000E+00,-1.151E-01, 6.546E-01,-7.418E-02, 1.999E-03,-1.967E-03, 1.043E+01
 1.600E+02, 1.002E+02,-4.072E+01,-2.050E+01,-3.872E+01, 4.248E-01,-1.043E-02, 0.000E+00,-3.900E-02, 6.759E-01,-6.376E-02, 1.999E-03,-2.123E-03, 9.397E+00
