s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol,kW
Time,"West_All_TCs","East_All_TCs","West_Bottom_TCs","West_Middle_TCs","West_Upper_TCs","East_Bottom_TCs","East_Middle_TCs","East_Upper_TCs","Pressure","O2","CO2","HRR"
-6.000E+01, 2.900E+01, 2.900E+01, 2.900E+01, 2.900E+01, 2.900E+01, 2.900E+01, 2.900E+01, 2.900E+01,-9.487E-06, 2.095E-01, 3.901E-04, 0.000E+00
-4.997E+01, 2.877E+01, 2.878E+01, 2.878E+01, 2.877E+01, 2.877E+01, 2.876E+01, 2.878E+01, 2.879E+01,-3.729E+02, 2.095E-01, 3.901E-04, 0.000E+00
-4.000E+01, 2.870E+01, 2.872E+01, 2.870E+01, 2.869E+01, 2.870E+01, 2.872E+01, 2.871E+01, 2.872E+01,-4.093E+02, 2.095E-01, 3.901E-04, 0.000E+00
-2.999E+01, 2.869E+01, 2.873E+01, 2.869E+01, 2.868E+01, 2.869E+01, 2.874E+01, 2.872E+01, 2.872E+01,-4.094E+02, 2.095E-01, 3.901E-04, 0.000E+00
-1.998E+01, 2.870E+01, 2.875E+01, 2.871E+01, 2.869E+01, 2.870E+01, 2.876E+01, 2.875E+01, 2.873E+01,-4.095E+02, 2.095E-01, 3.901E-04, 0.000E+00
-9.971E+00, 2.872E+01, 2.877E+01, 2.873E+01, 2.871E+01, 2.871E+01, 2.880E+01, 2.878E+01, 2.873E+01,-4.096E+02, 2.095E-01, 3.901E-04, 0.000E+00
 3.842E-02, 2.874E+01, 2.879E+01, 2.875E+01, 2.874E+01, 2.873E+01, 2.884E+01, 2.878E+01, 2.874E+01,-4.097E+02, 2.095E-01, 3.901E-04, 1.389E-04
 1.002E+01, 2.950E+01, 2.969E+01, 2.931E+01, 2.899E+01, 3.020E+01, 2.948E+01, 2.905E+01, 3.054E+01,-3.170E+02, 2.093E-01, 5.168E-04, 3.271E+01
 2.001E+01, 3.321E+01, 3.294E+01, 3.079E+01, 3.122E+01, 3.763E+01, 3.081E+01, 2.981E+01, 3.819E+01,-1.512E+02, 2.082E-01, 1.128E-03, 9.943E+01
 3.001E+01, 4.148E+01, 4.218E+01, 3.267E+01, 3.936E+01, 5.242E+01, 3.331E+01, 4.049E+01, 5.275E+01,-5.625E+01, 2.071E-01, 1.739E-03, 1.663E+02
 4.001E+01, 5.214E+01, 5.336E+01, 3.614E+01, 5.179E+01, 6.848E+01, 3.750E+01, 5.363E+01, 6.895E+01,-4.254E+01, 2.057E-01, 2.513E-03, 2.006E+02
 5.001E+01, 6.245E+01, 6.306E+01, 3.986E+01, 6.549E+01, 8.201E+01, 4.223E+01, 6.503E+01, 8.192E+01,-7.278E+01, 2.040E-01, 3.486E-03, 2.004E+02
 6.001E+01, 7.084E+01, 7.269E+01, 4.475E+01, 7.502E+01, 9.273E+01, 4.862E+01, 7.649E+01, 9.295E+01,-1.130E+02, 2.028E-01, 4.159E-03, 2.007E+02
 7.000E+01, 7.778E+01, 8.081E+01, 5.050E+01, 8.320E+01, 9.964E+01, 5.414E+01, 8.587E+01, 1.024E+02,-1.549E+02, 2.012E-01, 5.044E-03, 2.002E+02
 8.000E+01, 8.389E+01, 8.717E+01, 5.565E+01, 8.957E+01, 1.064E+02, 5.998E+01, 9.466E+01, 1.069E+02,-1.842E+02, 2.005E-01, 5.467E-03, 2.006E+02
 9.001E+01, 8.962E+01, 9.160E+01, 6.080E+01, 9.423E+01, 1.138E+02, 6.488E+01, 1.001E+02, 1.098E+02,-2.201E+02, 1.998E-01, 5.839E-03, 2.007E+02
 1.000E+02, 9.276E+01, 9.752E+01, 6.500E+01, 9.846E+01, 1.148E+02, 7.003E+01, 1.068E+02, 1.158E+02,-2.502E+02, 1.991E-01, 6.244E-03, 2.004E+02
 1.100E+02, 9.651E+01, 1.021E+02, 6.724E+01, 1.022E+02, 1.201E+02, 7.360E+01, 1.089E+02, 1.238E+02,-2.732E+02, 1.980E-01, 6.853E-03, 2.005E+02
 1.200E+02, 9.973E+01, 1.039E+02, 6.999E+01, 1.052E+02, 1.240E+02, 7.551E+01, 1.107E+02, 1.254E+02,-2.914E+02, 1.970E-01, 7.396E-03, 2.009E+02
 1.300E+02, 1.019E+02, 1.070E+02, 7.159E+01, 1.076E+02, 1.264E+02, 7.915E+01, 1.160E+02, 1.259E+02,-3.015E+02, 1.963E-01, 7.798E-03, 2.010E+02
 1.400E+02, 1.037E+02, 1.085E+02, 7.378E+01, 1.096E+02, 1.277E+02, 7.753E+01, 1.177E+02, 1.302E+02,-3.170E+02, 1.954E-01, 8.317E-03, 2.006E+02
 1.500E+02, 1.050E+02, 1.093E+02, 7.485E+01, 1.103E+02, 1.299E+02, 8.137E+01, 1.168E+02, 1.297E+02,-3.232E+02, 1.948E-01, 8.654E-03, 2.006E+02
 1.600E+02, 1.058E+02, 1.107E+02, 7.673E+01, 1.121E+02, 1.286E+02, 8.375E+01, 1.179E+02, 1.305E+02,-3.241E+02, 1.942E-01, 8.986E-03, 2.008E+02
