s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
-6.000E+02, 0.000E+00, 0.000E+00,-7.443E-04,-4.860E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.448E-04, 0.000E+00, 0.000E+00, 0.000E+00,-8.250E-01
-5.400E+02, 0.000E+00, 0.000E+00, 7.336E-07,-2.337E-05,-5.680E-06, 2.203E-16,-1.173E-05, 0.000E+00,-3.760E-05,-4.005E-05, 6.579E-08, 0.000E+00, 0.000E+00,-8.310E-01
-4.799E+02, 0.000E+00, 0.000E+00, 1.830E-06, 3.832E-06,-2.716E-07, 1.422E-16, 2.148E-06, 0.000E+00, 6.059E-06, 7.538E-06, 1.851E-09, 0.000E+00, 0.000E+00,-8.300E-01
-4.200E+02, 0.000E+00, 0.000E+00, 6.077E-07,-3.834E-06, 1.812E-07, 1.172E-16,-1.228E-06, 0.000E+00,-2.076E-06,-4.273E-06,-1.392E-09, 0.000E+00, 0.000E+00,-8.303E-01
-3.600E+02, 0.000E+00, 0.000E+00, 4.074E-07,-5.023E-07, 1.282E-06, 1.031E-16, 4.337E-07, 0.000E+00, 1.396E-06, 1.621E-06,-3.797E-09, 0.000E+00, 0.000E+00,-8.301E-01
-2.999E+02, 0.000E+00, 0.000E+00, 7.129E-07,-2.074E-06, 5.080E-07, 9.488E-17,-3.817E-07, 0.000E+00,-1.521E-06,-1.235E-06,-7.415E-09, 0.000E+00, 0.000E+00,-8.304E-01
-2.400E+02, 0.000E+00, 0.000E+00, 1.528E-08, 1.771E-06,-6.057E-07, 9.030E-17, 4.585E-07, 0.000E+00,-4.096E-08, 1.639E-06,-1.071E-09, 0.000E+00, 0.000E+00,-8.304E-01
-1.799E+02, 0.000E+00, 0.000E+00, 3.055E-07,-7.685E-07, 7.026E-07, 8.691E-17, 6.462E-08, 0.000E+00, 1.434E-07, 3.042E-07,-1.670E-10, 0.000E+00, 0.000E+00,-8.303E-01
-1.199E+02, 0.000E+00, 0.000E+00, 1.068E-06,-2.966E-06, 1.938E-06, 8.431E-17,-2.850E-08, 0.000E+00, 1.303E-07, 1.192E-08,-1.050E-08, 0.000E+00, 0.000E+00,-8.303E-01
-5.998E+01, 0.000E+00, 0.000E+00, 6.909E-07,-1.519E-06, 7.255E-07, 8.253E-17,-7.962E-08, 0.000E+00,-1.996E-07,-1.827E-07,-5.746E-09, 0.000E+00, 0.000E+00,-8.303E-01
 5.841E-02, 1.714E-04, 0.000E+00, 3.247E-07, 4.973E-06, 2.257E-08, 3.393E-06, 3.774E-05, 0.000E+00, 5.843E-06, 2.179E-04, 3.351E-10, 1.497E-08, 0.000E+00,-8.294E-01
 6.002E+01, 1.496E+02, 0.000E+00,-4.154E+01,-8.017E+01,-2.708E+01, 6.019E-01, 8.860E-02, 0.000E+00, 3.103E-01, 1.537E+00,-1.983E-01, 3.003E-03,-1.044E-02, 4.861E+01
 1.200E+02, 2.001E+02, 0.000E+00,-1.039E+02,-4.055E+01,-5.512E+01, 8.002E-01,-4.600E-02, 0.000E+00,-1.695E-01, 1.231E+00,-7.038E-02, 3.998E-03,-1.495E-02, 2.159E+01
 1.800E+02, 1.999E+02, 0.000E+00,-1.214E+02,-2.380E+01,-5.437E+01, 8.132E-01,-1.356E-02, 0.000E+00,-7.202E-02, 1.154E+00,-3.619E-02, 3.998E-03,-1.368E-02, 1.010E+01
 2.400E+02, 1.991E+02, 0.000E+00,-1.294E+02,-1.670E+01,-5.269E+01, 8.051E-01, 4.174E-03, 0.000E+00, 5.712E-03, 1.138E+00,-2.398E-02, 3.998E-03,-1.243E-02, 1.102E+01
 3.000E+02, 1.723E+02, 0.000E+00,-1.211E+02,-4.330E+00,-4.680E+01, 7.240E-01,-4.954E-04, 0.000E+00,-3.384E-02, 8.556E-01, 2.267E-03, 3.991E-03,-8.820E-03, 5.618E+00
 3.600E+02, 1.248E+02, 0.000E+00,-8.050E+01,-9.871E+00,-3.314E+01, 4.245E-01, 3.042E-01, 0.000E+00, 9.094E-01, 2.032E+00, 1.467E-04, 3.931E-03,-1.613E-02, 1.506E+02
