s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-6.000E+01, 0.000E+00,-7.827E-04,-4.752E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.832E-04, 0.000E+00, 0.000E+00,-8.066E-01
-4.998E+01, 0.000E+00, 3.178E-02,-2.479E+00, 7.343E-03, 0.000E+00,-9.747E-01, 0.000E+00,-2.880E+00,-3.414E+00, 0.000E+00, 0.000E+00,-7.748E+01
-3.999E+01, 0.000E+00, 2.887E-02,-4.176E-02, 7.819E-03, 0.000E+00,-3.523E-04, 0.000E+00,-1.227E-03,-5.419E-03, 0.000E+00, 0.000E+00,-7.751E+01
-2.995E+01, 0.000E+00, 2.701E-02,-4.107E-02, 8.008E-03, 0.000E+00,-1.394E-04, 0.000E+00,-4.870E-04,-6.196E-03, 0.000E+00, 0.000E+00,-7.753E+01
-1.995E+01, 0.000E+00, 2.530E-02,-3.893E-02, 7.872E-03, 0.000E+00,-1.322E-04, 0.000E+00,-4.682E-04,-5.885E-03, 0.000E+00, 0.000E+00,-7.754E+01
-9.963E+00, 0.000E+00, 2.379E-02,-3.755E-02, 8.015E-03, 0.000E+00,-1.382E-04, 0.000E+00,-4.886E-04,-5.885E-03, 0.000E+00, 0.000E+00,-7.755E+01
 1.234E-02, 1.266E-04, 2.237E-02,-3.620E-02, 8.077E-03, 3.062E-06,-5.350E-05, 0.000E+00,-2.809E-04,-5.678E-03, 1.234E-08, 1.234E-08,-7.756E+01
 1.002E+01, 3.252E+01,-4.642E+00,-2.446E+01,-1.433E+00, 1.565E-01, 7.669E-01, 0.000E+00, 2.675E+00, 2.907E+00, 6.722E-04, 6.722E-04,-6.401E+00
 2.001E+01, 9.883E+01,-1.534E+01,-7.379E+01,-8.490E+00, 4.421E-01, 1.245E-01, 0.000E+00, 4.432E-01, 1.779E+00, 2.004E-03, 2.004E-03, 5.364E+00
