s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
-6.000E+01, 0.000E+00,-7.616E-04,-4.734E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.621E-04, 0.000E+00, 0.000E+00, 0.000E+00
-4.998E+01, 0.000E+00,-5.807E-07, 7.442E-06,-3.641E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.498E-06, 0.000E+00, 0.000E+00, 0.000E+00
-3.996E+01, 0.000E+00, 2.303E-07, 1.877E-05,-7.446E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.826E-05, 0.000E+00, 0.000E+00, 0.000E+00
-2.994E+01, 0.000E+00, 9.231E-07, 2.765E-05,-8.368E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.774E-05, 0.000E+00, 0.000E+00, 0.000E+00
-1.992E+01, 0.000E+00, 1.952E-06, 3.446E-05,-7.097E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.571E-05, 0.000E+00, 0.000E+00, 0.000E+00
-9.896E+00, 0.000E+00, 3.205E-06, 3.939E-05,-4.199E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.217E-05, 0.000E+00, 0.000E+00, 0.000E+00
 1.301E-02, 8.818E-05, 4.587E-06,-4.750E-05,-2.027E-07, 1.858E-06, 0.000E+00, 0.000E+00, 0.000E+00, 4.692E-05, 0.000E+00, 7.489E-09, 0.000E+00
 1.002E+01, 1.638E+01,-2.235E+00,-1.366E+01,-5.604E-01, 8.050E-02, 0.000E+00, 0.000E+00, 0.000E+00, 4.802E-03, 0.000E+00, 3.363E-04, 0.000E+00
 2.002E+01, 4.964E+01,-7.269E+00,-3.838E+01,-4.218E+00, 2.331E-01, 0.000E+00, 0.000E+00, 0.000E+00, 9.142E-03, 0.000E+00, 1.002E-03, 0.000E+00
 3.002E+01, 8.304E+01,-1.350E+01,-6.096E+01,-8.928E+00, 3.773E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.177E-02, 0.000E+00, 1.669E-03, 0.000E+00
 4.001E+01, 9.997E+01,-1.880E+01,-6.750E+01,-1.408E+01, 4.475E-01, 0.000E+00, 0.000E+00, 0.000E+00, 3.715E-02, 0.000E+00, 2.000E-03, 0.000E+00
 5.002E+01, 1.000E+02,-2.202E+01,-6.102E+01,-1.741E+01, 4.467E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.246E-02, 0.000E+00, 2.000E-03, 0.000E+00
 6.002E+01, 1.000E+02,-2.476E+01,-5.543E+01,-2.034E+01, 4.477E-01, 0.000E+00, 0.000E+00, 0.000E+00,-3.418E-02, 0.000E+00, 2.000E-03, 0.000E+00
 7.001E+01, 9.998E+01,-2.689E+01,-5.125E+01,-2.231E+01, 4.485E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.537E-02, 0.000E+00, 2.000E-03, 0.000E+00
 8.002E+01, 1.002E+02,-2.866E+01,-4.847E+01,-2.361E+01, 4.459E-01, 0.000E+00, 0.000E+00, 0.000E+00,-5.620E-02, 0.000E+00, 2.000E-03, 0.000E+00
 9.000E+01, 9.991E+01,-2.989E+01,-4.588E+01,-2.471E+01, 4.464E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.229E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.000E+02, 9.991E+01,-3.075E+01,-4.494E+01,-2.482E+01, 4.425E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.461E-01, 0.000E+00, 2.000E-03, 0.000E+00
