m,C,m/s
Height,tmp,vel
 1.3890000E-002, 7.1085805E+002, 4.4802635E-001
 4.1159817E-002, 7.3405099E+002, 9.7172500E-001
 6.8429633E-002, 7.6259951E+002, 1.5135177E+000
 9.5699450E-002, 7.9114093E+002, 2.0145461E+000
 1.2296927E-001, 8.1538055E+002, 2.4519755E+000
 1.5023908E-001, 8.3386516E+002, 2.8240311E+000
 1.7750890E-001, 8.4745930E+002, 3.1379095E+000
 2.0477872E-001, 8.5673389E+002, 3.4055425E+000
 2.3204853E-001, 8.6278296E+002, 3.6350019E+000
 2.5931835E-001, 8.6649688E+002, 3.8340929E+000
 2.8658817E-001, 8.6872505E+002, 4.0105248E+000
 3.1385798E-001, 8.7028678E+002, 4.1672333E+000
 3.4112780E-001, 8.7111886E+002, 4.3109050E+000
 3.6839761E-001, 8.7110299E+002, 4.4375205E+000
 3.9566743E-001, 8.7011527E+002, 4.5479634E+000
 4.2293725E-001, 8.6770186E+002, 4.6430493E+000
 4.5020706E-001, 8.6431445E+002, 4.7254406E+000
 4.7747688E-001, 8.5889407E+002, 4.7942927E+000
 5.0474670E-001, 8.5038624E+002, 4.8492965E+000
 5.3201651E-001, 8.3833233E+002, 4.8907873E+000
 5.5928633E-001, 8.2327815E+002, 4.9115370E+000
 5.8655615E-001, 8.0619022E+002, 4.9176076E+000
 6.1382596E-001, 7.8724202E+002, 4.9130390E+000
 6.4109578E-001, 7.6662206E+002, 4.9073952E+000
 6.6836560E-001, 7.4472027E+002, 4.8930052E+000
 6.9563541E-001, 7.2107110E+002, 4.8762561E+000
 7.2290523E-001, 6.9635107E+002, 4.8609921E+000
 7.5017505E-001, 6.7035403E+002, 4.8360234E+000
 7.7744486E-001, 6.4199146E+002, 4.8130641E+000
 8.0471468E-001, 6.1358955E+002, 4.7927956E+000
 8.3198450E-001, 5.8462612E+002, 4.7575603E+000
 8.5925431E-001, 5.5591673E+002, 4.7192981E+000
 8.8652413E-001, 5.2749271E+002, 4.6815528E+000
 9.1379394E-001, 4.9994812E+002, 4.6429245E+000
 9.4106376E-001, 4.7398509E+002, 4.5970588E+000
 9.6833358E-001, 4.5031233E+002, 4.5446859E+000
 9.9560339E-001, 4.2826238E+002, 4.4902249E+000
 1.0228732E+000, 4.0766706E+002, 4.4371074E+000
 1.0501430E+000, 3.8749256E+002, 4.3908522E+000
 1.0774128E+000, 3.6928940E+002, 4.3485519E+000
 1.1046827E+000, 3.5242092E+002, 4.3058429E+000
 1.1319525E+000, 3.3716076E+002, 4.2655526E+000
 1.1592223E+000, 3.2300207E+002, 4.2311743E+000
 1.1864921E+000, 3.0927873E+002, 4.1982885E+000
 1.2137619E+000, 2.9699438E+002, 4.1637938E+000
 1.2410317E+000, 2.8529810E+002, 4.1274195E+000
 1.2683016E+000, 2.7476444E+002, 4.0936759E+000
 1.2955714E+000, 2.6484536E+002, 4.0623830E+000
 1.3228412E+000, 2.5586989E+002, 4.0331240E+000
 1.3501110E+000, 2.4692654E+002, 4.0079186E+000
 1.3773808E+000, 2.3808361E+002, 3.9856089E+000
 1.4046506E+000, 2.2887824E+002, 3.9612868E+000
 1.4319205E+000, 2.2004069E+002, 3.9309174E+000
 1.4591903E+000, 2.1155646E+002, 3.8945577E+000
 1.4864601E+000, 2.0362170E+002, 3.8528729E+000
 1.5137299E+000, 1.9604981E+002, 3.8080337E+000
 1.5409997E+000, 1.8930552E+002, 3.7610285E+000
 1.5682695E+000, 1.8280474E+002, 3.7131240E+000
 1.5955394E+000, 1.7700045E+002, 3.6677086E+000
 1.6228092E+000, 1.7149973E+002, 3.6272056E+000
 1.6500790E+000, 1.6684718E+002, 3.5949647E+000
 1.6773488E+000, 1.6263722E+002, 3.5650343E+000
 1.7046186E+000, 1.5894693E+002, 3.5419020E+000
 1.7318884E+000, 1.5564600E+002, 3.5259129E+000
 1.7591583E+000, 1.5266003E+002, 3.5132986E+000
 1.7864281E+000, 1.4974890E+002, 3.5001231E+000
 1.8136979E+000, 1.4676177E+002, 3.4843779E+000
 1.8409677E+000, 1.4360636E+002, 3.4619741E+000
 1.8682375E+000, 1.4039182E+002, 3.4345704E+000
 1.8955073E+000, 1.3719437E+002, 3.4076589E+000
 1.9227772E+000, 1.3400259E+002, 3.3788826E+000
 1.9500470E+000, 1.3098574E+002, 3.3479822E+000
 1.9773168E+000, 1.2794909E+002, 3.3200890E+000
 2.0045866E+000, 1.2503897E+002, 3.2931205E+000
 2.0318564E+000, 1.2219921E+002, 3.2633010E+000
 2.0591262E+000, 1.1952256E+002, 3.2344299E+000
 2.0863961E+000, 1.1700961E+002, 3.2107726E+000
 2.1136659E+000, 1.1474126E+002, 3.1929861E+000
 2.1409357E+000, 1.1263286E+002, 3.1779841E+000
 2.1682055E+000, 1.1059884E+002, 3.1592077E+000
 2.1954753E+000, 1.0868014E+002, 3.1363308E+000
 2.2227451E+000, 1.0675552E+002, 3.1124676E+000
 2.2500150E+000, 1.0487169E+002, 3.0866278E+000
 2.2772848E+000, 1.0290651E+002, 3.0655829E+000
 2.3045546E+000, 1.0102744E+002, 3.0655829E+000
 2.3318244E+000, 9.9179971E+001, 3.0231061E+000
 2.3590942E+000, 9.7450251E+001, 2.9995029E+000
 2.3863640E+000, 9.5850127E+001, 2.9848564E+000
 2.4136339E+000, 9.4347472E+001, 2.9848564E+000
 2.4409037E+000, 9.2982859E+001, 2.9762256E+000
 2.4681735E+000, 9.1712646E+001, 2.9717689E+000
 2.4954433E+000, 9.0479078E+001, 2.9667189E+000
 2.5227131E+000, 8.9212606E+001, 2.9599161E+000
 2.5499829E+000, 8.7901458E+001, 2.9460961E+000
 2.5772528E+000, 8.6524596E+001, 2.9305984E+000
 2.6045226E+000, 8.5175553E+001, 2.9105184E+000
 2.6317924E+000, 8.3760110E+001, 2.8927620E+000
 2.6590622E+000, 8.2359721E+001, 2.8723353E+000
 2.6863320E+000, 8.0945928E+001, 2.8507597E+000
 2.7136018E+000, 7.9674471E+001, 2.8301531E+000
 2.7408717E+000, 7.8588996E+001, 2.8091814E+000
 2.7681415E+000, 7.7576739E+001, 2.7898718E+000
 2.7954113E+000, 7.6594665E+001, 2.7734039E+000
 2.8226811E+000, 7.5475671E+001, 2.7524330E+000
 2.8499509E+000, 7.4513004E+001, 2.7423265E+000
 2.8772207E+000, 7.3418945E+001, 2.7163599E+000
 2.9044906E+000, 7.2617109E+001, 2.7071948E+000
 2.9317604E+000, 7.1652814E+001, 2.6774745E+000
 2.9590302E+000, 7.0965241E+001, 2.6559179E+000
NaN,NaN,NaN
