s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-5.082E-21,-2.050E-03, 5.530E-05, 1.195E+00
 1.054E+00, 4.771E-01, 4.781E-01, 5.044E-05, 1.195E+00
 2.009E+00, 1.287E+00, 1.303E+00, 1.068E-04, 1.195E+00
 3.016E+00, 2.068E+00, 2.115E+00, 1.977E-04, 1.195E+00
 4.002E+00, 2.841E+00, 2.913E+00, 9.678E-04, 1.195E+00
 5.007E+00, 3.585E+00, 3.854E+00, 2.932E-03, 1.195E+00
 6.002E+00, 4.297E+00, 4.553E+00, 3.415E-03, 1.195E+00
 7.004E+00, 4.967E+00, 5.550E+00, 3.470E-03, 1.195E+00
 8.003E+00, 5.597E+00, 6.379E+00, 4.396E-03, 1.195E+00
 9.001E+00, 6.184E+00, 7.299E+00, 4.528E-03, 1.195E+00
 1.000E+01, 6.729E+00, 7.565E+00, 4.251E-03, 1.195E+00
 1.100E+01, 7.227E+00, 8.204E+00, 3.754E-03, 1.195E+00
 1.200E+01, 7.680E+00, 8.607E+00, 4.584E-03, 1.195E+00
 1.300E+01, 8.089E+00, 9.158E+00, 4.592E-03, 1.195E+00
 1.400E+01, 8.461E+00, 9.722E+00, 4.584E-03, 1.195E+00
 1.500E+01, 8.793E+00, 1.015E+01, 5.105E-03, 1.195E+00
 1.600E+01, 9.090E+00, 1.043E+01, 4.825E-03, 1.195E+00
 1.700E+01, 9.357E+00, 1.092E+01, 5.491E-03, 1.195E+00
 1.800E+01, 9.596E+00, 1.126E+01, 6.166E-03, 1.195E+00
 1.900E+01, 9.806E+00, 1.180E+01, 8.170E-03, 1.195E+00
 2.000E+01, 9.991E+00, 1.192E+01, 7.107E-03, 1.195E+00
 2.100E+01, 1.016E+01, 1.197E+01, 7.025E-03, 1.195E+00
 2.200E+01, 1.031E+01, 1.176E+01, 6.529E-03, 1.195E+00
 2.300E+01, 1.043E+01, 1.186E+01, 7.425E-03, 1.195E+00
 2.400E+01, 1.054E+01, 1.200E+01, 5.354E-03, 1.195E+00
 2.500E+01, 1.064E+01, 1.248E+01, 7.424E-03, 1.195E+00
 2.600E+01, 1.072E+01, 1.249E+01, 7.483E-03, 1.195E+00
 2.700E+01, 1.080E+01, 1.249E+01, 7.976E-03, 1.195E+00
 2.800E+01, 1.087E+01, 1.276E+01, 7.231E-03, 1.195E+00
 2.900E+01, 1.094E+01, 1.258E+01, 6.635E-03, 1.195E+00
 3.000E+01, 1.100E+01, 1.287E+01, 8.657E-03, 1.195E+00
 3.100E+01, 1.104E+01, 1.233E+01, 6.439E-03, 1.195E+00
 3.200E+01, 1.108E+01, 1.265E+01, 8.514E-03, 1.195E+00
 3.300E+01, 1.111E+01, 1.277E+01, 8.779E-03, 1.195E+00
 3.400E+01, 1.113E+01, 1.293E+01, 7.945E-03, 1.195E+00
 3.500E+01, 1.116E+01, 1.270E+01, 7.913E-03, 1.195E+00
 3.600E+01, 1.118E+01, 1.295E+01, 7.182E-03, 1.195E+00
 3.700E+01, 1.119E+01, 1.280E+01, 7.504E-03, 1.195E+00
 3.800E+01, 1.121E+01, 1.305E+01, 6.902E-03, 1.195E+00
 3.900E+01, 1.123E+01, 1.342E+01, 7.993E-03, 1.195E+00
