m,Pa
p-x,p
 1.0000000E+000, 2.3500793E+001
 1.9987500E+000, 2.3500793E+001
 2.9975000E+000, 2.3484146E+001
 3.9962500E+000, 2.3484146E+001
 4.9950000E+000, 2.3462160E+001
 5.9937500E+000, 2.3462160E+001
 6.9925000E+000, 2.3438362E+001
 7.9912500E+000, 2.3438362E+001
 8.9900000E+000, 2.3414087E+001
 9.9887500E+000, 2.3414087E+001
 1.0987500E+001, 2.3389684E+001
 1.1986250E+001, 2.3389684E+001
 1.2985000E+001, 2.3365185E+001
 1.3983750E+001, 2.3365185E+001
 1.4982500E+001, 2.3340641E+001
 1.5981250E+001, 2.3340641E+001
 1.6980000E+001, 2.3316162E+001
 1.7978750E+001, 2.3316162E+001
 1.8977500E+001, 2.3291836E+001
 1.9976250E+001, 2.3291836E+001
 2.0975000E+001, 2.3267674E+001
 2.1973750E+001, 2.3267674E+001
 2.2972500E+001, 2.3243639E+001
 2.3971250E+001, 2.3243639E+001
 2.4970000E+001, 2.3219719E+001
 2.5968750E+001, 2.3219719E+001
 2.6967500E+001, 2.3195939E+001
 2.7966250E+001, 2.3195939E+001
 2.8965000E+001, 2.3172334E+001
 2.9963750E+001, 2.3172334E+001
 3.0962500E+001, 2.3148912E+001
 3.1961250E+001, 2.3148912E+001
 3.2960000E+001, 2.3125661E+001
 3.3958750E+001, 2.3125661E+001
 3.4957500E+001, 2.3102564E+001
 3.5956250E+001, 2.3102564E+001
 3.6955000E+001, 2.3079637E+001
 3.7953750E+001, 2.3079637E+001
 3.8952500E+001, 2.3056898E+001
 3.9951250E+001, 2.3056898E+001
 4.0950000E+001, 2.3034370E+001
 4.1948750E+001, 2.3034370E+001
 4.2947500E+001, 2.3012053E+001
 4.3946250E+001, 2.3012053E+001
 4.4945000E+001, 2.2989974E+001
 4.5943750E+001, 2.2989974E+001
 4.6942500E+001, 2.2968145E+001
 4.7941250E+001, 2.2968145E+001
 4.8940000E+001, 2.2946564E+001
 4.9938750E+001, 2.2946564E+001
 5.0937500E+001, 2.2925210E+001
 5.1936250E+001, 2.2925210E+001
 5.2935000E+001, 2.2904104E+001
 5.3933750E+001, 2.2904104E+001
 5.4932500E+001, 2.2883208E+001
 5.5931250E+001, 2.2883208E+001
 5.6930000E+001, 2.2862497E+001
 5.7928750E+001, 2.2862497E+001
 5.8927500E+001, 2.2841954E+001
 5.9926250E+001, 2.2841954E+001
 6.0925000E+001, 2.2821589E+001
 6.1923750E+001, 2.2821589E+001
 6.2922500E+001, 2.2801356E+001
 6.3921250E+001, 2.2801356E+001
 6.4920000E+001, 2.2781246E+001
 6.5918750E+001, 2.2781246E+001
 6.6917500E+001, 2.2761254E+001
 6.7916250E+001, 2.2761254E+001
 6.8915000E+001, 2.2741383E+001
 6.9913750E+001, 2.2741383E+001
 7.0912500E+001, 2.2721591E+001
 7.1911250E+001, 2.2721591E+001
 7.2910000E+001, 2.2701894E+001
 7.3908750E+001, 2.2701894E+001
 7.4907500E+001, 2.2682324E+001
 7.5906250E+001, 2.2682324E+001
 7.6905000E+001, 2.2662903E+001
 7.7903750E+001, 2.2662903E+001
 7.8902500E+001, 2.2643621E+001
 7.9901250E+001, 2.2643621E+001
 8.0900000E+001, 2.2624510E+001
 8.1898750E+001, 2.2624510E+001
 8.2897500E+001, 2.2605562E+001
 8.3896250E+001, 2.2605562E+001
 8.4895000E+001, 2.2586793E+001
 8.5893750E+001, 2.2586793E+001
 8.6892500E+001, 2.2568222E+001
 8.7891250E+001, 2.2568222E+001
 8.8890000E+001, 2.2549862E+001
 8.9888750E+001, 2.2549862E+001
 9.0887500E+001, 2.2531659E+001
 9.1886250E+001, 2.2531659E+001
 9.2885000E+001, 2.2513605E+001
 9.3883750E+001, 2.2513605E+001
 9.4882500E+001, 2.2495722E+001
 9.5881250E+001, 2.2495722E+001
 9.6880000E+001, 2.2478056E+001
 9.7878750E+001, 2.2478056E+001
 9.8877500E+001, 2.2460543E+001
 9.9876250E+001, 2.2460543E+001
 1.0087500E+002, 2.2443121E+001
 1.0187375E+002, 2.2443121E+001
 1.0287250E+002, 2.2425818E+001
 1.0387125E+002, 2.2425818E+001
 1.0487000E+002, 2.2408694E+001
 1.0586875E+002, 2.2408694E+001
 1.0686750E+002, 2.2391675E+001
 1.0786625E+002, 2.2391675E+001
 1.0886500E+002, 2.2374760E+001
 1.0986375E+002, 2.2374760E+001
 1.1086250E+002, 2.2358042E+001
 1.1186125E+002, 2.2358042E+001
 1.1286000E+002, 2.2341556E+001
 1.1385875E+002, 2.2341556E+001
 1.1485750E+002, 2.2325166E+001
 1.1585625E+002, 2.2325166E+001
 1.1685500E+002, 2.2308854E+001
 1.1785375E+002, 2.2308854E+001
 1.1885250E+002, 2.2292698E+001
 1.1985125E+002, 2.2292698E+001
 1.2085000E+002, 2.2276757E+001
 1.2184875E+002, 2.2276757E+001
 1.2284750E+002, 2.2260968E+001
 1.2384625E+002, 2.2260968E+001
 1.2484500E+002, 2.2245272E+001
 1.2584375E+002, 2.2245272E+001
 1.2684250E+002, 2.2229680E+001
 1.2784125E+002, 2.2229680E+001
 1.2884000E+002, 2.2214264E+001
 1.2983875E+002, 2.2214264E+001
 1.3083750E+002, 2.2199025E+001
 1.3183625E+002, 2.2199025E+001
 1.3283500E+002, 2.2183943E+001
 1.3383375E+002, 2.2183943E+001
 1.3483250E+002, 2.2168954E+001
 1.3583125E+002, 2.2168954E+001
 1.3683000E+002, 2.2154058E+001
 1.3782875E+002, 2.2154058E+001
 1.3882750E+002, 2.2139210E+001
 1.3982625E+002, 2.2139210E+001
 1.4082500E+002, 2.2124432E+001
 1.4182375E+002, 2.2124432E+001
 1.4282250E+002, 2.2109741E+001
