s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,"Time2","Sensor 1 Total","Sensor 2 Total","Sensor 3 Total","Sensor 4 Total","V Sensor 1","V Sensor 2","V Sensor 3","V Sensor 4","Sensor 1","Sensor 2","Sensor 3","Sensor 4","Inlet MF","Test Inlet MF","Test Mid MF","Test Outlet MF","Outlet MF"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7818752E-029,-2.0889037E-027, 0.0000000E+000, 0.0000000E+000
 1.0001022E+000, 5.0034697E-001, 6.2774543E-002, 5.9114290E-002, 5.9112127E-002, 5.9117729E-002, 1.9566269E-001, 1.8413878E-001, 1.8413207E-001, 1.8415013E-001, 1.2678698E-005, 1.2450677E-005, 1.2451511E-005, 1.2452876E-005, 1.2033625E-009, 1.1791241E-009, 1.3470729E-009, 1.5220938E-009,-1.5239150E-009
 2.0000084E+000, 1.5001287E+000, 6.9473353E-002, 6.7749046E-002, 6.6921987E-002, 6.6829469E-002, 2.6472186E-001, 2.6167054E-001, 2.5920588E-001, 2.5877969E-001, 3.8750689E-005, 3.7709598E-005, 3.7539911E-005, 3.7538055E-005, 2.4707034E-009, 2.4672210E-009, 2.5143505E-009, 2.6112447E-009,-2.6851575E-009
 3.0000895E+000, 2.5001146E+000, 7.8380588E-002, 7.2554399E-002, 7.0272240E-002, 6.9651091E-002, 2.9926728E-001, 2.8345809E-001, 2.7797692E-001, 2.7753402E-001, 7.0518580E-005, 6.7573872E-005, 6.6795528E-005, 6.6673061E-005, 2.7287320E-009, 2.7340675E-009, 2.6357908E-009, 2.6444813E-009,-2.7496720E-009
 4.0000392E+000, 3.5001300E+000, 7.5833983E-002, 7.3000077E-002, 7.0390271E-002, 6.8970298E-002, 2.8926337E-001, 2.8677559E-001, 2.8270532E-001, 2.8061447E-001, 1.0342287E-004, 9.8528200E-005, 9.6552820E-005, 9.6006550E-005, 2.7662433E-009, 2.7917860E-009, 2.6487530E-009, 2.5865790E-009,-2.6999105E-009
 5.0001203E+000, 4.5001455E+000, 7.2750218E-002, 7.1903456E-002, 7.0151418E-002, 6.8330634E-002, 2.7714238E-001, 2.8094399E-001, 2.8254821E-001, 2.8133297E-001, 1.3540169E-004, 1.2924769E-004, 1.2621996E-004, 1.2502243E-004, 2.7713712E-009, 2.7925041E-009, 2.6478868E-009, 2.5365830E-009,-2.6277942E-009
 6.0000700E+000, 5.5001609E+000, 7.4832945E-002, 7.2562258E-002, 7.0075807E-002, 6.8170692E-002, 2.8566844E-001, 2.8254078E-001, 2.8019632E-001, 2.8085040E-001, 1.6714517E-004, 1.5962498E-004, 1.5581855E-004, 1.5385722E-004, 2.7720661E-009, 2.7856542E-009, 2.6413652E-009, 2.5100877E-009,-2.5665167E-009
 7.0000197E+000, 6.5001106E+000, 7.8701734E-002, 7.2780806E-002, 7.0372476E-002, 6.8592400E-002, 3.0073588E-001, 2.8450556E-001, 2.8190945E-001, 2.8113503E-001, 1.9975035E-004, 1.9049329E-004, 1.8555022E-004, 1.8277709E-004, 2.7721602E-009, 2.7757246E-009, 2.6331659E-009, 2.4979079E-009,-2.5285471E-009
 8.0001009E+000, 7.5001260E+000, 7.6819728E-002, 7.2404768E-002, 7.0302190E-002, 6.8347676E-002, 2.9321489E-001, 2.8305715E-001, 2.8235470E-001, 2.8114663E-001, 2.3260975E-004, 2.2138432E-004, 2.1528763E-004, 2.1172820E-004, 2.7721729E-009, 2.7757668E-009, 2.6271455E-009, 2.4935613E-009,-2.5140559E-009
 9.0000506E+000, 8.5001414E+000, 7.6625838E-002, 7.2481200E-002, 7.0250655E-002, 6.8241221E-002, 2.9284095E-001, 2.8250256E-001, 2.8171061E-001, 2.8111051E-001, 2.6500483E-004, 2.5203294E-004, 2.4497680E-004, 2.4060985E-004, 2.7721746E-009, 2.7729716E-009, 2.6245383E-009, 2.4894322E-009,-2.5053920E-009
 1.0000000E+001, 9.5000911E+000, 8.0244381E-002, 7.4150498E-002, 7.0407716E-002, 6.8391654E-002, 3.0732330E-001, 2.9111382E-001, 2.8229472E-001, 2.8111894E-001, 2.9926110E-004, 2.8296611E-004, 2.7468751E-004, 2.6948893E-004, 2.7721749E-009, 2.7706007E-009, 2.6225646E-009, 2.4852400E-009,-2.4961330E-009
 1.1000081E+001, 1.0500107E+001, 8.0260776E-002, 7.3630309E-002, 7.0153948E-002, 6.8301193E-002, 3.0717710E-001, 2.8913254E-001, 2.8321726E-001, 2.8147182E-001, 3.3328110E-004, 3.1414904E-004, 3.0443020E-004, 2.9839574E-004, 2.7721749E-009, 2.7694928E-009, 2.6198566E-009, 2.4829178E-009,-2.4902070E-009
 1.2000031E+001, 1.1500122E+001, 8.4051207E-002, 7.3747645E-002, 7.0061676E-002, 6.8095775E-002, 3.2211692E-001, 2.9034593E-001, 2.8284988E-001, 2.8139759E-001, 3.6786390E-004, 3.4534970E-004, 3.3408233E-004, 3.2720954E-004, 2.7721749E-009, 2.7677250E-009, 2.6189455E-009, 2.4803544E-009,-2.4864846E-009
 1.3000112E+001, 1.2500137E+001, 8.2906919E-002, 7.3891584E-002, 7.0064303E-002, 6.8022276E-002, 3.1764227E-001, 2.9139001E-001, 2.8317015E-001, 2.8156023E-001, 4.0297123E-004, 3.7658920E-004, 3.6371129E-004, 3.5598441E-004, 2.7721749E-009, 2.7653645E-009, 2.6166721E-009, 2.4777306E-009,-2.4799735E-009
 1.4000062E+001, 1.3500153E+001, 8.3787414E-002, 7.4233260E-002, 6.9954411E-002, 6.7923494E-002, 3.2133418E-001, 2.9353191E-001, 2.8332858E-001, 2.8153546E-001, 4.3889698E-004, 4.0787825E-004, 3.9332190E-004, 3.8471858E-004, 2.7721749E-009, 2.7658865E-009, 2.6159065E-009, 2.4774022E-009,-2.4775711E-009
 1.5000012E+001, 1.4500103E+001, 8.3734826E-002, 7.4223686E-002, 6.9989684E-002, 6.7835031E-002, 3.2090104E-001, 2.9393707E-001, 2.8398970E-001, 2.8155283E-001, 4.7452819E-004, 4.3920782E-004, 4.2289491E-004, 4.1341627E-004, 2.7721749E-009, 2.7671960E-009, 2.6161070E-009, 2.4777721E-009,-2.4773690E-009
 1.6000093E+001, 1.4500103E+001, 6.3657951E-002, 5.6121587E-002, 5.3158868E-002, 5.1594682E-002, 3.1496034E-001, 2.9122039E-001, 2.8334111E-001, 2.8171140E-001, 5.0989548E-004, 4.7038801E-004, 4.5242908E-004, 4.4208141E-004, 2.7721749E-009, 2.7681805E-009, 2.6154197E-009, 2.4782666E-009,-2.4775352E-009
