s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,"Time2","Sensor 1 Total","Sensor 2 Total","Sensor 3 Total","Sensor 4 Total","V Sensor 1","V Sensor 2","V Sensor 3","V Sensor 4","Sensor 1","Sensor 2","Sensor 3","Sensor 4","Inlet MF","Test Inlet MF","Test Mid MF","Test Outlet MF","Outlet MF"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0097420E-027, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0001277E+000, 5.0029728E-001, 1.1381924E-001, 1.0396704E-001, 1.0396304E-001, 1.0397260E-001, 4.4478257E-001, 4.0530869E-001, 4.0529282E-001, 4.0533313E-001, 2.5623488E-005, 2.4646367E-005, 2.4647444E-005, 2.4651069E-005, 1.2466347E-009, 1.1989372E-009, 1.5734220E-009, 1.9460747E-009,-1.9638418E-009
 2.0000158E+000, 1.5001320E+000, 1.4160174E-001, 1.3646114E-001, 1.3397073E-001, 1.3346537E-001, 6.0801079E-001, 6.0783688E-001, 6.0633101E-001, 6.0258124E-001, 8.4261032E-005, 8.1480697E-005, 8.0816615E-005, 8.0775944E-005, 2.5598401E-009, 2.5532066E-009, 2.6008282E-009, 2.7724868E-009,-2.9470071E-009
 3.0000995E+000, 2.5001167E+000, 1.6017150E-001, 1.4359577E-001, 1.3651495E-001, 1.3307270E-001, 6.9271359E-001, 6.5849666E-001, 6.4743685E-001, 6.4494666E-001, 1.5692029E-004, 1.4791618E-004, 1.4484792E-004, 1.4402187E-004, 2.8271743E-009, 2.8351890E-009, 2.5879744E-009, 2.5646648E-009,-2.8089094E-009
 4.0000651E+000, 3.5001414E+000, 1.5126409E-001, 1.4274762E-001, 1.3381535E-001, 1.2864331E-001, 6.4921561E-001, 6.5327946E-001, 6.5189322E-001, 6.5188137E-001, 2.2887863E-004, 2.1523585E-004, 2.0845393E-004, 2.0555003E-004, 2.8660389E-009, 2.9274036E-009, 2.6027486E-009, 2.4188502E-009,-2.6625085E-009
 5.0000308E+000, 4.5001070E+000, 1.6510480E-001, 1.4423189E-001, 1.3427598E-001, 1.2727306E-001, 7.1522708E-001, 6.6699306E-001, 6.5523997E-001, 6.5247422E-001, 3.0279959E-004, 2.8280436E-004, 2.7162083E-004, 2.6553861E-004, 2.8713516E-009, 2.9174852E-009, 2.6075382E-009, 2.3325506E-009,-2.4893468E-009
 6.0001145E+000, 5.5001317E+000, 1.6178166E-001, 1.4386608E-001, 1.3316180E-001, 1.2634194E-001, 7.0008002E-001, 6.7146484E-001, 6.5720758E-001, 6.5253548E-001, 3.8049409E-004, 3.5073085E-004, 3.3456460E-004, 3.2516163E-004, 2.8720717E-009, 2.8893931E-009, 2.5817373E-009, 2.2939139E-009,-2.3702779E-009
 7.0000801E+000, 6.5001563E+000, 1.6923567E-001, 1.4504287E-001, 1.3301054E-001, 1.2528570E-001, 7.3639444E-001, 6.7777105E-001, 6.5536063E-001, 6.5266549E-001, 4.5809504E-004, 4.1841124E-004, 3.9709148E-004, 3.8431183E-004, 2.8721692E-009, 2.8900446E-009, 2.5648585E-009, 2.2857113E-009,-2.3277936E-009
 8.0000458E+000, 7.5001220E+000, 1.6840129E-001, 1.4386621E-001, 1.3233477E-001, 1.2519919E-001, 7.3215757E-001, 6.7694166E-001, 6.5812813E-001, 6.5292422E-001, 5.3702565E-004, 4.8636166E-004, 4.5959697E-004, 4.4328539E-004, 2.8721823E-009, 2.8726493E-009, 2.5583077E-009, 2.2667710E-009,-2.2971496E-009
 9.0000114E+000, 8.5000876E+000, 1.6676356E-001, 1.4395713E-001, 1.3206931E-001, 1.2439888E-001, 7.2510549E-001, 6.7485617E-001, 6.5728960E-001, 6.5294190E-001, 6.1524217E-004, 5.5403483E-004, 5.2174047E-004, 5.0198044E-004, 2.8721841E-009, 2.8734507E-009, 2.5431078E-009, 2.2619848E-009,-2.2814768E-009
 1.0000095E+001, 9.5001123E+000, 1.6774255E-001, 1.4407310E-001, 1.3219945E-001, 1.2445878E-001, 7.3006825E-001, 6.7682729E-001, 6.5774473E-001, 6.5293482E-001, 6.9397153E-004, 6.2184594E-004, 5.8393311E-004, 5.6052244E-004, 2.8721844E-009, 2.8688623E-009, 2.5420772E-009, 2.2517665E-009,-2.2692142E-009
 1.1000061E+001, 1.0500137E+001, 1.6874854E-001, 1.4419584E-001, 1.3205989E-001, 1.2435635E-001, 7.3530144E-001, 6.7806444E-001, 6.5779224E-001, 6.5299251E-001, 7.7300925E-004, 6.8962399E-004, 6.4608708E-004, 6.1906167E-004, 2.8721844E-009, 2.8664764E-009, 2.5380897E-009, 2.2472714E-009,-2.2588442E-009
 1.2000026E+001, 1.1500103E+001, 1.7019526E-001, 1.4407140E-001, 1.3191725E-001, 1.2425409E-001, 7.4218776E-001, 6.7875413E-001, 6.5793715E-001, 6.5298653E-001, 8.5246970E-004, 7.5741167E-004, 7.0818880E-004, 6.7754671E-004, 2.8721844E-009, 2.8650346E-009, 2.5365580E-009, 2.2446463E-009,-2.2534415E-009
 1.3000110E+001, 1.2500127E+001, 1.6960431E-001, 1.4392637E-001, 1.3174951E-001, 1.2410619E-001, 7.3953478E-001, 6.7856099E-001, 6.5800767E-001, 6.5303457E-001, 9.3205704E-004, 8.2516802E-004, 7.7022347E-004, 7.3598375E-004, 2.8721844E-009, 2.8644318E-009, 2.5349241E-009, 2.2432830E-009,-2.2494998E-009
 1.4000076E+001, 1.3500152E+001, 1.6998411E-001, 1.4390037E-001, 1.3169157E-001, 1.2400361E-001, 7.4129469E-001, 6.7864935E-001, 6.5804697E-001, 6.5305103E-001, 1.0116977E-003, 8.9289537E-004, 8.3219849E-004, 7.9434937E-004, 2.8721844E-009, 2.8642246E-009, 2.5339239E-009, 2.2421609E-009,-2.2470530E-009
 1.5000041E+001, 1.4500118E+001, 1.6976269E-001, 1.4390949E-001, 1.3166514E-001, 1.2396077E-001, 7.4035529E-001, 6.7885039E-001, 6.5807852E-001, 6.5305208E-001, 1.0913906E-003, 9.6061627E-004, 8.9415370E-004, 8.5268198E-004, 2.8721844E-009, 2.8640754E-009, 2.5335726E-009, 2.2412207E-009,-2.2452177E-009
 1.6000007E+001, 1.4500118E+001, 1.4352708E-001, 1.2189602E-001, 1.1150406E-001, 1.0497653E-001, 7.4080562E-001, 6.7885504E-001, 6.5807407E-001, 6.5304929E-001, 1.1711237E-003, 1.0283327E-003, 9.5609715E-004, 9.1099922E-004, 2.8721844E-009, 2.8639724E-009, 2.5333454E-009, 2.2407414E-009,-2.2440532E-009
 1.7000091E+001, 1.4500118E+001, 1.4354987E-001, 1.2189307E-001, 1.1149643E-001, 1.0496734E-001, 7.4085493E-001, 6.7891196E-001, 6.5809541E-001, 6.5305605E-001, 1.2508929E-003, 1.0960551E-003, 1.0180406E-003, 9.6931419E-004, 2.8721844E-009, 2.8639448E-009, 2.5332396E-009, 2.2405008E-009,-2.2433910E-009
 1.8000056E+001, 1.4500118E+001, 1.4357454E-001, 1.2189047E-001, 1.1149040E-001, 1.0496065E-001, 7.3957922E-001, 6.7901008E-001, 6.5810606E-001, 6.5305807E-001, 1.3306812E-003, 1.1637668E-003, 1.0799708E-003, 1.0276162E-003, 2.8721844E-009, 2.8639021E-009, 2.5331653E-009, 2.2403747E-009,-2.2429795E-009
 1.9000022E+001, 1.4500118E+001, 1.4359138E-001, 1.2188839E-001, 1.1148555E-001, 1.0495530E-001, 7.4125502E-001, 6.7904228E-001, 6.5810839E-001, 6.5305790E-001, 1.4104795E-003, 1.2314768E-003, 1.1418971E-003, 1.0859138E-003, 2.8721844E-009, 2.8639136E-009, 2.5331239E-009, 2.2403049E-009,-2.2427418E-009
 2.0000106E+001, 1.4500118E+001, 1.4360680E-001, 1.2188675E-001, 1.1148165E-001, 1.0495096E-001, 7.3875101E-001, 6.7908455E-001, 6.5811464E-001, 6.5306001E-001, 1.4903020E-003, 1.2991937E-003, 1.2038278E-003, 1.1442151E-003, 2.8721844E-009, 2.8639010E-009, 2.5331083E-009, 2.2402701E-009,-2.2426040E-009
 2.1000071E+001, 1.4500118E+001, 1.4361847E-001, 1.2188537E-001, 1.1147846E-001, 1.0494744E-001, 7.4134656E-001, 6.7912478E-001, 6.5811654E-001, 6.5306021E-001, 1.5701197E-003, 1.3669016E-003, 1.2657493E-003, 1.2025075E-003, 2.8721844E-009, 2.8639116E-009, 2.5330839E-009, 2.2402338E-009,-2.2425032E-009
 2.2000037E+001, 1.4500118E+001, 1.4362850E-001, 1.2188424E-001, 1.1147589E-001, 1.0494457E-001, 7.3838481E-001, 6.7914846E-001, 6.5811770E-001, 6.5306052E-001, 1.6499441E-003, 1.4346090E-003, 1.3276696E-003, 1.2607984E-003, 2.8721844E-009, 2.8639122E-009, 2.5330962E-009, 2.2402375E-009,-2.2424737E-009
