s,kg,kg,kg,kg,,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,solid mass,small roundwood,medium roundwood,large roundwood,total mlr,HF1,HF2,HF3,HF4,HF6,HF8,HF9,HF10,HF12,HF13,HF14,HF15,HF16
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011,-4.6638320E-011
 1.0100750E+000, 1.4196497E+001, 4.0262974E+000, 2.8393739E+000, 2.6066398E+000, 1.8394182E-002, 9.5391874E+001, 7.0582605E-001, 1.7633324E-002, 3.9431181E-001, 5.9081201E-002, 8.8200633E-003, 2.7381384E-005, 1.4318682E-005, 9.0090739E-002, 4.5806993E-002, 1.6631173E-002, 5.0077849E-005, 6.5607562E-006
 2.0069468E+000, 1.4181861E+001, 4.0243036E+000, 2.8390278E+000, 2.6064314E+000, 9.5111924E-002, 1.4864876E+002, 1.0848574E+000, 1.3409501E-001, 2.9195156E+000, 7.3889811E-001, 1.8334745E-001, 2.4056839E-002, 7.9943005E-003, 7.2149753E-001, 4.8445558E-001, 2.4299408E-001, 4.0968506E-002, 1.8955594E-002
 3.0059936E+000, 1.4122850E+001, 4.0164494E+000, 2.8381390E+000, 2.6059772E+000, 9.9276243E-002, 1.8552486E+002, 1.5603379E+000, 2.1701681E-001, 4.2603395E+000, 1.2605861E+000, 3.2669869E-001, 8.7446151E-002, 2.7540156E-002, 1.1497879E+000, 8.2192264E-001, 3.9717449E-001, 1.4541123E-001, 6.9137761E-002
 4.0101724E+000, 1.4033301E+001, 3.9990403E+000, 2.8363911E+000, 2.6051494E+000, 1.7995584E-001, 1.8471243E+002, 1.6202841E+000, 2.8768816E-001, 4.9633341E+000, 1.6886644E+000, 5.4100276E-001, 1.5821724E-001, 4.9195815E-002, 1.3951374E+000, 1.0655193E+000, 5.5084318E-001, 2.3131015E-001, 1.0558616E-001
 5.0125911E+000, 1.3866130E+001, 3.9766630E+000, 2.8330611E+000, 2.6037971E+000, 3.4773396E-001, 1.9075986E+002, 2.0009183E+000, 3.8159232E-001, 5.6380740E+000, 2.2280983E+000, 7.3701578E-001, 2.2334734E-001, 6.9534636E-002, 1.6772009E+000, 1.3597914E+000, 6.9878383E-001, 2.8399793E-001, 1.3120664E-001
 6.0062518E+000, 1.3568869E+001, 3.9287993E+000, 2.8276689E+000, 2.6015499E+000, 5.6068829E-001, 2.0061409E+002, 2.6012532E+000, 6.4478311E-001, 7.1138653E+000, 3.6223154E+000, 1.5937845E+000, 6.6491921E-001, 2.6624903E-001, 2.3663987E+000, 2.1248805E+000, 1.2167162E+000, 5.6276541E-001, 2.7661555E-001
 7.0066861E+000, 1.3104342E+001, 3.8415223E+000, 2.8182735E+000, 2.5975546E+000, 8.1680854E-001, 2.1599401E+002, 3.5650151E+000, 1.0949281E+000, 9.4735633E+000, 5.9354118E+000, 2.9424187E+000, 1.9837106E+000, 1.6175177E+000, 3.5119460E+000, 3.4463217E+000, 2.1236838E+000, 1.3542240E+000, 8.7704515E-001
 8.0021007E+000, 1.2430779E+001, 3.7079369E+000, 2.8005555E+000, 2.5903180E+000, 1.1226308E+000, 2.3465530E+002, 4.9781516E+000, 1.7352342E+000, 1.2791301E+001, 9.7871474E+000, 4.8019766E+000, 3.3815203E+000, 3.3308462E+000, 5.1696635E+000, 5.4267068E+000, 3.4548636E+000, 2.4230024E+000, 2.0310680E+000
 9.0005645E+000, 1.1541795E+001, 3.5065756E+000, 2.7681561E+000, 2.5773903E+000, 1.4596301E+000, 2.5437572E+002, 6.9760010E+000, 2.8533978E+000, 1.7095862E+001, 1.6056933E+001, 8.8254620E+000, 6.1537096E+000, 5.7276078E+000, 7.4451083E+000, 8.3859689E+000, 5.7696586E+000, 4.2776670E+000, 3.8237126E+000
 1.0000174E+001, 1.0426260E+001, 3.2461428E+000, 2.7138910E+000, 2.5553559E+000, 1.7085316E+000, 2.7035429E+002, 9.8609514E+000, 4.8294556E+000, 2.2061087E+001, 2.5499779E+001, 1.6841912E+001, 1.3516912E+001, 1.3202492E+001, 1.0479554E+001, 1.2865783E+001, 1.0443971E+001, 8.8568105E+000, 8.5788448E+000
 1.1003362E+001, 9.1570986E+000, 2.9198253E+000, 2.6294046E+000, 2.5199471E+000, 1.9237188E+000, 2.8351240E+002, 1.3538904E+001, 7.7648967E+000, 2.8041402E+001, 3.9532395E+001, 3.0241715E+001, 2.3026753E+001, 1.9628214E+001, 1.4464271E+001, 1.9158240E+001, 1.6965804E+001, 1.3983597E+001, 1.2274444E+001
 1.2000152E+001, 7.7493750E+000, 2.5573118E+000, 2.5063763E+000, 2.4660732E+000, 2.2179909E+000, 2.8831733E+002, 1.8812475E+001, 1.1922093E+001, 3.5778392E+001, 5.9909723E+001, 5.0311018E+001, 3.6558702E+001, 3.0091430E+001, 2.0107384E+001, 2.8611317E+001, 2.7185759E+001, 2.1911729E+001, 1.8414413E+001
 1.3001310E+001, 6.2512446E+000, 2.1505550E+000, 2.3444533E+000, 2.3922603E+000, 1.8982675E+000, 2.8506380E+002, 2.5663033E+001, 1.7941565E+001, 4.5155337E+001, 8.6067593E+001, 7.8360138E+001, 5.3671103E+001, 4.2345963E+001, 2.7403171E+001, 4.1001093E+001, 4.0953810E+001, 3.2163708E+001, 2.6173710E+001
 1.4002159E+001, 5.0338949E+000, 1.7345896E+000, 2.1520057E+000, 2.3036211E+000, 1.5651244E+000, 2.7708446E+002, 2.9771773E+001, 2.1364390E+001, 5.2007462E+001, 1.0404516E+002, 9.4947700E+001, 6.0190290E+001, 4.2672284E+001, 3.2594591E+001, 4.9321851E+001, 4.9339142E+001, 3.7196354E+001, 2.8235184E+001
 1.5002984E+001, 4.0737517E+000, 1.4163615E+000, 1.9380849E+000, 2.2074341E+000, 1.3068241E+000, 2.6422965E+002, 3.3870485E+001, 2.4315634E+001, 5.7223516E+001, 1.1507599E+002, 1.0846420E+002, 6.9711301E+001, 4.5426461E+001, 3.6497472E+001, 5.5576230E+001, 5.6077277E+001, 4.2484578E+001, 3.1021069E+001
 1.6000325E+001, 3.2888779E+000, 1.1671671E+000, 1.7243379E+000, 2.1078496E+000, 1.1974868E+000, 2.5158842E+002, 3.6649880E+001, 2.5415954E+001, 5.9928457E+001, 1.1825958E+002, 1.1424493E+002, 7.1829690E+001, 4.4310017E+001, 3.8484145E+001, 5.8379483E+001, 5.8794904E+001, 4.3444032E+001, 2.9956195E+001
 1.7000056E+001, 2.6133022E+000, 9.6422571E-001, 1.5271112E+000, 2.0073667E+000, 1.0138607E+000, 2.4134060E+002, 3.9755803E+001, 2.6480307E+001, 6.3547007E+001, 1.2176920E+002, 1.2262382E+002, 7.7857938E+001, 4.4725833E+001, 4.1111087E+001, 6.1550161E+001, 6.2211811E+001, 4.5796580E+001, 3.0360750E+001
 1.8003049E+001, 2.0567767E+000, 7.8728125E-001, 1.3470292E+000, 1.9082409E+000, 8.2250772E-001, 2.2876045E+002, 3.9097325E+001, 2.4935811E+001, 6.2002549E+001, 1.1368648E+002, 1.1930577E+002, 8.0417399E+001, 4.4801776E+001, 3.9854388E+001, 5.8059859E+001, 5.9429343E+001, 4.5787664E+001, 2.9874724E+001
 1.9001669E+001, 1.6066815E+000, 6.4428021E-001, 1.1841107E+000, 1.8128159E+000, 7.3936010E-001, 2.1610873E+002, 3.7088048E+001, 2.2572168E+001, 5.8451729E+001, 1.0233109E+002, 1.0663674E+002, 7.4811288E+001, 3.9780825E+001, 3.7203047E+001, 5.2378152E+001, 5.2816181E+001, 4.2170742E+001, 2.7131042E+001
 2.0000808E+001, 1.2486094E+000, 5.2563806E-001, 1.0404983E+000, 1.7222206E+000, 5.8855555E-001, 2.0389746E+002, 3.4275757E+001, 1.9480853E+001, 5.2946194E+001, 8.9220304E+001, 9.0165148E+001, 6.4306416E+001, 3.3927829E+001, 3.3181013E+001, 4.5340599E+001, 4.5312485E+001, 3.6437389E+001, 2.3099354E+001
 2.1000323E+001, 9.7372697E-001, 4.2706526E-001, 9.1722578E-001, 1.6382406E+000, 4.6160212E-001, 1.9204065E+002, 2.8858737E+001, 1.6045299E+001, 4.4814480E+001, 7.3022107E+001, 7.4241163E+001, 5.7119142E+001, 3.0005313E+001, 2.7213784E+001, 3.6685690E+001, 3.8240985E+001, 3.1979819E+001, 1.9899871E+001
 2.2002710E+001, 7.6305857E-001, 3.4064215E-001, 8.1400390E-001, 1.5626085E+000, 3.7583432E-001, 1.8158137E+002, 2.2846640E+001, 1.2359957E+001, 3.5598410E+001, 5.6287459E+001, 5.6558101E+001, 4.8070787E+001, 2.8899810E+001, 2.1019126E+001, 2.8479903E+001, 3.0737533E+001, 2.6967793E+001, 1.8262771E+001
 2.3003460E+001, 6.1081696E-001, 2.6466495E-001, 7.3361093E-001, 1.4958545E+000, 2.9354646E-001, 1.7262909E+002, 1.6637378E+001, 8.8268654E+000, 2.6412516E+001, 4.0888174E+001, 4.1442173E+001, 3.7636006E+001, 2.3126517E+001, 1.5164007E+001, 2.1336820E+001, 2.3237427E+001, 2.0185489E+001, 1.4043135E+001
 2.4000614E+001, 5.0290505E-001, 2.0457451E-001, 6.7315776E-001, 1.4367272E+000, 1.9525033E-001, 1.6586006E+002, 1.0426998E+001, 5.4544972E+000, 1.8361341E+001, 2.5595546E+001, 2.7856820E+001, 2.9718994E+001, 1.9815015E+001, 1.0172544E+001, 1.4568371E+001, 1.6146293E+001, 1.4639534E+001, 1.1268185E+001
 2.5001847E+001, 4.4745215E-001, 1.6391845E-001, 6.2375274E-001, 1.3816005E+000, 1.4283560E-001, 1.6113273E+002, 6.2889350E+000, 2.9388052E+000, 1.2277635E+001, 1.4099549E+001, 1.6536467E+001, 2.0406236E+001, 1.5534150E+001, 6.4332646E+000, 8.8395106E+000, 9.8626672E+000, 9.6050177E+000, 8.4774139E+000
 2.6002635E+001, 4.1988200E-001, 1.4040533E-001, 5.8244244E-001, 1.3279312E+000, 1.1083604E-001, 1.5987992E+002, 4.6375197E+000, 2.0830253E+000, 1.0047488E+001, 1.0452992E+001, 1.2003888E+001, 1.4839823E+001, 1.2230567E+001, 5.0395977E+000, 6.7401091E+000, 7.2416376E+000, 7.3416069E+000, 6.8308154E+000
 2.7004210E+001, 4.0490150E-001, 1.2924535E-001, 5.4648972E-001, 1.2769133E+000, 9.1442873E-002, 1.5959448E+002, 4.0419575E+000, 1.6660563E+000, 8.9699417E+000, 8.8983174E+000, 9.5128590E+000, 1.1258661E+001, 9.5971334E+000, 4.2840685E+000, 5.5313874E+000, 5.8463327E+000, 6.0782251E+000, 5.5022570E+000
 2.8002639E+001, 3.9755148E-001, 1.2362565E-001, 5.1474677E-001, 1.2293265E+000, 7.8134758E-002, 1.5962630E+002, 3.8427109E+000, 1.5388191E+000, 8.4875579E+000, 8.3890297E+000, 8.3148435E+000, 8.4335421E+000, 6.9397000E+000, 3.8646842E+000, 4.9386635E+000, 5.1402073E+000, 4.8883580E+000, 4.1135505E+000
 2.9004475E+001, 3.9495712E-001, 1.2058939E-001, 4.8620621E-001, 1.1852922E+000, 6.7943951E-002, 1.5966156E+002, 3.7596854E+000, 1.4741234E+000, 8.3163112E+000, 8.0888526E+000, 7.4748177E+000, 6.8049012E+000, 5.4229506E+000, 3.6292257E+000, 4.6216184E+000, 4.6672302E+000, 4.0867491E+000, 3.3009098E+000
 3.0002998E+001, 3.9462308E-001, 1.1927342E-001, 4.5979298E-001, 1.1451189E+000, 6.1582802E-002, 1.5974862E+002, 3.6765089E+000, 1.4477177E+000, 8.2002528E+000, 7.9253556E+000, 7.1171454E+000, 6.0857077E+000, 4.3849037E+000, 3.4833078E+000, 4.4447949E+000, 4.3681114E+000, 3.6310794E+000, 2.7640478E+000
 3.1003357E+001, 3.9458552E-001, 1.1895508E-001, 4.3462366E-001, 1.1091071E+000, 5.4431964E-002, 1.4778508E+001, 1.7731241E+000, 1.0391487E+000, 3.6283772E+000, 5.0062627E+000, 5.2202362E+000, 4.7059235E+000, 3.3366672E+000, 2.1004571E+000, 2.7765560E+000, 2.9477086E+000, 2.6863638E+000, 2.0528224E+000
 3.2004656E+001, 3.9456398E-001, 1.1891307E-001, 4.1144892E-001, 1.0777508E+000, 4.8055192E-002, 4.4721985E+000, 1.3864529E+000, 7.9204596E-001, 2.2972716E+000, 3.6565824E+000, 3.8303855E+000, 3.4876200E+000, 2.5407110E+000, 1.5015621E+000, 1.9908161E+000, 2.1111024E+000, 1.9444904E+000, 1.5086882E+000
 3.3001239E+001, 3.9455149E-001, 1.1889602E-001, 3.9035607E-001, 1.0508746E+000, 4.2827124E-002, 3.9673108E+000, 1.3239124E+000, 7.4356854E-001, 2.1565025E+000, 3.4515498E+000, 3.5115168E+000, 2.9770472E+000, 1.9954695E+000, 1.3713873E+000, 1.8238520E+000, 1.8928516E+000, 1.6508341E+000, 1.2086728E+000
 3.4006108E+001, 3.9454330E-001, 1.1888489E-001, 3.7112781E-001, 1.0272988E+000, 3.7959855E-002, 3.3817812E+000, 1.2374967E+000, 6.9855897E-001, 2.0076519E+000, 3.2094897E+000, 3.2364464E+000, 2.7165270E+000, 1.7464414E+000, 1.2611846E+000, 1.6847935E+000, 1.7353807E+000, 1.4899631E+000, 1.0605170E+000
 3.5002604E+001, 3.9453742E-001, 1.1887721E-001, 3.5367001E-001, 1.0067407E+000, 3.3773132E-002, 2.9655117E+000, 1.1457544E+000, 6.3995241E-001, 1.8739586E+000, 2.9711572E+000, 2.9657459E+000, 2.4170757E+000, 1.5209756E+000, 1.1620381E+000, 1.5470939E+000, 1.5769431E+000, 1.3305408E+000, 9.3041394E-001
 3.6000721E+001, 3.9453287E-001, 1.1887164E-001, 3.3790656E-001, 9.8877547E-001, 2.9978737E-002, 2.6948921E+000, 1.0707281E+000, 5.8740399E-001, 1.7440105E+000, 2.7425707E+000, 2.6990625E+000, 2.1550085E+000, 1.3094066E+000, 1.0708033E+000, 1.4069264E+000, 1.4064645E+000, 1.1740681E+000, 8.0484609E-001
 3.7004723E+001, 3.9452911E-001, 1.1886741E-001, 3.2386867E-001, 9.7281048E-001, 2.6272959E-002, 2.5278487E+000, 1.0063530E+000, 5.3574212E-001, 1.6272191E+000, 2.5353006E+000, 2.4066714E+000, 1.8938821E+000, 1.1097920E+000, 9.8120775E-001, 1.2774647E+000, 1.2477400E+000, 1.0374939E+000, 6.9796734E-001
 3.8001083E+001, 3.9452589E-001, 1.1886410E-001, 3.1158108E-001, 9.5878082E-001, 2.3000094E-002, 2.3472106E+000, 9.3255462E-001, 4.8161621E-001, 1.5143115E+000, 2.3311422E+000, 2.0964156E+000, 1.6367446E+000, 9.3538819E-001, 8.9588603E-001, 1.1577381E+000, 1.1030058E+000, 9.0686222E-001, 5.9825825E-001
 3.9002558E+001, 3.9452305E-001, 1.1886143E-001, 3.0115327E-001, 9.4627049E-001, 1.9921958E-002, 2.1852915E+000, 8.6262916E-001, 4.2785756E-001, 1.4149400E+000, 2.1559634E+000, 1.8268813E+000, 1.4189956E+000, 7.9487008E-001, 8.1926371E-001, 1.0556007E+000, 9.8095784E-001, 7.8794174E-001, 5.0880591E-001
 4.0004084E+001, 3.9452047E-001, 1.1885921E-001, 2.9244058E-001, 9.3494267E-001, 1.7686214E-002, 2.0683409E+000, 8.0569557E-001, 3.8439994E-001, 1.3266120E+000, 2.0008413E+000, 1.5836373E+000, 1.2114312E+000, 6.6645761E-001, 7.5328155E-001, 9.6629385E-001, 8.6545653E-001, 6.7063454E-001, 4.2802437E-001
 4.1005054E+001, 3.9451809E-001, 1.1885732E-001, 2.8510625E-001, 9.2455977E-001, 1.5677888E-002, 1.9530753E+000, 7.5421973E-001, 3.5028880E-001, 1.2394649E+000, 1.8460206E+000, 1.3793677E+000, 1.0353063E+000, 5.6355111E-001, 6.9736889E-001, 8.8550664E-001, 7.5868335E-001, 5.6758302E-001, 3.6574596E-001
 4.2006894E+001, 3.9451587E-001, 1.1885569E-001, 2.7895695E-001, 9.1498488E-001, 1.4049533E-002, 1.8470390E+000, 7.0288727E-001, 3.2109201E-001, 1.1524813E+000, 1.7025632E+000, 1.2184244E+000, 8.8727463E-001, 4.8606708E-001, 6.4490862E-001, 8.1142396E-001, 6.6630861E-001, 4.8703735E-001, 3.1797147E-001
 4.3004652E+001, 3.9451379E-001, 1.1885426E-001, 2.7382222E-001, 9.0606309E-001, 1.2654765E-002, 1.7521017E+000, 6.6088708E-001, 2.9640184E-001, 1.0749778E+000, 1.5817417E+000, 1.0965558E+000, 7.5032467E-001, 4.1136435E-001, 5.9885401E-001, 7.4613028E-001, 5.9302059E-001, 4.2709127E-001, 2.7761443E-001
 4.4008126E+001, 3.9451180E-001, 1.1885298E-001, 2.6955460E-001, 8.9764361E-001, 1.1542224E-002, 1.6589513E+000, 6.1361644E-001, 2.7326370E-001, 9.9642567E-001, 1.4533433E+000, 9.9659996E-001, 6.4533631E-001, 3.4278095E-001, 5.5640533E-001, 6.8412376E-001, 5.3744912E-001, 3.8624895E-001, 2.4360883E-001
 4.5002806E+001, 3.9450991E-001, 1.1885183E-001, 2.6607335E-001, 8.8958458E-001, 1.0655470E-002, 1.5740163E+000, 5.6911921E-001, 2.5243509E-001, 9.2004992E-001, 1.3379087E+000, 9.1690433E-001, 5.7358648E-001, 2.9693494E-001, 5.1517351E-001, 6.2998391E-001, 4.9649442E-001, 3.5453165E-001, 2.1757624E-001
