s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00, 0.000E+00,-5.510E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.510E-08, 0.000E+00, 0.000E+00
 1.000E+01, 1.191E+02,-4.684E+01, 1.291E+00, 1.225E-01, 1.519E-01, 0.000E+00, 0.000E+00, 0.000E+00, 7.278E+01, 7.380E+01, 2.958E-03, 2.958E-03
 2.000E+01, 3.702E+02,-1.385E+02,-4.569E+00, 6.471E+00, 3.951E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.333E+02, 2.340E+02, 8.835E-03, 8.835E-03
 3.002E+01, 6.126E+02,-2.145E+02,-8.554E+01, 7.307E+00, 5.672E-01, 0.000E+00, 0.000E+00, 0.000E+00, 3.195E+02, 3.205E+02, 1.472E-02, 1.472E-02
 4.001E+01, 8.429E+02,-3.138E+02,-2.296E+02,-6.311E+00, 6.588E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.935E+02, 2.939E+02, 2.061E-02, 2.061E-02
 5.002E+01, 1.019E+03,-4.749E+02,-3.390E+02,-8.237E+00, 5.991E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.984E+02, 1.971E+02, 2.595E-02, 2.595E-02
 6.001E+01, 1.137E+03,-6.128E+02,-3.811E+02, 1.929E+00, 4.005E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.457E+02, 1.451E+02, 2.803E-02, 2.803E-02
 7.001E+01, 1.238E+03,-7.288E+02,-4.114E+02, 4.026E-01, 4.068E-01, 0.000E+00, 0.000E+00, 0.000E+00, 9.990E+01, 9.900E+01, 2.957E-02, 2.957E-02
 8.000E+01, 1.233E+03,-7.750E+02,-3.954E+02, 8.126E+00, 5.127E-01, 0.000E+00, 0.000E+00, 0.000E+00, 7.189E+01, 7.107E+01, 3.112E-02, 3.112E-02
 9.001E+01, 1.041E+03,-6.268E+02,-4.156E+02, 1.627E+01, 6.276E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.636E+01, 1.547E+01, 3.266E-02, 3.266E-02
 1.000E+02, 9.725E+02,-5.399E+02,-4.338E+02, 1.576E+01, 6.579E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.727E+01, 1.526E+01, 3.421E-02, 3.421E-02
 1.100E+02, 1.179E+03,-5.536E+02,-5.705E+02, 1.336E+01, 6.681E-01, 0.000E+00, 0.000E+00, 0.000E+00, 6.881E+01, 6.863E+01, 3.575E-02, 3.575E-02
 1.200E+02, 1.149E+03,-5.281E+02,-6.195E+02, 1.322E+01, 8.235E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.969E+01, 1.580E+01, 3.729E-02, 3.729E-02
 1.300E+02, 1.222E+03,-5.134E+02,-7.012E+02, 1.243E+01, 8.970E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.301E+01, 2.063E+01, 3.860E-02, 3.860E-02
 1.400E+02, 1.253E+03,-5.086E+02,-7.178E+02, 1.546E+01, 8.710E-01, 0.000E+00, 0.000E+00, 0.000E+00, 4.388E+01, 4.307E+01, 3.851E-02, 3.851E-02
 1.500E+02, 1.190E+03,-5.011E+02,-6.899E+02, 1.573E+01, 5.708E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.770E+01, 1.545E+01, 3.818E-02, 3.818E-02
 1.600E+02, 1.355E+03,-5.254E+02,-8.192E+02, 1.932E+01, 4.914E-01, 0.000E+00, 0.000E+00, 0.000E+00, 3.072E+01, 2.976E+01, 3.786E-02, 3.786E-02
 1.700E+02, 1.488E+03,-5.553E+02,-9.598E+02, 1.850E+01, 5.285E-01, 0.000E+00, 0.000E+00, 0.000E+00,-7.843E+00,-8.271E+00, 3.753E-02, 3.753E-02
 1.800E+02, 1.515E+03,-5.522E+02,-9.619E+02, 2.217E+01, 5.109E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.279E+01, 2.368E+01, 3.721E-02, 3.721E-02
 1.900E+02, 1.648E+03,-5.776E+02,-1.081E+03, 2.256E+01, 5.171E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.359E+01, 1.299E+01, 3.688E-02, 3.688E-02
 2.000E+02, 1.488E+03,-5.355E+02,-9.748E+02, 2.255E+01, 4.758E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.786E+00, 1.099E+00, 3.656E-02, 3.656E-02
 2.100E+02, 1.574E+03,-5.596E+02,-1.036E+03, 2.238E+01, 4.635E-01, 0.000E+00, 0.000E+00, 0.000E+00, 3.480E+00, 1.708E+00, 3.623E-02, 3.623E-02
 2.200E+02, 1.582E+03,-5.682E+02,-1.024E+03, 2.039E+01, 4.544E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.091E+01, 1.072E+01, 3.591E-02, 3.591E-02
 2.300E+02, 1.514E+03,-5.436E+02,-1.008E+03, 2.215E+01, 4.828E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.892E+01,-1.531E+01, 3.558E-02, 3.558E-02
 2.400E+02, 1.593E+03,-5.594E+02,-1.054E+03, 2.290E+01, 4.687E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.047E+00, 2.696E+00, 3.525E-02, 3.525E-02
 2.500E+02, 1.506E+03,-5.393E+02,-9.647E+02, 2.029E+01, 4.281E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.294E+01, 2.285E+01, 3.493E-02, 3.493E-02
 2.600E+02, 1.606E+03,-5.644E+02,-1.070E+03, 2.347E+01, 4.326E-01, 0.000E+00, 0.000E+00, 0.000E+00,-3.037E+00,-3.954E+00, 3.460E-02, 3.460E-02
 2.700E+02, 1.603E+03,-5.610E+02,-1.061E+03, 2.508E+01, 4.804E-01, 0.000E+00, 0.000E+00, 0.000E+00, 6.280E+00, 6.706E+00, 3.428E-02, 3.428E-02
 2.800E+02, 1.465E+03,-5.249E+02,-9.805E+02, 2.281E+01, 4.483E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.782E+01,-1.747E+01, 3.395E-02, 3.395E-02
 2.900E+02, 1.590E+03,-5.579E+02,-1.036E+03, 2.393E+01, 4.309E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.154E+01, 2.053E+01, 3.363E-02, 3.363E-02
 3.000E+02, 1.521E+03,-5.325E+02,-1.025E+03, 2.550E+01, 4.185E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.062E+01,-1.067E+01, 3.330E-02, 3.330E-02
 3.100E+02, 1.575E+03,-5.529E+02,-1.051E+03, 2.435E+01, 4.849E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.446E+00,-3.577E+00, 3.298E-02, 3.298E-02
 3.200E+02, 1.445E+03,-5.194E+02,-9.433E+02, 2.557E+01, 4.582E-01, 0.000E+00, 0.000E+00, 0.000E+00, 8.870E+00, 8.229E+00, 3.265E-02, 3.265E-02
 3.300E+02, 1.468E+03,-5.256E+02,-9.557E+02, 2.556E+01, 4.235E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.304E+01, 1.229E+01, 3.233E-02, 3.233E-02
 3.400E+02, 1.526E+03,-5.362E+02,-1.044E+03, 2.564E+01, 4.472E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.766E+01,-2.814E+01, 3.200E-02, 3.200E-02
 3.500E+02, 1.453E+03,-5.168E+02,-9.710E+02, 2.642E+01, 4.585E-01, 0.000E+00, 0.000E+00, 0.000E+00,-6.602E+00,-7.782E+00, 3.206E-02, 3.206E-02
