s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00,-2.942E-05,-5.854E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-2.947E-05, 0.000E+00, 0.000E+00
 1.003E+01, 1.477E+01,-1.717E-01, 2.578E-01,-2.848E-01, 0.000E+00, 0.000E+00,-1.649E-01, 1.416E+01, 1.441E+01, 3.845E-04, 3.845E-04
 2.001E+01, 6.207E+01,-2.461E+00, 1.042E+00,-3.664E+00, 0.000E+00, 0.000E+00,-6.705E-01, 5.624E+01, 5.631E+01, 1.483E-03, 1.483E-03
 3.000E+01, 1.116E+02,-1.034E+01,-2.815E-01,-7.193E+00, 0.000E+00, 0.000E+00,-1.187E+00, 9.264E+01, 9.264E+01, 2.621E-03, 2.621E-03
 4.001E+01, 1.617E+02,-2.401E+01,-9.044E+00,-1.112E+01, 0.000E+00, 0.000E+00,-1.736E+00, 1.158E+02, 1.158E+02, 3.783E-03, 3.783E-03
 5.001E+01, 2.085E+02,-4.031E+01,-2.543E+01,-1.532E+01, 0.000E+00, 0.000E+00,-2.234E+00, 1.253E+02, 1.252E+02, 4.822E-03, 4.822E-03
 6.001E+01, 2.610E+02,-6.551E+01,-4.620E+01,-1.943E+01, 0.000E+00, 0.000E+00,-2.787E+00, 1.273E+02, 1.270E+02, 5.996E-03, 5.996E-03
 7.001E+01, 3.101E+02,-9.730E+01,-7.060E+01,-2.067E+01, 0.000E+00, 0.000E+00,-3.270E+00, 1.185E+02, 1.183E+02, 7.088E-03, 7.088E-03
 8.002E+01, 3.647E+02,-1.446E+02,-9.251E+01,-1.953E+01, 0.000E+00, 0.000E+00,-3.823E+00, 1.043E+02, 1.043E+02, 8.299E-03, 8.299E-03
 9.001E+01, 4.004E+02,-1.876E+02,-1.068E+02,-1.441E+01, 0.000E+00, 0.000E+00,-4.174E+00, 8.736E+01, 8.738E+01, 9.106E-03, 9.106E-03
 1.000E+02, 4.109E+02,-2.136E+02,-1.150E+02,-9.391E+00, 0.000E+00, 0.000E+00,-4.276E+00, 6.860E+01, 6.859E+01, 9.287E-03, 9.287E-03
 1.100E+02, 4.229E+02,-2.324E+02,-1.259E+02,-5.036E+00, 0.000E+00, 0.000E+00,-4.413E+00, 5.488E+01, 5.524E+01, 9.416E-03, 9.416E-03
 1.200E+02, 4.078E+02,-2.374E+02,-1.160E+02,-3.570E+00, 0.000E+00, 0.000E+00,-4.445E+00, 4.602E+01, 4.637E+01, 9.311E-03, 9.311E-03
 1.300E+02, 4.283E+02,-2.500E+02,-1.302E+02,-2.736E+00, 0.000E+00, 0.000E+00,-4.580E+00, 4.019E+01, 4.086E+01, 9.559E-03, 9.559E-03
 1.400E+02, 4.232E+02,-2.512E+02,-1.258E+02,-3.468E+00, 0.000E+00, 0.000E+00,-4.584E+00, 3.787E+01, 3.818E+01, 9.643E-03, 9.643E-03
 1.500E+02, 4.284E+02,-2.577E+02,-1.280E+02,-4.354E+00, 0.000E+00, 0.000E+00,-4.524E+00, 3.286E+01, 3.375E+01, 9.509E-03, 9.509E-03
 1.600E+02, 4.100E+02,-2.565E+02,-1.316E+02,-4.537E+00, 0.000E+00, 0.000E+00,-4.626E+00, 1.257E+01, 1.266E+01, 9.665E-03, 9.665E-03
 1.700E+02, 4.334E+02,-2.712E+02,-1.301E+02,-3.119E+00, 0.000E+00, 0.000E+00,-4.677E+00, 2.433E+01, 2.439E+01, 9.702E-03, 9.702E-03
 1.800E+02, 4.381E+02,-2.783E+02,-1.339E+02,-5.489E-01, 0.000E+00, 0.000E+00,-4.733E+00, 2.039E+01, 2.052E+01, 9.751E-03, 9.751E-03
 1.900E+02, 4.178E+02,-2.713E+02,-1.235E+02,-6.063E-01, 0.000E+00, 0.000E+00,-4.777E+00, 1.736E+01, 1.755E+01, 9.823E-03, 9.823E-03
 2.000E+02, 4.440E+02,-2.811E+02,-1.377E+02,-1.445E+00, 0.000E+00, 0.000E+00,-4.742E+00, 1.906E+01, 1.895E+01, 9.751E-03, 9.751E-03
 2.100E+02, 4.136E+02,-2.705E+02,-1.264E+02,-6.002E-01, 0.000E+00, 0.000E+00,-4.825E+00, 1.144E+01, 1.127E+01, 9.890E-03, 9.890E-03
 2.200E+02, 4.375E+02,-2.830E+02,-1.332E+02, 3.309E-01, 0.000E+00, 0.000E+00,-4.907E+00, 1.688E+01, 1.674E+01, 1.005E-02, 1.005E-02
 2.300E+02, 4.556E+02,-2.936E+02,-1.408E+02,-5.975E-02, 0.000E+00, 0.000E+00,-4.954E+00, 1.607E+01, 1.612E+01, 1.013E-02, 1.013E-02
 2.400E+02, 4.137E+02,-2.696E+02,-1.323E+02, 1.942E+00, 0.000E+00, 0.000E+00,-4.922E+00, 8.818E+00, 8.788E+00, 1.013E-02, 1.013E-02
 2.500E+02, 4.558E+02,-2.867E+02,-1.488E+02, 2.173E+00, 0.000E+00, 0.000E+00,-4.971E+00, 1.734E+01, 1.754E+01, 1.021E-02, 1.021E-02
 2.600E+02, 4.335E+02,-2.802E+02,-1.523E+02, 3.084E+00, 0.000E+00, 0.000E+00,-4.980E+00,-6.548E-01,-9.321E-01, 1.023E-02, 1.023E-02
 2.700E+02, 4.245E+02,-2.715E+02,-1.372E+02, 1.529E+00, 0.000E+00, 0.000E+00,-4.938E+00, 1.258E+01, 1.242E+01, 1.015E-02, 1.015E-02
