s,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"O2Rear","CO2Rear","CORear","UHRear","TRSampPtRh","O2Front","CO2Front","COFront","UHFront","TFSampPtRh","TRSampA","TFSampA","HFRFL","HFFFL","HFOFL","HFRCE","HFCCE","HFFCE","TSHFRFL","TSHFFFL","TSHFOFL","TSHFRCE","TSHFCCE","TSHFFCE","TSXHFRFL","TSXHFFFL","TSXHFRCE","TSXHFCCE","TSXHFFCE","TR3","TR30","TR60","TR90","TR105","TR120","TR135","TR150","TR180","TR210","TR237","TF3","TF30","TF60","TF90","TF105","TF120","TF135","TF150","TF180","TF210","TF237"
 0.000E+00, 2.095E-01, 3.901E-04, 0.000E+00, 0.000E+00, 2.000E+01, 2.095E-01, 3.901E-04, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01,-3.420E-06,-6.781E-06,-5.068E-05,-2.430E-06,-4.143E-06,-6.795E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 2.002E+01, 2.056E-01, 3.091E-03, 1.631E-11, 3.302E-12, 5.155E+01, 2.055E-01, 3.150E-03, 1.655E-11, 4.639E-12, 5.556E+01, 6.892E+01, 7.428E+01, 7.063E-01, 6.281E-01, 1.128E-01, 1.405E+00, 1.899E+00, 1.199E+00, 4.010E+01, 3.907E+01, 2.339E+01, 5.430E+01, 6.737E+01, 4.960E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.265E+01, 2.340E+01, 2.570E+01, 3.121E+01, 3.361E+01, 3.840E+01, 3.888E+01, 4.048E+01, 4.101E+01, 4.959E+01, 8.825E+01, 2.236E+01, 2.338E+01, 2.439E+01, 3.201E+01, 3.554E+01, 3.890E+01, 3.925E+01, 3.932E+01, 3.840E+01, 4.380E+01, 7.751E+01
 4.000E+01, 2.007E-01, 6.484E-03, 1.483E-09, 4.522E-09, 1.198E+02, 2.005E-01, 6.654E-03, 1.299E-11, 1.475E-11, 1.301E+02, 1.318E+02, 1.393E+02, 8.869E-01, 5.092E-01, 1.983E-01, 1.695E+00, 1.918E+00, 1.670E+00, 5.764E+01, 4.352E+01, 2.821E+01, 8.508E+01, 9.712E+01, 8.093E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.778E+01, 3.898E+01, 6.496E+01, 8.923E+01, 9.592E+01, 1.036E+02, 1.052E+02, 1.084E+02, 1.111E+02, 1.203E+02, 1.476E+02, 2.217E+01, 2.311E+01, 5.620E+01, 7.851E+01, 8.468E+01, 9.386E+01, 9.767E+01, 1.047E+02, 1.078E+02, 1.183E+02, 1.403E+02
 6.002E+01, 1.982E-01, 8.179E-03, 1.657E-10, 6.000E-09, 1.578E+02, 1.989E-01, 7.742E-03, 3.882E-12, 2.702E-11, 1.482E+02, 1.652E+02, 1.544E+02, 1.459E+00, 6.172E-01, 2.554E-01, 1.884E+00, 1.899E+00, 1.740E+00, 7.580E+01, 4.577E+01, 3.150E+01, 9.906E+01, 1.018E+02, 9.279E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 5.348E+01, 6.948E+01, 1.171E+02, 1.389E+02, 1.413E+02, 1.437E+02, 1.451E+02, 1.494E+02, 1.573E+02, 1.613E+02, 1.617E+02, 2.196E+01, 2.348E+01, 1.078E+02, 1.239E+02, 1.261E+02, 1.312E+02, 1.330E+02, 1.383E+02, 1.427E+02, 1.498E+02, 1.507E+02
 8.000E+01, 1.976E-01, 8.593E-03, 2.454E-10, 1.914E-09, 1.679E+02, 1.975E-01, 8.675E-03, 6.503E-12, 2.513E-11, 1.637E+02, 1.722E+02, 1.711E+02, 1.599E+00, 8.020E-01, 3.259E-01, 2.207E+00, 2.222E+00, 2.097E+00, 9.411E+01, 5.230E+01, 3.517E+01, 1.145E+02, 1.158E+02, 1.078E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 8.903E+01, 8.419E+01, 1.256E+02, 1.556E+02, 1.573E+02, 1.615E+02, 1.633E+02, 1.646E+02, 1.685E+02, 1.722E+02, 1.742E+02, 2.249E+01, 2.579E+01, 1.329E+02, 1.450E+02, 1.472E+02, 1.506E+02, 1.527E+02, 1.563E+02, 1.614E+02, 1.658E+02, 1.672E+02
 1.000E+02, 1.971E-01, 8.999E-03, 8.505E-11, 1.064E-09, 1.717E+02, 1.967E-01, 9.252E-03, 7.778E-12, 2.089E-11, 1.752E+02, 1.776E+02, 1.797E+02, 1.572E+00, 8.773E-01, 3.615E-01, 2.256E+00, 2.336E+00, 2.230E+00, 9.858E+01, 5.740E+01, 3.810E+01, 1.224E+02, 1.254E+02, 1.185E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 8.219E+01, 9.126E+01, 1.241E+02, 1.569E+02, 1.612E+02, 1.669E+02, 1.682E+02, 1.694E+02, 1.722E+02, 1.771E+02, 1.772E+02, 2.283E+01, 2.416E+01, 1.261E+02, 1.503E+02, 1.541E+02, 1.585E+02, 1.600E+02, 1.614E+02, 1.666E+02, 1.758E+02, 1.791E+02
 1.200E+02, 1.969E-01, 9.103E-03, 6.072E-12, 1.492E-10, 1.724E+02, 1.969E-01, 9.098E-03, 3.644E-12, 2.626E-11, 1.755E+02, 1.753E+02, 1.794E+02, 1.629E+00, 9.236E-01, 3.792E-01, 2.311E+00, 2.311E+00, 2.237E+00, 1.036E+02, 6.046E+01, 4.000E+01, 1.288E+02, 1.296E+02, 1.233E+02, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 8.099E+01, 8.924E+01, 1.330E+02, 1.607E+02, 1.659E+02, 1.732E+02, 1.743E+02, 1.766E+02, 1.783E+02, 1.809E+02, 1.804E+02, 2.304E+01, 2.473E+01, 1.330E+02, 1.575E+02, 1.591E+02, 1.620E+02, 1.630E+02, 1.645E+02, 1.696E+02, 1.777E+02, 1.787E+02
 1.400E+02, 1.967E-01, 9.261E-03, 8.333E-12, 7.592E-10, 1.744E+02, 1.970E-01, 9.031E-03, 2.320E-12, 2.748E-11, 1.747E+02, 1.772E+02, 1.785E+02, 1.537E+00, 9.376E-01, 3.806E-01, 2.177E+00, 2.226E+00, 2.176E+00, 1.045E+02, 6.243E+01, 4.123E+01, 1.290E+02, 1.302E+02, 1.251E+02, 2.002E+01, 2.001E+01, 2.003E+01, 2.004E+01, 2.003E+01, 8.399E+01, 8.817E+01, 1.201E+02, 1.651E+02, 1.679E+02, 1.703E+02, 1.709E+02, 1.723E+02, 1.740E+02, 1.751E+02, 1.738E+02, 2.317E+01, 2.412E+01, 1.321E+02, 1.555E+02, 1.579E+02, 1.611E+02, 1.634E+02, 1.668E+02, 1.710E+02, 1.756E+02, 1.751E+02
 1.600E+02, 1.973E-01, 8.794E-03, 7.457E-11, 6.733E-10, 1.702E+02, 1.967E-01, 9.227E-03, 7.408E-12, 2.560E-11, 1.774E+02, 1.730E+02, 1.823E+02, 1.548E+00, 9.368E-01, 3.794E-01, 2.192E+00, 2.241E+00, 2.201E+00, 1.059E+02, 6.366E+01, 4.203E+01, 1.306E+02, 1.321E+02, 1.270E+02, 2.004E+01, 2.003E+01, 2.007E+01, 2.008E+01, 2.006E+01, 8.373E+01, 9.004E+01, 1.248E+02, 1.607E+02, 1.641E+02, 1.670E+02, 1.676E+02, 1.675E+02, 1.696E+02, 1.720E+02, 1.767E+02, 2.326E+01, 2.387E+01, 1.342E+02, 1.550E+02, 1.568E+02, 1.605E+02, 1.612E+02, 1.625E+02, 1.663E+02, 1.711E+02, 1.760E+02
