s,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,kg/kg,kg/kg,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"O2Rear","CO2Rear","CORear","UHRear","TRSampPtRh","O2Front","CO2Front","COFront","UHFront","TFSampPtRh","TRSampA","TFSampA","YsootR","YsootF","HFRFL","HFFFL","HFOFL","HFRCE","HFCCE","HFFCE","TSHFRFL","TSHFFFL","TSHFOFL","TSHFRCE","TSHFCCE","TSHFFCE","TSXHFRFL","TSXHFFFL","TSXHFRCE","TSXHFCCE","TSXHFFCE","TR3","TR30","TR60","TR90","TR105","TR120","TR135","TR150","TR180","TR210","TR237","TF3","TF30","TF60","TF90","TF105","TF120","TF135","TF150","TF180","TF210","TF237"
 0.000E+00, 2.095E-01, 3.901E-04, 0.000E+00, 0.000E+00, 2.000E+01, 2.095E-01, 3.901E-04, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00,-2.653E-06,-3.966E-06,-2.701E-05,-1.556E-06,-1.929E-06,-2.751E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 2.000E+01, 2.065E-01, 2.513E-03, 9.160E-11, 1.171E-11, 4.004E+01, 2.037E-01, 4.408E-03, 1.243E-09, 1.550E-10, 6.511E+01, 5.925E+01, 9.307E+01, 1.920E-11, 2.603E-10, 1.666E+00, 1.873E+00, 2.183E-01, 1.923E+00, 4.349E+00, 2.234E+00, 5.895E+01, 6.341E+01, 2.475E+01, 6.056E+01, 1.052E+02, 6.703E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.418E+01, 2.525E+01, 2.499E+01, 2.933E+01, 3.063E+01, 3.460E+01, 3.540E+01, 3.685E+01, 3.713E+01, 3.885E+01, 8.452E+01, 2.532E+01, 2.562E+01, 2.579E+01, 2.744E+01, 2.964E+01, 3.443E+01, 3.649E+01, 3.715E+01, 3.769E+01, 4.650E+01, 1.003E+02
 4.002E+01, 1.774E-01, 2.252E-02, 4.889E-08, 3.299E-09, 2.790E+02, 1.638E-01, 3.192E-02, 3.833E-07, 2.614E-08, 3.674E+02, 3.345E+02, 4.310E+02, 1.017E-08, 7.925E-08, 9.659E+00, 1.266E+01, 2.157E+00, 1.474E+01, 3.769E+01, 2.421E+01, 2.266E+02, 2.674E+02, 7.523E+01, 2.942E+02, 4.915E+02, 3.700E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 6.326E+01, 8.607E+01, 1.381E+02, 1.943E+02, 2.108E+02, 2.435E+02, 2.533E+02, 2.596E+02, 2.640E+02, 2.793E+02, 4.030E+02, 7.412E+01, 8.930E+01, 1.548E+02, 1.953E+02, 2.103E+02, 2.365E+02, 2.484E+02, 2.590E+02, 2.851E+02, 3.456E+02, 4.886E+02
 6.002E+01, 1.036E-01, 7.335E-02, 4.209E-05, 8.632E-07, 6.430E+02, 1.156E-01, 6.493E-02, 1.678E-04, 2.979E-06, 6.508E+02, 6.732E+02, 6.844E+02, 8.556E-06, 3.395E-05, 4.746E+01, 3.800E+01, 6.613E+00, 7.376E+01, 9.973E+01, 6.647E+01, 5.710E+02, 5.227E+02, 1.890E+02, 7.006E+02, 8.115E+02, 6.823E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 3.324E+02, 3.988E+02, 5.268E+02, 5.949E+02, 6.016E+02, 6.150E+02, 6.207E+02, 6.317E+02, 6.413E+02, 6.803E+02, 7.927E+02, 2.079E+02, 4.065E+02, 5.152E+02, 5.545E+02, 5.611E+02, 5.716E+02, 5.787E+02, 5.944E+02, 6.179E+02, 6.953E+02, 7.880E+02
 8.001E+01, 3.183E-02, 1.172E-01, 5.679E-03, 1.271E-03, 9.188E+02, 3.550E-02, 1.177E-01, 2.689E-03, 1.780E-04, 8.726E+02, 9.367E+02, 8.889E+02, 1.143E-03, 5.423E-04, 1.169E+02, 8.088E+01, 1.405E+01, 1.315E+02, 1.349E+02, 1.169E+02, 8.717E+02, 7.449E+02, 3.228E+02, 9.138E+02, 9.309E+02, 8.798E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 8.403E+02, 8.749E+02, 8.876E+02, 9.013E+02, 9.039E+02, 9.085E+02, 9.103E+02, 9.116E+02, 9.216E+02, 9.334E+02, 9.368E+02, 3.247E+02, 7.784E+02, 8.102E+02, 8.322E+02, 8.397E+02, 8.539E+02, 8.614E+02, 8.792E+02, 8.968E+02, 9.108E+02, 9.101E+02
 1.000E+02, 1.611E-02, 1.087E-01, 2.468E-02, 9.538E-03, 1.038E+03, 2.640E-03, 1.234E-01, 1.964E-02, 4.975E-03, 9.301E+02, 1.048E+03, 9.394E+02, 4.910E-03, 3.946E-03, 1.229E+02, 9.604E+01, 1.746E+01, 1.619E+02, 1.434E+02, 1.324E+02, 9.072E+02, 8.072E+02, 3.799E+02, 9.942E+02, 9.556E+02, 9.286E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 9.388E+02, 1.020E+03, 9.751E+02, 9.834E+02, 9.874E+02, 9.982E+02, 1.004E+03, 1.013E+03, 1.026E+03, 1.027E+03, 1.027E+03, 3.653E+02, 8.644E+02, 8.876E+02, 9.050E+02, 9.109E+02, 9.214E+02, 9.252E+02, 9.334E+02, 9.505E+02, 9.518E+02, 9.409E+02
 1.200E+02, 1.402E-02, 1.140E-01, 2.052E-02, 1.007E-02, 1.049E+03, 1.372E-04, 1.257E-01, 1.899E-02, 5.823E-03, 9.580E+02, 1.056E+03, 9.619E+02, 4.048E-03, 3.801E-03, 1.338E+02, 1.115E+02, 2.047E+01, 1.731E+02, 1.605E+02, 1.480E+02, 9.369E+02, 8.577E+02, 4.187E+02, 1.022E+03, 9.960E+02, 9.688E+02, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 9.589E+02, 1.043E+03, 1.023E+03, 1.027E+03, 1.028E+03, 1.030E+03, 1.032E+03, 1.035E+03, 1.040E+03, 1.044E+03, 1.043E+03, 4.184E+02, 9.152E+02, 9.319E+02, 9.474E+02, 9.519E+02, 9.628E+02, 9.682E+02, 9.783E+02, 9.841E+02, 9.823E+02, 9.758E+02
 1.400E+02, 6.242E-05, 1.099E-01, 3.393E-02, 1.634E-02, 1.046E+03, 4.262E-03, 1.220E-01, 1.962E-02, 7.570E-03, 9.778E+02, 1.047E+03, 9.812E+02, 6.701E-03, 3.909E-03, 1.365E+02, 1.207E+02, 2.252E+01, 1.717E+02, 1.643E+02, 1.537E+02, 9.466E+02, 8.851E+02, 4.424E+02, 1.024E+03, 1.008E+03, 9.855E+02, 2.002E+01, 2.002E+01, 2.002E+01, 2.003E+01, 2.003E+01, 9.669E+02, 1.040E+03, 1.044E+03, 1.041E+03, 1.040E+03, 1.040E+03, 1.040E+03, 1.041E+03, 1.041E+03, 1.040E+03, 1.037E+03, 4.490E+02, 9.435E+02, 9.507E+02, 9.657E+02, 9.707E+02, 9.809E+02, 9.851E+02, 9.920E+02, 9.968E+02, 9.971E+02, 9.912E+02
 1.600E+02, 3.043E-06, 1.041E-01, 3.952E-02, 1.965E-02, 1.036E+03, 5.120E-06, 1.170E-01, 2.746E-02, 1.055E-02, 9.834E+02, 1.035E+03, 9.851E+02, 7.792E-03, 5.475E-03, 1.471E+02, 1.320E+02, 2.411E+01, 1.714E+02, 1.693E+02, 1.601E+02, 9.723E+02, 9.158E+02, 4.607E+02, 1.026E+03, 1.019E+03, 1.000E+03, 2.005E+01, 2.005E+01, 2.006E+01, 2.008E+01, 2.006E+01, 9.933E+02, 1.051E+03, 1.061E+03, 1.055E+03, 1.053E+03, 1.050E+03, 1.049E+03, 1.046E+03, 1.042E+03, 1.038E+03, 1.034E+03, 4.885E+02, 9.724E+02, 9.756E+02, 9.856E+02, 9.895E+02, 9.972E+02, 1.001E+03, 1.006E+03, 1.008E+03, 1.008E+03, 1.004E+03
