s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-3.103E-05,-5.852E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.109E-05, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 1.954E+01,-2.969E-01, 3.299E-01,-4.093E-01, 0.000E+00, 0.000E+00,-1.847E-01, 1.868E+01, 1.898E+01, 0.000E+00, 4.593E-04, 0.000E+00, 0.000E+00
 2.000E+01, 6.955E+01,-3.386E+00, 1.122E+00,-3.660E+00, 0.000E+00, 0.000E+00,-6.491E-01, 6.294E+01, 6.298E+01, 0.000E+00, 1.569E-03, 0.000E+00, 0.000E+00
 3.001E+01, 1.199E+02,-1.257E+01,-1.207E+00,-6.945E+00, 0.000E+00, 0.000E+00,-1.138E+00, 9.809E+01, 9.807E+01, 0.000E+00, 2.711E-03, 0.000E+00, 0.000E+00
 4.000E+01, 1.666E+02,-2.608E+01,-1.130E+01,-1.009E+01, 0.000E+00, 0.000E+00,-1.586E+00, 1.177E+02, 1.175E+02, 0.000E+00, 3.747E-03, 0.000E+00, 0.000E+00
 5.001E+01, 2.169E+02,-4.127E+01,-2.959E+01,-1.323E+01, 0.000E+00, 0.000E+00,-2.085E+00, 1.309E+02, 1.307E+02, 0.000E+00, 4.899E-03, 0.000E+00, 0.000E+00
 6.002E+01, 2.682E+02,-7.057E+01,-5.270E+01,-1.542E+01, 0.000E+00, 0.000E+00,-2.594E+00, 1.271E+02, 1.269E+02, 0.000E+00, 6.024E-03, 0.000E+00, 0.000E+00
 7.000E+01, 3.143E+02,-1.071E+02,-7.736E+01,-1.434E+01, 0.000E+00, 0.000E+00,-3.079E+00, 1.127E+02, 1.124E+02, 0.000E+00, 7.091E-03, 0.000E+00, 0.000E+00
 8.002E+01, 3.609E+02,-1.520E+02,-9.479E+01,-1.148E+01, 0.000E+00, 0.000E+00,-3.549E+00, 9.960E+01, 9.911E+01, 0.000E+00, 8.125E-03, 0.000E+00, 0.000E+00
 9.002E+01, 4.092E+02,-1.982E+02,-1.118E+02,-6.236E+00, 0.000E+00, 0.000E+00,-4.058E+00, 8.953E+01, 8.886E+01, 0.000E+00, 9.222E-03, 0.000E+00, 0.000E+00
 1.000E+02, 4.014E+02,-2.190E+02,-1.181E+02,-1.776E+00, 0.000E+00, 0.000E+00,-4.082E+00, 5.890E+01, 5.848E+01, 0.000E+00, 9.186E-03, 0.000E+00, 0.000E+00
 1.100E+02, 4.213E+02,-2.381E+02,-1.184E+02,-5.390E-02, 0.000E+00, 0.000E+00,-4.207E+00, 6.070E+01, 6.052E+01, 0.000E+00, 9.382E-03, 0.000E+00, 0.000E+00
 1.200E+02, 4.182E+02,-2.466E+02,-1.261E+02, 1.149E+00, 0.000E+00, 0.000E+00,-4.273E+00, 4.281E+01, 4.232E+01, 0.000E+00, 9.437E-03, 0.000E+00, 0.000E+00
